symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
SIP,2,1.0,0.06946209746337709,2384725.417766638,inf
STB,3,0.6666666666666666,0.04424373391983255,1861073.4856590014,5.975794729674207
REE,2,1.0,0.04334944511472347,1545798.7533713616,inf
MBB,1,1.0,0.07774133169205827,1384950.2662338726,inf
SZC,1,1.0,0.07034975266681605,1374818.2501529492,inf
BID,1,1.0,0.07585084781204264,1232273.1264077965,inf
GVR,1,1.0,0.06100984982242037,1215881.0870373026,inf
CTG,1,1.0,0.06094903850554739,1177266.4133395627,inf
VTP,1,1.0,0.06455770555677287,1129756.714452006,inf
NT2,1,1.0,0.05883480395454688,1105405.9654238932,inf
HPG,1,1.0,0.09252764930856489,1061267.0713501181,inf
ACB,1,1.0,0.05283012749504593,1054068.9918644913,inf
DGC,1,1.0,0.054734688171717234,1028844.5158969983,inf
HDB,3,0.6666666666666666,0.018597441848872406,1027875.7077945732,1.671822163736645
FPT,3,0.3333333333333333,0.0012220853896214117,820622.3209370114,1.5239082911773478
VCB,1,1.0,0.03532056539075833,766897.0664255992,inf
FTS,1,1.0,0.037836793576054364,765207.044667501,inf
DBC,1,1.0,0.042051241063646605,737160.2564352006,inf
KOS,1,1.0,0.03202973996847192,708745.090262644,inf
VHM,1,1.0,0.03390135132283218,654405.1955783479,inf
CTD,3,0.6666666666666666,0.021479954102828117,618916.7162680132,1.659569475043534
PLX,1,1.0,0.026763539392968744,516389.0891918391,inf
FRT,1,1.0,0.06411827480978759,501281.9777673492,inf
HHV,1,1.0,0.027958030368986603,496980.51192724705,inf
PNJ,1,1.0,0.023754985335926543,285057.0640800018,inf
LPB,2,0.5,0.0066678676612996375,151802.97996390238,1.1685767381357972
BSR,1,0.0,-0.004989016977028749,-57223.55299999751,0.0
MWG,4,0.5,-0.0009008571143448458,-82745.98894975893,0.9528820520530633
CII,1,0.0,-0.019901754441153274,-272261.72427999787,0.0
MSB,1,0.0,-0.01727310318718862,-317450.99123999104,0.0
CMG,1,0.0,-0.02473807103849917,-404025.3755139969,0.0
NAB,1,0.0,-0.022445350012519363,-411696.636749994,0.0
SAB,1,0.0,-0.03244069945753582,-502658.1575339958,0.0
EIB,1,0.0,-0.049989513696660395,-552117.4944099952,0.0
NLG,1,0.0,-0.03191391131848334,-638832.2757859938,0.0
HCM,1,0.0,-0.036410416440911905,-681917.9892499931,0.0
HDG,1,0.0,-0.0413515445958085,-750548.1697799973,0.0
SBT,1,0.0,-0.05031489689781477,-852849.8147949949,0.0
SCS,1,0.0,-0.025656900897387213,-926147.0712999925,0.0
GEX,1,0.0,-0.05365803245097851,-954618.9096639976,0.0
GAS,1,0.0,-0.05756047355427324,-969869.1510199942,0.0
VPL,1,0.0,-0.05735801608350104,-974431.0300499983,0.0
EVF,1,0.0,-0.05983214202553895,-999703.363099996,0.0
TCB,3,0.3333333333333333,-0.008251992791776993,-1021386.9804599965,0.3137366051061489
PVD,1,0.0,-0.0700831934364754,-1074188.1447199956,0.0
DXS,1,0.0,-0.06649381675180031,-1092075.7104299963,0.0
DGW,2,0.0,-0.03280367120269001,-1347559.0221589915,0.0
VJC,5,0.2,-0.017118474267229438,-1392616.569270989,0.4944567088500399
VIC,2,0.0,-0.040662198765730274,-1408327.4918699935,0.0
GMD,2,0.0,-0.03693298318655616,-1428256.238639988,0.0
SSB,7,0.42857142857142855,-0.006087305878670081,-1735328.4678072017,0.5322872463727669
MSN,2,0.0,-0.0495866783459522,-1835461.581239991,0.0
VCI,2,0.0,-0.05260679657870569,-1868145.3918599878,0.0
VIB,2,0.0,-0.052750647496110484,-1898323.3687939923,0.0
SHB,2,0.0,-0.06442829393710268,-2528262.512623992,0.0
VPI,4,0.0,-0.03736064535087759,-2800484.90611998,0.0
KDH,3,0.0,-0.07226672865969107,-4285992.867022982,0.0
CTR,4,0.0,-0.04616064307829786,-4455369.7911279835,0.0
KDC,4,0.0,-0.03440317701560408,-4731537.4993939735,0.0
