symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
MSN,OVERSOLD_MEAN_REVERSION,2025-01-02,2025-01-03,2025-01-07,70.87079999999999,67.2327,282200,19999739.759999998,-1084617.6956399977,-0.05417741303042433,2,SL,86.1,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -57.1, StochK 17.2, ADX 24.2"
NLG,HAMMER,2025-01-02,2025-01-03,2025-01-07,32.922889999999995,31.968,607400,19997363.385999996,-638832.2757859938,-0.03191391131848334,2,SL,80.7,,False,,,,,Bóng dưới 0 > 2× thân 0 | Đóng cửa gần đỉnh nến — lực mua hấp thu | Gần support 32 | RSI 40.8 — vùng oversold
DGW,OVERSOLD_MEAN_REVERSION,2025-01-02,2025-01-03,2025-01-07,40.57053,38.37159,492900,19997214.237,-1141681.453658998,-0.05703498993554599,2,SL,80.3,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -41.7, StochK 19.4, ADX 22.8"
VJC,HAMMER,2025-01-02,2025-01-03,2025-01-14,99.9999,97.902,200000,19999980.0,-478740.77999999747,-0.023913149787275538,7,SL,76.1,,False,,,,,Bóng dưới 1 > 2× thân 0 | Đóng cửa gần đỉnh nến — lực mua hấp thu | Gần support 98 | RSI 38.1 — vùng oversold
PLX,OVERSOLD_MEAN_REVERSION,2025-01-07,2025-01-08,2025-01-14,36.756719999999994,37.85390819999999,524400,19275223.968,516389.0891918391,0.026763539392968744,4,TP,77.3,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -83.9, StochK 29.5, ADX 22.1"
SSB,HAMMER,2025-01-07,2025-01-08,2025-01-15,16.666649999999997,17.648958374999992,1156700,19278314.054999996,1076128.68300277,0.055764919396287776,5,TP,91.5,,False,,,,,Bóng dưới 0 > 2× thân 0 | Đóng cửa gần đỉnh nến — lực mua hấp thu | Gần support 16 | Money flow: EARLY_MONEY_IN score=3
MWG,OVERSOLD_MEAN_REVERSION,2025-01-07,2025-01-08,2025-01-23,56.346289999999996,58.30735927499999,342100,19276065.809,611711.837952543,0.03170256541301103,11,TP,77.3,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -88.3, StochK 3.9, ADX 20.0"
VIC,OVERSOLD_MEAN_REVERSION,2025-01-14,2025-01-15,2025-02-03,20.170149999999996,19.98,968000,19524705.199999996,-242271.1851999946,-0.012396046627323761,8,SL,80.3,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -62.7, StochK 40.2, ADX 9.8"
SZC,OVERSOLD_MEAN_REVERSION,2025-01-14,2025-01-15,2025-02-05,39.98995,42.931900125,488200,19523093.59,1374818.2501529492,0.07034975266681605,10,TP,77.3,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -76.8, StochK 20.9, ADX 20.8"
VPI,OVERSOLD_MEAN_REVERSION,2025-02-03,2025-02-04,2025-02-10,58.558499999999995,56.943,334600,19593674.099999998,-598246.2296999954,-0.030502119105822866,4,SL,80.3,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -66.7, StochK 50.0, ADX 13.2"
FPT,OVERSOLD_MEAN_REVERSION,2025-02-05,2025-02-06,2025-02-10,125.60547999999999,121.878,161200,20247603.376,-660410.846575994,-0.032584157405144226,2,SL,64.0,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -85.8, StochK 11.5, ADX 21.4"
MWG,OVERSOLD_MEAN_REVERSION,2025-02-10,2025-02-11,2025-02-13,56.646589999999996,54.945,346300,19616714.117,-646932.2381169982,-0.032945678277727306,2,SL,88.9,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -81.6, StochK 52.0, ADX 21.1"
GVR,OVERSOLD_MEAN_REVERSION,2025-01-23,2025-01-24,2025-02-14,28.228199999999998,30.040429499999995,705300,19909349.459999997,1215881.0870373026,0.06100984982242037,10,TP,81.7,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -70.4, StochK 23.3, ADX 34.5"
VHM,OVERSOLD_MEAN_REVERSION,2025-02-13,2025-02-14,2025-02-20,38.988949999999996,40.431902624999985,494600,19283934.669999998,654405.1955783479,0.03390135132283218,4,TP,80.3,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -55.8, StochK 21.5, ADX 20.4"
FTS,OVERSOLD_MEAN_REVERSION,2025-02-14,2025-02-17,2025-02-20,37.037,38.5539075,545500,20203683.5,765207.044667501,0.037836793576054364,3,TP,81.4,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -62.1, StochK 20.4, ADX 13.0"
