date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98838249.89690101,19935010.896901008,4,0.7983067191325688
2025-01-06,98992585.89690101,19935010.896901008,4,0.7986211723202891
2025-01-07,99127565.11770101,39586319.11770101,3,0.600652764236694
2025-01-08,99812069.11770101,39586319.11770101,3,0.6033914588924133
2025-01-09,100189883.11770101,39586319.11770101,3,0.604887061588885
2025-01-10,99556874.11770101,39586319.11770101,3,0.6023748287747551
2025-01-13,100466018.11770101,39586319.11770101,3,0.605973045818103
2025-01-14,100923521.11770101,39586319.11770101,3,0.6077592351188988
2025-01-15,102144011.11770101,39586319.11770101,3,0.612446009467109
2025-01-16,102232949.11770101,39586319.11770101,3,0.6127831637515886
2025-01-17,103189067.11770101,39586319.11770101,3,0.616370995266897
2025-01-20,102362984.11770101,39586319.11770101,3,0.6132750577866791
2025-01-21,102556354.016929,60892864.01692901,2,0.4062497189898404
2025-01-22,102300733.016929,60892864.01692901,2,0.4047661026353322
2025-01-23,102850780.016929,60892864.01692901,2,0.4079494194705555
2025-01-24,102956042.33136302,20258150.331363022,4,0.8032349547182247
2025-02-03,102954078.33136302,20258150.331363022,4,0.8032312011364803
2025-02-04,105323826.33136302,20258150.331363022,4,0.8076584279455615
2025-02-05,106189180.33136302,20258150.331363022,4,0.8092258526890638
2025-02-06,106885973.33136302,20258150.331363022,4,0.81046951531648
2025-02-07,106351243.33136302,20258150.331363022,4,0.8095165632596898
2025-02-10,105901387.00425503,43194626.00425502,3,0.5921240766891985
2025-02-11,106778339.10059103,21575789.100591026,4,0.7979385212176276
2025-02-12,107273130.10059103,21575789.100591026,4,0.7988705178980122
2025-02-13,107313838.10059103,21575789.100591026,4,0.7989468135473182
2025-02-14,107169165.10059103,21575789.100591026,4,0.798675401825333
2025-02-17,106313511.10059103,21575789.100591026,4,0.7970550602907227
2025-02-18,106779294.10059103,21575789.100591026,4,0.7979403283911426
2025-02-19,109626969.10059103,21575789.100591026,4,0.803189039361349
2025-02-20,109177323.10059103,21575789.100591026,4,0.8023784748714522
2025-02-21,109399518.90167902,44722729.901679024,3,0.5911981117405751
2025-02-24,109707502.56367904,22340031.563679032,4,0.7963673309333433
2025-02-25,109878151.56367904,22340031.563679032,4,0.7966835877218771
2025-02-26,109672979.56367904,22340031.563679032,4,0.7963032311827744
