symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
GEX,2,1.0,0.19688681985601816,9159208.229768012,inf
PVD,1,1.0,0.22182488417339077,6111828.443630006,inf
DXS,1,1.0,0.24065863209105556,5869931.443674002,inf
LPB,1,1.0,0.11880342926761313,5260307.214360006,inf
VCB,1,1.0,0.1630646774800283,4219999.882000007,inf
DPM,1,1.0,0.22510088146096555,3073776.690538002,inf
CTD,1,1.0,0.14591462827709342,2920607.904996,inf
CTG,1,1.0,0.09967924888024787,2579556.380510006,inf
MSN,4,0.5,0.009724564467290184,2146725.18907002,1.8732122199078516
VGC,1,1.0,0.10522211468429184,2106160.643670004,inf
MBB,1,1.0,0.10088881434826949,2049753.9095540084,inf
SSB,2,0.5,0.03885268136279345,1807674.9921850152,3.718658372083533
VCI,2,1.0,0.0366503075907211,1789005.1025340185,inf
HDG,1,1.0,0.041839904756247326,1717135.5179930106,inf
STB,1,1.0,0.12189157817355131,1664042.2192800008,inf
BID,1,1.0,0.06053855535984361,1623105.981870003,inf
PHR,1,1.0,0.06188877040648216,1601624.4792799987,inf
REE,1,1.0,0.070683908863063,1528103.8974240087,inf
ANV,2,0.5,0.03474729850431485,1395811.7330959998,1.5605306105690828
POW,1,1.0,0.05537368453708494,1242693.2745900042,inf
DSE,2,0.5,0.010745730330953034,857324.5056260079,1.821473202520315
SAB,1,1.0,0.030758567381081032,838286.0236850046,inf
VRE,1,1.0,0.028740168888156732,639544.3038300052,inf
TCB,1,1.0,0.011179911497094503,287540.1872100048,inf
VIC,2,0.5,0.011528546063077766,171271.20107001066,1.1243309971553268
PAN,2,0.5,0.007586580386395026,88915.48506000265,1.0741746404386776
GAS,1,1.0,0.0022907956322612637,77635.15227000415,inf
PNJ,1,0.0,-0.018116645587886723,-362584.6031249985,0.0
HCM,1,0.0,-0.021497526507454626,-553567.9388849884,0.0
HHV,3,0.6666666666666666,-0.003123990932216518,-698246.0925709829,0.6066244458691978
DXG,1,0.0,-0.04236989407147098,-701341.7414639965,0.0
KDC,1,0.0,-0.03297201920374305,-739827.745304998,0.0
KBC,1,0.0,-0.0291267497188259,-788794.0839499943,0.0
MWG,1,0.0,-0.044464365194976395,-793426.3445799984,0.0
VHM,1,0.0,-0.03806155677361375,-1091923.672229994,0.0
GMD,1,0.0,-0.0444512089382798,-1203727.997999996,0.0
KDH,1,0.0,-0.05047523334379309,-1375774.7250399925,0.0
SHB,3,0.3333333333333333,-0.007431607228980418,-1453508.097201977,0.5086967275659904
GVR,1,0.0,-0.04562193560645308,-1546376.5560539998,0.0
VCG,1,0.0,-0.06544876043462554,-1685372.659599997,0.0
TCH,1,0.0,-0.07001944228428875,-1935442.7075839937,0.0
VPB,1,0.0,-0.06434054929769727,-2068332.924929995,0.0
VSC,1,0.0,-0.07944562114881559,-2227100.8499999903,0.0
HAG,2,0.0,-0.04375895282133019,-2327548.5787749924,0.0
VHC,1,0.0,-0.06958014725054466,-2437208.8511099927,0.0
NAB,3,0.0,-0.03868693049406874,-3251727.3386409767,0.0
NLG,2,0.0,-0.06275360779452047,-4801807.777569976,0.0
