symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
PNJ,RETEST,2025-01-02,2025-01-03,2025-01-07,62.97290999999999,62.01792,317500,19993898.924999997,-362584.6031249985,-0.018116645587886723,2,EDGE_ATR_STOP,2.475,regime_router_mvp_v1,True,56.6301,1.0,2.475,"{'setup_type': 'RETEST', 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: regime_router_mvp_v1 | edge_score=56.6301
PAN,NR7,2025-01-02,2025-01-03,2025-01-21,23.423399999999997,25.00497,853800,19998898.919999998,1287647.0803080015,0.0643215771395285,12,EDGE_TRAILING_ATR_STOP,3.5,regime_router_mvp_v1,True,65.703,1.0,3.5,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: regime_router_mvp_v1 | edge_score=65.703
CTD,EDGE_BREAKOUT,2025-01-02,2025-01-03,2025-02-10,62.702639999999995,72.06786,318900,19995871.895999998,2920607.904996,0.14591462827709342,21,EDGE_TRAILING_ATR_STOP,3.725,regime_router_mvp_v1,True,100.0,1.0,3.725,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: regime_router_mvp_v1 | edge_score=100.0
REE,EDGE_COMPRESSION,2025-02-10,2025-02-11,2025-02-21,56.59653999999999,60.779160000000005,381600,21597239.663999997,1528103.8974240087,0.070683908863063,8,EDGE_TRAILING_ATR_STOP,4.5,regime_router_mvp_v1,True,68.9144,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: regime_router_mvp_v1 | edge_score=68.9144
VGC,EDGE_BREAKOUT,2025-01-02,2025-01-03,2025-03-04,44.82478,49.69026,446100,19996334.358,2106160.643670004,0.10522211468429184,37,EDGE_TRAILING_ATR_STOP,2.425,regime_router_mvp_v1,True,100.0,2.0,2.425,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: regime_router_mvp_v1 | edge_score=100.0
HHV,EDGE_COMPRESSION,2025-01-23,2025-01-24,2025-03-13,11.561549999999999,12.04794,1755600,20297457.179999996,791306.099892009,0.0389465329226871,29,EDGE_TRAILING_ATR_STOP,4.5,regime_router_mvp_v1,True,84.2398,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: regime_router_mvp_v1 | edge_score=84.2398
VRE,EDGE_COMPRESSION,2025-03-04,2025-03-05,2025-03-13,17.717699999999997,18.2817,1254700,22230398.189999998,639544.3038300052,0.028740168888156732,6,EDGE_TRAILING_ATR_STOP,4.5,regime_router_mvp_v1,True,97.8482,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: regime_router_mvp_v1 | edge_score=97.8482
MBB,EDGE_BREAKOUT,2025-01-23,2025-01-24,2025-03-18,16.55654,18.2817,1225900,20296662.385999996,2049753.9095540084,0.10088881434826949,32,EDGE_TRAILING_ATR_STOP,2.87,regime_router_mvp_v1,True,100.0,1.0,2.87,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: regime_router_mvp_v1 | edge_score=100.0
DXG,EDGE_BREAKOUT,2025-03-17,2025-03-18,2025-03-24,14.654639999999999,14.07591,1128400,16536295.775999999,-701341.7414639965,-0.04236989407147098,4,EDGE_ATR_STOP,2.86,regime_router_mvp_v1,True,100.0,1.0,2.86,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: regime_router_mvp_v1 | edge_score=100.0
VCI,EDGE_COMPRESSION,2025-02-21,2025-02-24,2025-03-27,26.306279999999997,27.56241,850000,22360337.999999996,998494.0650000088,0.044610084535912545,23,EDGE_TRAILING_ATR_STOP,4.5,regime_router_mvp_v1,True,91.7683,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: regime_router_mvp_v1 | edge_score=91.7683
