date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98654434.446178,19930278.446178004,4,0.797978889057935
2025-01-06,98590331.446178,19930278.446178004,4,0.7978475358198968
2025-01-07,98973192.446178,19930278.446178004,4,0.7986295283238826
2025-01-08,99766720.446178,19930278.446178004,4,0.8002311957630204
2025-01-09,100035510.446178,19930278.446178004,4,0.8007679637232313
2025-01-10,99157197.446178,19930278.446178004,4,0.7990032094544014
2025-01-13,99886326.577602,39006627.577602,3,0.6094898179352143
2025-01-14,100343829.577602,39006627.577602,3,0.6112702919372257
2025-01-15,101564319.577602,39006627.577602,3,0.6159416245800938
2025-01-16,101653257.577602,39006627.577602,3,0.6162776431653026
2025-01-17,102609375.577602,39006627.577602,3,0.6198531824404111
2025-01-20,101783292.577602,39006627.577602,3,0.6167678742769849
2025-01-21,101976662.47683,60313172.47683,2,0.40855906624190913
2025-01-22,101721041.47683,60313172.47683,2,0.4070727983003583
2025-01-23,102271088.47683,60313172.47683,2,0.4102617526115972
2025-01-24,102223607.51143101,20065398.511431,4,0.8037107181021055
2025-02-03,102536536.51143101,20065398.511431,4,0.8043097690432125
2025-02-04,104697553.51143101,20065398.511431,4,0.8083489266132637
2025-02-05,105351659.51143101,20065398.511431,4,0.8095388472807697
2025-02-06,105962639.51143101,20065398.511431,4,0.8106370452458728
2025-02-07,105213958.51143101,20065398.511431,4,0.809289577207087
2025-02-10,104291234.184323,43001874.184323,3,0.5876750858243557
2025-02-11,105160922.926431,21485012.926431004,4,0.7956939485833384
2025-02-12,106339438.926431,21485012.926431004,4,0.7979581880124926
2025-02-13,106428466.926431,21485012.926431004,4,0.7981271971033598
2025-02-14,106172231.926431,21485012.926431004,4,0.7976399993049178
2025-02-17,106236149.926431,21485012.926431004,4,0.7977617511430011
2025-02-18,106419611.926431,21485012.926431004,4,0.7981103996011204
2025-02-19,109272739.926431,21485012.926431004,4,0.8033817680338572
2025-02-20,108744153.926431,21485012.926431004,4,0.802426041762518
2025-02-21,108997579.044495,44522770.044495,3,0.5915251473033184
2025-02-24,109219378.53435901,22240135.534359008,4,0.79637189084204
2025-02-25,109019805.53435901,22240135.534359008,4,0.7959991267151019
2025-02-26,108838508.53435901,22240135.534359008,4,0.7956593136579222
2025-02-27,108717902.53435901,22240135.534359008,4,0.795432628703168
2025-02-28,107968471.53435901,22240135.534359008,4,0.7940126852005913
2025-03-03,108132711.53435901,22240135.534359008,4,0.7943255540457594
2025-03-04,108446256.53435901,22240135.534359008,4,0.794920209833959
2025-03-05,106599513.53435901,22240135.534359008,4,0.7913673824863131
2025-03-06,108472242.53435901,22240135.534359008,4,0.7949693394850359
2025-03-07,108246347.53435901,22240135.534359008,4,0.7945414691493433
2025-03-10,109126893.53435901,22240135.534359008,4,0.7961993160984041
2025-03-11,109570247.53435901,22240135.534359008,4,0.7970239546334423
2025-03-12,109891999.53435901,22240135.534359008,4,0.7976182467459301
2025-03-13,108955764.07462701,43148398.07462701,3,0.6039824194608612
2025-03-14,108288327.92232701,21552971.922327016,4,0.8009668046792031
2025-03-17,108533586.92232701,21552971.922327016,4,0.8014165703585234
2025-03-18,108426172.92232701,21552971.922327016,4,0.8012198407319342
2025-03-19,108368082.92232701,21552971.922327016,4,0.8011132859314755
2025-03-20,108988859.92232701,21552971.922327016,4,0.8022461016870243
2025-03-21,108555936.92232701,21552971.922327016,4,0.8014574556364576
2025-03-24,108401040.92232701,21552971.922327016,4,0.8011737549847843
2025-03-25,108509636.92232701,21552971.922327016,4,0.80137273947608
2025-03-26,107488980.92232701,21552971.922327016,4,0.7994866847058353
2025-03-27,107070039.64164302,44829636.64164302,3,0.5813055006640035
2025-03-28,106481831.64164302,44829636.64164302,3,0.578992622962066
2025-03-31,106288364.64164302,44829636.64164302,3,0.5782263016955
2025-04-01,106472407.64164302,44829636.64164302,3,0.5789553590961585
2025-04-02,105862779.64164302,44829636.64164302,3,0.5765307051883939
2025-04-03,103339424.79392701,84000989.79392701,1,0.18713511361770682
2025-04-04,101947160.38919702,101947160.38919702,0,0.0
2025-04-08,101947160.38919702,101947160.38919702,0,0.0
2025-04-09,101947160.38919702,101947160.38919702,0,0.0
2025-04-10,101947160.38919702,101947160.38919702,0,0.0
2025-04-11,101947160.38919702,101947160.38919702,0,0.0
2025-04-14,101947160.38919702,101947160.38919702,0,0.0
2025-04-15,101947160.38919702,101947160.38919702,0,0.0
2025-04-16,101947160.38919702,101947160.38919702,0,0.0
2025-04-17,101947160.38919702,101947160.38919702,0,0.0
2025-04-18,101947160.38919702,101947160.38919702,0,0.0
2025-04-21,101947160.38919702,101947160.38919702,0,0.0
2025-04-22,101947160.38919702,101947160.38919702,0,0.0
2025-04-23,101947160.38919702,101947160.38919702,0,0.0
2025-04-24,101947160.38919702,101947160.38919702,0,0.0
2025-04-25,101947160.38919702,101947160.38919702,0,0.0
2025-04-28,101947160.38919702,101947160.38919702,0,0.0
2025-04-29,101947160.38919702,101947160.38919702,0,0.0
2025-05-05,101947160.38919702,101947160.38919702,0,0.0
2025-05-06,101527511.70959306,20312531.709593054,4,0.7999307639125979
2025-05-07,102122785.70959306,20312531.709593054,4,0.8010969680424124
2025-05-08,102769305.70959306,20312531.709593054,4,0.8023482637219279
2025-05-09,102538753.70959306,20312531.709593054,4,0.8019038561057457
2025-05-12,104310827.70959306,20312531.709593054,4,0.8052691925123608
2025-05-13,104307465.70959306,20312531.709593054,4,0.8052629160203542
2025-05-14,105335179.70959306,20312531.709593054,4,0.8071628893063619
2025-05-15,105274209.70959306,20312531.709593054,4,0.8070512068850793
2025-05-16,104694779.70959306,20312531.709593054,4,0.8059833377945219
2025-05-19,104302715.70959306,20312531.709593054,4,0.8052540475921199
2025-05-20,105573371.70959306,20312531.709593054,4,0.8075979635710798
2025-05-21,105833739.70959306,20312531.709593054,4,0.8080713034866718
2025-05-22,106011575.70959306,20312531.709593054,4,0.8083932667387477
2025-05-23,105001437.70959306,20312531.709593054,4,0.8065499658607315
2025-05-26,105897578.04509705,40048936.04509705,3,0.6218144287677476
2025-05-27,106086890.04509705,40048936.04509705,3,0.6224893007225263
2025-05-28,105758794.04509705,40048936.04509705,3,0.6213181475195375
2025-05-29,105457546.04509705,40048936.04509705,3,0.6202364122149131
2025-05-30,104759584.04509705,40048936.04509705,3,0.6177062327027116
2025-06-02,105811330.04509705,40048936.04509705,3,0.6215061654736964
2025-06-03,106729888.27271205,20006526.272712056,4,0.8125499183359758
2025-06-04,106363903.27271205,20006526.272712056,4,0.8119049258523706
2025-06-05,106730700.27271205,20006526.272712056,4,0.8125513444436085
2025-06-06,105096098.27271205,20006526.272712056,4,0.809635879908715
2025-06-09,103370894.27271205,20006526.272712056,4,0.8064588062870867
2025-06-10,103730715.27271205,20006526.272712056,4,0.8071301617836711
2025-06-11,104009665.12095205,41545877.120952055,3,0.6005575340268746
2025-06-12,104738391.60507005,20752470.60507006,4,0.801863764689838
2025-06-13,104320221.60507005,20752470.60507006,4,0.8010695310480297
2025-06-16,105826980.60507005,20752470.60507006,4,0.8039018926325124
2025-06-17,106271469.60507005,20752470.60507006,4,0.8047220887958815
2025-06-18,105822766.81012607,45572364.81012606,3,0.5693519817725528
2025-06-19,105082768.60340306,22766097.603403065,4,0.7833508014113573
2025-06-20,106525652.60340306,22766097.603403065,4,0.7862853026757634
2025-06-23,106587395.60340306,22766097.603403065,4,0.7864091014277846
2025-06-24,107664516.60340306,22766097.603403065,4,0.788545954399581
2025-06-25,107395672.60340306,22766097.603403065,4,0.7880166206745125
2025-06-26,107096908.60340306,22766097.603403065,4,0.7874252590454356
2025-06-27,108390087.60340306,22766097.603403065,4,0.7899614429069962
2025-06-30,111455341.60340306,22766097.603403065,4,0.7957379406326458
