symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
DPM,1,1.0,0.29784041263865807,7786700.853540003,inf
CII,1,1.0,0.2838424001987472,6881513.080766004,inf
TCB,2,1.0,0.14312091186293152,6302317.836160015,inf
DGW,1,1.0,0.21838079553833198,5660610.163740002,inf
VGC,4,0.5,0.06299334651332097,5418670.459275026,2.42145137870912
MSB,1,1.0,0.2179965120868841,4785705.439188004,inf
HPG,1,1.0,0.16400002215646137,3717318.0201450065,inf
LPB,1,1.0,0.11880342926761327,3233367.2803200074,inf
CTD,1,1.0,0.14591462827709342,2920607.904996,inf
HDG,2,1.0,0.05435845407323853,2803543.627687011,inf
MSN,1,1.0,0.11533789259784218,2252653.2262200043,inf
MBB,1,1.0,0.0892132062677494,2208068.498160001,inf
GAS,2,0.5,0.03237520278099218,1907496.1685960032,3.079299899609189
CTG,1,1.0,0.06563207414347065,1774481.4330300055,inf
VRE,1,1.0,0.06711322816956355,1733719.1175600104,inf
HHV,2,1.0,0.02916256592821244,1347732.895664014,inf
VPI,1,1.0,0.04887722407189272,1330251.8581600077,inf
DXS,1,1.0,0.04737998212944359,1148723.7435000092,inf
POW,1,1.0,0.05537368453708482,1129169.5722980015,inf
EIB,1,1.0,0.0397506854970258,1100193.7060800083,inf
PC1,2,0.5,0.02584139508663149,1067578.6816800125,1.7080441345130821
VCI,2,1.0,0.024606656426567838,1052999.5580550134,inf
REE,3,0.3333333333333333,0.012193860743606835,633273.8010440171,1.7134498230768986
PAN,2,0.5,0.0075865803863949845,303426.79784600064,1.308291551447189
DSE,1,0.0,-0.009134896072958034,-262535.0266200006,0.0
SSB,1,0.0,-0.020064940962225407,-425468.75903999805,0.0
KDC,1,0.0,-0.03297201920374297,-672204.1540199965,0.0
BID,1,0.0,-0.027423901218851552,-748414.0711269937,0.0
TPB,1,0.0,-0.047069972602829795,-942276.1432239972,0.0
HSG,1,0.0,-0.03499711862555221,-1010274.0096999928,0.0
VHM,1,0.0,-0.03806155677361361,-1038512.1796199903,0.0
NLG,1,0.0,-0.0443693988908665,-1160435.46436999,0.0
VIC,1,0.0,-0.05505246266371933,-1373516.2062,0.0
VNM,1,0.0,-0.05554079529431705,-1434620.0009199865,0.0
CTR,1,0.0,-0.060937815360900385,-1593316.9801499955,0.0
VJC,1,0.0,-0.0627944169431252,-1618618.7639999948,0.0
VCG,1,0.0,-0.06544876043462552,-1889263.2986499965,0.0
HAG,2,0.0,-0.04171458751507996,-2023340.6140749902,0.0
CMG,1,0.0,-0.07874507585845154,-2041108.846379988,0.0
HT1,1,0.0,-0.10505500391526762,-2113922.5483049974,0.0
SIP,1,0.0,-0.07689737373331064,-2235884.5960699916,0.0
DGC,2,0.0,-0.05431532784437954,-2322663.1242239885,0.0
VHC,2,0.0,-0.044631357858931915,-2404582.26368998,0.0
