date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98244029.555736,19923823.55573601,4,0.7972006681135491
2025-01-06,96498461.555736,19923823.55573601,4,0.7935322155967397
2025-01-07,96257586.06305201,76992874.06305201,1,0.20013707789618737
2025-01-08,97060099.94683404,19197237.94683404,4,0.8022128767912914
2025-01-09,96993423.94683404,19197237.94683404,4,0.8020769123754533
2025-01-10,96859170.00043404,38366396.00043404,3,0.6038950571199184
2025-01-13,97051801.10006404,19167686.100064043,4,0.8025004597256115
2025-01-14,96412457.05366404,37788493.05366404,3,0.6080538323732313
2025-01-15,96862167.20431514,39216444.20431514,3,0.5951314601335074
2025-01-16,97311659.11456314,19591501.114563145,4,0.7986726226556425
2025-01-17,97548930.52189115,38733604.52189115,3,0.6029315307234572
2025-01-20,97683890.61661215,19347611.61661215,4,0.8019365169171314
2025-01-21,97508765.61661215,19347611.61661215,4,0.8015807964108205
2025-01-22,97314240.61661215,19347611.61661215,4,0.8011841689970564
2025-01-23,98096057.27673437,58901021.27673437,2,0.39955770994372025
2025-01-24,97433605.92316937,19598969.923169382,4,0.7988479463787472
2025-02-03,97772973.92316937,19598969.923169382,4,0.7995461410576468
2025-02-04,98336711.92316937,19598969.923169382,4,0.8006952892783106
2025-02-05,98287021.48436938,38722066.48436938,3,0.6060307261368444
2025-02-06,97881469.11185339,19342850.111853387,4,0.8023849632891239
2025-02-07,97864750.11185339,19342850.111853387,4,0.8023512031681918
2025-02-10,97579397.0662534,38063756.06625339,3,0.6099201551695459
2025-02-11,97707047.89567238,19017138.89567239,4,0.8053657406988889
2025-02-12,98286543.01082115,39539572.01082115,3,0.5977112349300155
2025-02-13,98101148.95094115,38170287.95094115,3,0.6109088592832943
2025-02-14,97825639.07703716,19066233.077037156,4,0.8050998362298191
2025-02-17,97624005.07703716,19066233.077037156,4,0.8046972866766572
2025-02-18,98171341.00198156,39525484.00198156,3,0.5973826617975633
2025-02-19,98792223.64117156,19745172.64117156,4,0.8001343434389224
2025-02-20,98664128.64117156,19745172.64117156,4,0.7998748591498522
2025-02-21,99268342.64117156,19745172.64117156,4,0.801092955560414
