symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
GMD,3,1.0,0.06922207742424948,3822917.86108011,inf
NAB,4,1.0,0.04206227986642118,3439082.2675405033,inf
GEE,3,0.6666666666666666,0.05928785632272376,3225139.487542011,4.451440054495754
SIP,2,1.0,0.0672766477251873,2232256.733410351,inf
EVF,4,0.5,0.0333081724609126,2084896.0860454794,2.6076286342078
CTD,5,0.6,0.020457558247441384,1938005.8018738292,2.1596141447018335
PVD,1,1.0,0.09727745007724589,1638340.1413859986,inf
GEX,1,1.0,0.08405865854642804,1503660.4378950074,inf
BSR,2,0.5,0.0428696727265784,1459626.3510320075,3.600796190882886
CTS,1,1.0,0.08478641006263768,1450472.7840900011,inf
STB,1,1.0,0.08041609239910937,1381057.6348979995,inf
HDB,8,0.625,0.01176626402729744,1289160.8035112638,1.3421965974117098
POW,1,1.0,0.07262291232167538,1245297.2868000045,inf
DCM,1,1.0,0.06903738286464857,1205464.2108498253,inf
HHV,5,0.6,0.012209152892022956,1106213.006387556,1.8311579492503984
HDG,1,1.0,0.09241859840449104,1072314.9615791682,inf
NT2,1,1.0,0.05968669691946424,1068041.7919920012,inf
ANV,1,1.0,0.08096028640109824,939306.5352720041,inf
MWG,3,0.6666666666666666,0.017659371329222823,798043.6828484274,2.271775218858869
SSB,6,0.5,0.0030629121792347877,761044.4104721099,1.3087279366850164
VPB,2,0.5,0.017853135635532334,678414.7821255252,4.795720887892319
CII,2,0.5,0.017839437258490333,647359.0611645579,4.822396906529312
CTG,1,1.0,0.03588747670004281,642948.0337914377,inf
VNM,2,0.5,0.016528975419144738,506513.4104847014,2.4417525865102747
NKG,1,1.0,0.02795803036898659,461668.19686212204,inf
PVT,1,1.0,0.021965993669617868,420907.23336749896,inf
HPG,1,1.0,0.017136885145455815,296414.610535685,inf
KOS,3,0.6666666666666666,0.008661220935856249,279804.1582654007,1.634025582097092
VCB,2,0.5,0.00785062600668069,239236.73402818665,1.6436551310255558
PAN,2,0.5,0.008586079447333587,198805.36322100088,1.3301831077935935
TCH,2,0.5,0.005460315390180982,171659.62880624458,1.2307447007620822
FRT,5,0.4,-0.0012394389702408402,121280.96587255038,1.0507213637529271
DBC,4,0.5,0.001470340210138095,99730.43051701784,1.0831711179082881
ACB,1,0.0,-0.011169209418165241,-184193.19622499682,0.0
TPB,1,0.0,-0.011578493685790415,-202205.6498240009,0.0
DSE,2,0.5,-0.010707108860003627,-286216.00705351867,0.7451922111591825
OCB,1,0.0,-0.024050530061759907,-462548.141459994,0.0
REE,3,0.3333333333333333,-0.009742666499236654,-484745.4837292284,0.6493032623393237
SAB,1,0.0,-0.027748539795453227,-545754.2233769931,0.0
HT1,2,0.5,-0.02417618147431723,-640452.2567662168,0.4949867511946862
SBT,4,0.5,-0.009622649068858792,-645795.171010077,0.44569462039732155
VJC,3,0.3333333333333333,-0.012948258954221916,-681872.8940574899,0.6497928624323068
LPB,1,0.0,-0.046835273272387054,-732120.4115999918,0.0
CTR,1,0.0,-0.03858334603511214,-736578.762063995,0.0
DXG,1,0.0,-0.04433973381974508,-761219.4215999953,0.0
MSB,1,0.0,-0.041841275607509186,-798042.3749999963,0.0
VIX,1,0.0,-0.049708611719634255,-832058.8962999973,0.0
SCS,1,0.0,-0.04248062083720583,-850445.174023997,0.0
BID,1,0.0,-0.05141953449892342,-879592.7972379941,0.0
VCI,3,0.3333333333333333,-0.016346719151635398,-887741.6424423922,0.4674142405948259
DGC,1,0.0,-0.04981537403715807,-921465.5506739952,0.0
BCM,1,0.0,-0.04951188147629685,-922425.0147719942,0.0
VCG,1,0.0,-0.05627824290604797,-989780.7573499978,0.0
SHB,2,0.0,-0.03656872019033612,-1079599.3792489972,0.0
KBC,2,0.0,-0.03185976812287173,-1116656.6092849914,0.0
PHR,1,0.0,-0.04998951369666072,-1121977.7066399977,0.0
MSN,3,0.3333333333333333,-0.018423577246948552,-1131232.800209988,0.399820019384641
KDC,2,0.0,-0.03248896586386191,-1161315.6709839925,0.0
PDR,1,0.0,-0.060818159705638225,-1166422.9253589995,0.0
GAS,2,0.0,-0.03212991565602716,-1238187.249629993,0.0
BSI,1,0.0,-0.06498165533902803,-1300798.611119993,0.0
TCB,2,0.0,-0.03979719581914651,-1424692.1065199915,0.0
HSG,2,0.0,-0.03685492726241111,-1441449.7486259937,0.0
HAG,3,0.3333333333333333,-0.030344115587895876,-1570041.9906255957,0.2993684640798613
VIB,2,0.0,-0.042429332885087725,-1623332.6292419862,0.0
FPT,2,0.0,-0.04955541112168861,-1705198.8408979923,0.0
BVH,2,0.0,-0.05214302472677993,-1747500.0676109958,0.0
NLG,2,0.0,-0.04931424597227767,-1780409.0229139905,0.0
CMG,2,0.0,-0.04937120353796273,-1798173.501705993,0.0
VHC,2,0.0,-0.047275981277553766,-1811322.4385619871,0.0
HDC,1,0.0,-0.1031589969073889,-1921133.1215999983,0.0
DGW,2,0.0,-0.0532142757564357,-1972992.064799983,0.0
SZC,2,0.0,-0.056337938907754286,-2117804.7414539866,0.0
GVR,1,0.0,-0.13821682651605458,-2443393.6018879954,0.0
NVL,1,0.0,-0.12947897558355573,-2526167.4489779957,0.0
DIG,3,0.0,-0.058900927922400315,-3496605.3397349883,0.0
VPI,5,0.0,-0.03945734028235552,-3597425.291519981,0.0
