symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
MSN,OVERSOLD_MEAN_REVERSION,2025-01-02,2025-01-03,2025-01-07,70.87079999999999,67.2327,282200,19999739.759999998,-1084617.6956399977,-0.05417741303042433,2,SL,86.1,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -57.1, StochK 17.2, ADX 24.2"
BSI,NR7,2025-01-02,2025-01-03,2025-01-07,43.663619999999995,40.94901,458000,19997937.959999997,-1300798.611119993,-0.06498165533902803,2,SL,81.4,,False,,,,,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 2.1% — SL hẹp, risk thấp"
PAN,NR7,2025-01-02,2025-01-03,2025-01-07,23.423399999999997,22.78719,853800,19998898.919999998,-602106.4025639966,-0.030076900737009693,2,SL,81.4,,False,,,,,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 1.6% — SL hẹp, risk thấp"
SCS,NR7,2025-01-02,2025-01-03,2025-01-10,73.85377999999999,70.929,270800,19999603.623999998,-850445.174023997,-0.04248062083720583,5,SL,84.9,,False,,,,,"NR7: range 1 nhỏ nhất 7 phiên — sắp bung | ATR 2.6% — SL hẹp, risk thấp"
FRT,NR7,2025-01-07,2025-01-08,2025-01-14,148.36821999999998,143.856,129700,19243358.133999996,-641794.5385339931,-0.0333181651915539,4,SL,81.4,,False,,,,,"NR7: range 2 nhỏ nhất 7 phiên — sắp bung | ATR 1.9% — SL hẹp, risk thấp"
SSB,HAMMER,2025-01-07,2025-01-08,2025-01-15,16.666649999999997,17.648958374999992,1154800,19246647.419999998,1074361.029767096,0.05576491939628784,5,TP,91.5,,False,,,,,Bóng dưới 0 > 2× thân 0 | Đóng cửa gần đỉnh nến — lực mua hấp thu | Gần support 16 | Money flow: EARLY_MONEY_IN score=3
SBT,NR7,2025-01-14,2025-01-15,2025-01-17,11.041029999999997,11.20878,1711200,18893410.535999995,229799.4607920088,0.012150791434065293,2,TP,87.9,,False,,,,,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 2.1% — SL hẹp, risk thấp"
MWG,OVERSOLD_MEAN_REVERSION,2025-01-07,2025-01-08,2025-01-23,56.346289999999996,58.30735927499999,341600,19247892.663999997,610817.7838193215,0.03170256541301121,11,TP,77.3,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -88.3, StochK 3.9, ADX 20.0"
SBT,NR7,2025-01-17,2025-01-20,2025-01-23,11.14113,11.341472175000002,1738300,19366626.279,289458.4143599011,0.014931317460715604,3,TP,87.9,,False,,,,,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 2.0% — SL hẹp, risk thấp"
VPI,NR7,2025-01-23,2025-01-24,2025-02-05,59.35929999999999,57.942,330700,19630120.509999998,-526654.0693099946,-0.026802073940432783,3,SL,86.5,,False,,,,,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 1.8% — SL hẹp, risk thấp"
HSG,NR7,2025-02-05,2025-02-06,2025-02-10,13.40339,12.987,1444400,19359856.516,-658310.4181159958,-0.03396991939517355,2,SL,90.0,,False,,,,,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 2.0% — SL hẹp, risk thấp"
REE,NR7,2025-01-15,2025-01-16,2025-02-12,54.824769999999994,57.504363074999986,357600,19605337.751999997,897490.0253967606,0.04573210843426208,14,TP,78.4,,False,,,,,"NR7: range 1 nhỏ nhất 7 phiên — sắp bung | ATR 1.7% — SL hẹp, risk thấp"
MWG,OVERSOLD_MEAN_REVERSION,2025-02-10,2025-02-11,2025-02-13,56.646589999999996,54.945,335900,19027589.581,-627503.7215809971,-0.03294567827772724,2,SL,88.9,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -81.6, StochK 52.0, ADX 21.1"
HAG,NR7,2025-02-12,2025-02-13,2025-02-18,12.312299999999999,12.767969249999998,1605600,19768628.88,670853.4160644002,0.0339013513228323,3,TP,90.0,,False,,,,,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 2.5% — SL hẹp, risk thấp"
HHV,NR7,2025-01-23,2025-01-24,2025-03-11,11.561549999999999,12.391471124999995,1698100,19632668.054999996,1347572.480072774,0.06857072355359779,27,TP,87.9,,False,,,,,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 2.7% — SL hẹp, risk thấp"
VHC,NR7,2025-02-18,2025-02-19,2025-03-14,67.32726,64.935,293500,19760550.81,-760005.7058099955,-0.03842233279076521,17,SL,84.9,,False,,,,,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 2.1% — SL hẹp, risk thấp"
VPB,NR7,2025-02-13,2025-02-14,2025-03-17,18.60859,19.501953524999998,1025600,19084969.904,857146.2542655207,0.044867242055317606,21,TP,90.0,,False,,,,,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 1.5% — SL hẹp, risk thấp"
