date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98038954.48570102,19923788.485701032,4,0.796776816009325
2025-01-06,97099079.48570102,19923788.485701032,4,0.7948097078650984
2025-01-07,97165044.18562102,77540494.18562102,1,0.20197129702848568
2025-01-08,97747224.88351604,19332146.88351604,4,0.802223061508356
2025-01-09,97754929.88351604,19332146.88351604,4,0.8022386501984906
2025-01-10,97804622.88351604,19332146.88351604,4,0.8023391296489086
2025-01-13,98236970.88351604,19332146.88351604,4,0.8032090494072844
2025-01-14,98039215.88351604,19332146.88351604,4,0.8028121021848516
2025-01-15,98573699.3625066,39818595.362506606,3,0.5960525411948578
2025-01-16,98482325.81367661,19889967.81367661,4,0.7980351535228017
2025-01-17,98987587.81367661,19889967.81367661,4,0.7990660419858365
2025-01-20,99310357.81367661,19889967.81367661,4,0.7997191002876696
2025-01-21,99241067.81367661,19889967.81367661,4,0.7995792643926436
2025-01-22,98703765.81367661,19889967.81367661,4,0.7984882577710058
2025-01-23,99591125.81367661,19889967.81367661,4,0.800283733604052
2025-01-24,99632741.81367661,19889967.81367661,4,0.8003671538933167
2025-02-03,99256457.81367661,19889967.81367661,4,0.7996103402056328
2025-02-04,100212769.36904575,40762999.36904575,3,0.5932354766194413
2025-02-05,100104941.65786976,20363084.657869752,4,0.7965826229891328
2025-02-06,100371961.65786976,20363084.657869752,4,0.7971237751905274
2025-02-07,99914474.17306975,40460252.17306975,3,0.5950511424102043
2025-02-10,99908853.40436976,38924741.40436976,3,0.6103974765196606
2025-02-11,100072693.20298976,19444459.202989765,4,0.8056966532963377
2025-02-12,99494351.20298976,19444459.202989765,4,0.8045672043901376
2025-02-13,99557907.20298976,19444459.202989765,4,0.8046919652163416
2025-02-14,99780987.20298976,19444459.202989765,4,0.8051286146985812
2025-02-17,99924659.20298976,19444459.202989765,4,0.805408801410173
2025-02-18,100525431.13378426,40380277.133784264,3,0.5983078443101212
2025-02-19,102023069.71616027,20170293.716160268,4,0.8022967376665268
2025-02-20,102109847.71616027,20170293.716160268,4,0.802464755679309
2025-02-21,102061009.44225627,41541079.44225627,3,0.5929779680872229
2025-02-24,102529047.04980516,40933739.049805164,3,0.6007595873789705
2025-02-25,102236618.82991618,20450945.82991617,4,0.7999645717554591
2025-02-26,101929274.82991618,20450945.82991617,4,0.7993614114880975
2025-02-27,102263250.82991618,20450945.82991617,4,0.8000166661635849
2025-02-28,102235580.82991618,20450945.82991617,4,0.7999625407915536
2025-03-03,102643813.82991618,20450945.82991617,4,0.8007581259226786
2025-03-04,102801564.82991618,20450945.82991617,4,0.8010638664523055
2025-03-05,102705448.86196017,41935363.86196017,3,0.5916929011398138
2025-03-06,103132877.91846117,20947952.918461177,4,0.7968838517720506
2025-03-07,103717952.91846117,20947952.918461177,4,0.7980296339349312
2025-03-10,103919920.09825318,42317590.098253176,3,0.5927865412305633
2025-03-11,104217004.76065318,21137693.76065318,4,0.7971761536497962
2025-03-12,103678922.76065318,21137693.76065318,4,0.7961235205978135
2025-03-13,103367574.00065318,42194376.00065318,3,0.5918025898490512
2025-03-14,103148510.61549518,21083058.615495183,4,0.7956048178525222
2025-03-17,104043058.61549518,21083058.615495183,4,0.797362179697058
2025-03-18,103946176.61549518,21083058.615495183,4,0.7971733131322086
2025-03-19,103146633.69149518,40063982.69149518,3,0.6115822566607076
2025-03-20,102724009.78604719,20014495.786047187,4,0.8051624364378568
2025-03-21,101872935.78604719,20014495.786047187,4,0.8035347108472314
2025-03-24,101374902.17810318,39194848.178103186,3,0.6133673390950092
2025-03-25,101302260.51405919,19579632.514059193,4,0.8067206751882715
2025-03-26,101071415.51405919,19579632.514059193,4,0.8062792292511661
