symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
VCG,3,1.0,0.07596590968139957,4268070.387857504,inf
GEE,2,1.0,0.11387107524484902,4010975.0898800064,inf
EVF,2,1.0,0.10313854005543552,3556503.963920176,inf
DCM,3,1.0,0.05862450946729538,3367135.48113738,inf
SSB,4,0.75,0.03876505156870415,3037568.353565581,8.822314043583926
DSE,3,0.6666666666666666,0.040002659509199234,2395372.658439651,3.4242693580538175
BSR,1,1.0,0.11839234491781972,2329166.655232005,inf
NKG,2,1.0,0.061932110244574914,2302569.3960245512,inf
TCH,3,0.6666666666666666,0.03258946933694067,1999111.2589678094,3.5957767397153737
VIB,2,1.0,0.049023857049047485,1938194.7529919222,inf
PAN,2,1.0,0.05114615258773743,1926871.913753543,inf
VTP,1,1.0,0.08999103103967332,1737887.597721003,inf
OCB,1,1.0,0.09368980093908987,1721307.4146585949,inf
HDB,5,0.6,0.01832396247674998,1544878.5891861934,1.7838841396512577
GMD,3,0.6666666666666666,0.02432192433178158,1270623.5991165005,2.176832206774805
VIC,1,1.0,0.07453161884359726,1229319.9346050005,inf
DPM,1,1.0,0.05069092152263686,864453.3589367978,inf
HCM,1,1.0,0.03583595756777307,698094.5663768984,inf
DBC,2,0.5,0.017211428062342198,678058.4876242839,2.3411474749129813
MWG,4,0.5,0.0017888632745152629,532742.3333575111,1.280912804146306
VPL,1,1.0,0.021661292758171823,418466.0525951423,inf
STB,2,0.5,0.012293549093665111,302146.1053540036,1.2636046203457845
REE,2,0.5,0.007649223344645087,176325.01103903726,1.2123362316315538
BVH,5,0.2,0.0047205546131936175,164386.34037402272,1.0475902124626162
NAB,4,0.25,-0.0004269378615308077,-35629.09741366282,0.9807846051142913
KDH,2,0.5,-0.004330837121610882,-179180.31038059667,0.8150037078842771
CTG,2,0.5,-0.0010544181005467945,-190843.0499626249,0.7876457221032835
MBB,3,0.3333333333333333,-0.0023215758277950658,-274902.3391050622,0.8337600034558499
BID,2,0.5,-0.006508628129176314,-334669.28141699545,0.6006546579365228
DIG,1,0.0,-0.02244535001251944,-387371.7303749956,0.0
VCB,2,0.5,-0.011993452141121852,-389742.1600519903,0.5997152110830717
KOS,4,0.5,-0.006315912529527476,-471359.5591270365,0.5896671078437259
MSB,2,0.5,-0.009796496597646118,-502922.0864039883,0.5326214962715592
HHV,2,0.0,-0.015556432980518356,-559760.5770999938,0.0
TCB,1,0.0,-0.03519171123404961,-704514.6455559917,0.0
GVR,1,0.0,-0.0426011159916428,-740335.1675999966,0.0
FTS,1,0.0,-0.04163248094104746,-752923.660489995,0.0
ANV,3,0.3333333333333333,-0.016631698688212713,-802702.2650101837,0.5703065227409283
PNJ,1,0.0,-0.04081155102460482,-820763.0143049955,0.0
SAB,3,0.3333333333333333,-0.01231673382406811,-822830.7350910641,0.4198977323923187
BCM,1,0.0,-0.03907000094356365,-824819.1901579946,0.0
FPT,1,0.0,-0.04490205731855847,-857618.711621996,0.0
KDC,1,0.0,-0.04602782018419916,-871677.222831998,0.0
FRT,3,0.3333333333333333,-0.015705850847181357,-882572.3703019544,0.5374751198010145
CTR,1,0.0,-0.046840392831991824,-916875.9719819948,0.0
SZC,1,0.0,-0.04825036406498407,-921886.1899499968,0.0
NLG,1,0.0,-0.057358016083500954,-1036947.0567999966,0.0
ACB,2,0.0,-0.026205503990975897,-1041162.0817649849,0.0
SSI,1,0.0,-0.05983214202553896,-1128758.7477499954,0.0
VPI,4,0.25,-0.013764737229470208,-1135580.7242799886,0.4619747964267478
POW,2,0.5,-0.03065735045796541,-1139102.4963956699,0.2573865300686336
SHB,2,0.0,-0.03070792123058455,-1164479.3238609955,0.0
VSC,1,0.0,-0.06451958861088161,-1243202.1109199934,0.0
CMG,1,0.0,-0.061077294391037845,-1310623.3707859963,0.0
CTD,6,0.3333333333333333,-0.012506894024839186,-1415277.219316367,0.6223919660874624
SCS,2,0.0,-0.04121339566170592,-1494431.1997499913,0.0
SBT,2,0.0,-0.0405940440761339,-1572466.7946159877,0.0
PLX,2,0.0,-0.039608427771697305,-1590200.0731659867,0.0
LPB,2,0.0,-0.0484233727189351,-1834774.695611991,0.0
GAS,3,0.0,-0.03543146396736526,-1977528.9153489918,0.0
BSI,1,0.0,-0.10194456423171269,-2001035.0381999984,0.0
VRE,2,0.0,-0.05509492719354267,-2002090.9530399926,0.0
MSN,4,0.5,-0.024978174453358308,-2058616.1025205962,0.44900311278336513
CTS,3,0.0,-0.03943915117666317,-2182131.4010759853,0.0
GEX,1,0.0,-0.11415163428219698,-2203729.3447759934,0.0
PHR,1,0.0,-0.1393683454884773,-2538118.9740200005,0.0
HAG,7,0.2857142857142857,-0.02259271854182008,-2753425.269197125,0.5189349840176919
VHC,3,0.0,-0.05241540398838501,-2920482.3456099853,0.0
TPB,4,0.0,-0.03834126415389483,-2924797.611735981,0.0
HT1,3,0.0,-0.06192005401370826,-3361578.3820599895,0.0
