symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
ACB,OBV_ACCUMULATION,2025-01-02,2025-01-03,2025-01-07,21.331309999999995,20.699279999999998,937500,19998103.124999996,-651337.3781249933,-0.03253742054265759,2,SL,91.8,,False,,,,,"OBV above OBV EMA20, price holds VWMA20 | Accumulation volume 0.8x MA20"
TCB,OBV_ACCUMULATION,2025-01-02,2025-01-03,2025-01-07,23.743719999999996,22.977,842300,19999335.355999995,-704514.6455559917,-0.03519171123404961,2,SL,87.6,,False,,,,,"OBV above OBV EMA20, price holds VWMA20 | Accumulation volume 0.8x MA20"
MSN,OVERSOLD_MEAN_REVERSION,2025-01-02,2025-01-03,2025-01-07,70.87079999999999,67.2327,282200,19999739.759999998,-1084617.6956399977,-0.05417741303042433,2,SL,86.1,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -57.1, StochK 17.2, ADX 24.2"
SSB,HAMMER,2025-01-07,2025-01-08,2025-01-15,16.666649999999997,17.648958374999992,1163100,19384980.615,1082082.8833755702,0.05576491939628779,5,TP,91.5,,False,,,,,Bóng dưới 0 > 2× thân 0 | Đóng cửa gần đỉnh nến — lực mua hấp thu | Gần support 16 | Money flow: EARLY_MONEY_IN score=3
PAN,SPRING,2025-01-15,2025-01-16,2025-02-04,24.854829999999996,26.110937924999988,801000,19908718.83,944404.0065391436,0.04738931490515961,8,TP,100.0,,False,,,,,HH: đỉnh 24 > 24 | HL: đáy 23 > 23 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=4
CTS,SPRING,2025-02-04,2025-02-05,2025-02-07,24.264239999999997,23.976,839900,20379535.176,-302747.19597599655,-0.014840610868345344,2,SL,100.0,,False,,,,,HH: đỉnh 24 > 24 | HL: đáy 23 > 22 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
VPI,SPRING,2025-01-07,2025-01-08,2025-02-10,58.85879999999999,56.943,329300,19382202.839999996,-687757.8026399948,-0.035448536865487004,18,SL,85.1,,False,,,,,HH: đỉnh 60 > 59 | HL: đáy 58 > 57 | Volume phiên tăng > giảm
HAG,OBV_ACCUMULATION,2025-02-07,2025-02-10,2025-02-18,12.312299999999999,12.767969249999998,1643000,20229108.9,686479.9218944982,0.033901351322832195,6,TP,99.5,,False,,,,,"OBV above OBV EMA20, price holds VWMA20 | Accumulation volume 1.6x MA20 | Money flow: EARLY_MONEY_IN score=3"
TCH,SPRING,2025-02-18,2025-02-19,2025-02-21,13.08307,13.87611,1543200,20189793.623999998,1160802.3084720038,0.05743707377116069,2,TP,98.4,,False,,,,,HH: đỉnh 13 > 13 | HL: đáy 12 > 12 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
HCM,SPRING,2025-02-10,2025-02-11,2025-02-24,22.602579999999996,23.48294354999999,861000,19460821.379999995,698094.5663768984,0.03583595756777307,9,TP,98.4,,False,,,,,HH: đỉnh 23 > 22 | HL: đáy 22 > 20 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
VIB,OBV_ACCUMULATION,2025-01-02,2025-01-03,2025-03-05,15.795779999999997,17.00298,1266100,19999037.057999995,1465381.9369860068,0.07319942528840132,38,TP,87.6,,False,,,,,"OBV above OBV EMA20, price holds VWMA20 | Accumulation volume 0.8x MA20"
VCB,OBV_ACCUMULATION,2025-02-21,2025-02-24,2025-03-10,62.02195999999999,63.95598,334800,20764952.207999997,583920.0195840038,0.028092368191262387,10,TP,99.5,,False,,,,,"OBV above OBV EMA20, price holds VWMA20 | Accumulation volume 1.8x MA20 | Money flow: EARLY_MONEY_IN score=3"
HHV,OBV_ACCUMULATION,2025-03-10,2025-03-11,2025-03-13,12.022009999999998,11.988,1760000,21158737.599999998,-123214.09759999812,-0.005817502391702458,2,SL,100.0,,False,,,,,"OBV above OBV EMA20, price holds VWMA20 | Accumulation volume 1.7x MA20 | Money flow: EARLY_MONEY_IN score=3"
KOS,OBV_ACCUMULATION,2025-01-07,2025-01-08,2025-03-19,38.688649999999996,37.962,501000,19383013.65,-421472.5876499936,-0.021722707506522332,45,SL,83.4,,False,,,,,"OBV above OBV EMA20, price holds VWMA20 | Accumulation volume 1.0x MA20"
LPB,OBV_ACCUMULATION,2025-03-19,2025-03-20,2025-03-24,33.753719999999994,32.38758,593400,20029457.447999995,-869134.5133919939,-0.04334946412797359,2,SL,99.1,,False,,,,,"OBV above OBV EMA20, price holds VWMA20 | Accumulation volume 1.9x MA20 | Money flow: EARLY_MONEY_IN score=3"
ACB,OBV_ACCUMULATION,2025-03-24,2025-03-25,2025-03-27,22.082059999999995,21.70827,887400,19595620.043999996,-389824.7036399916,-0.019873587439294203,2,SL,87.2,,False,,,,,"OBV above OBV EMA20, price holds VWMA20 | Accumulation volume 1.1x MA20"
GAS,SPRING,2025-02-24,2025-02-25,2025-03-28,64.77470999999998,62.937,315900,20462330.888999995,-640758.5164889917,-0.03128277035315715,23,SL,100.0,,False,,,,,HH: đỉnh 65 > 64 | HL: đáy 63 > 63 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
BCM,OBV_ACCUMULATION,2025-03-13,2025-03-14,2025-03-31,77.73765999999999,74.925,271300,21090227.157999996,-824819.1901579946,-0.03907000094356365,11,SL,83.2,,False,,,,,"OBV above OBV EMA20, price holds VWMA20 | Accumulation volume 1.0x MA20"
TCH,MACD_CROSSOVER,2025-03-27,2025-03-28,2025-04-01,15.515499999999998,14.94504,1250500,19402132.749999996,-770139.907789994,-0.0396539157404096,2,SL,83.5,,False,,,,,MACD crossover bullish (hist=0.01) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60
MBB,MACD_CROSSOVER,2025-03-05,2025-03-06,2025-04-03,17.78777,16.983,1178700,20966444.498999998,-1009584.5676989928,-0.04810429311252035,20,SL,84.6,,False,,,,,MACD crossover bullish (hist=0.00) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60
BSI,OBV_ACCUMULATION,2025-03-28,2025-03-31,2025-04-03,53.21315999999999,47.932019999999994,368500,19609049.459999997,-2001035.0381999984,-0.10194456423171269,3,SL,92.4,,False,,,,,"OBV above OBV EMA20, price holds VWMA20 | Accumulation volume 1.9x MA20 | Money flow: BREAKOUT_FLOW score=6"
MSB,MACD_CROSSOVER,2025-03-31,2025-04-01,2025-04-03,10.180169999999999,9.66033,1958800,19940916.995999996,-1076048.8178039938,-0.05390794436262213,2,SL,95.6,,False,,,,,MACD crossover bullish (hist=0.01) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60 | Money flow: EARLY_MONEY_IN score=3
GEX,MACD_CROSSOVER,2025-04-01,2025-04-02,2025-04-04,15.875859999999998,14.105879999999999,1214800,19285994.727999996,-2203729.3447759934,-0.11415163428219698,2,SL,100.0,,False,,,,,MACD crossover bullish (hist=0.01) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60 | Money flow: BREAKOUT_FLOW score=6
VPI,OVERSOLD_MEAN_REVERSION,2025-04-03,2025-04-04,2025-04-09,55.555499999999995,53.946,340900,18938869.95,-604397.8027499989,-0.031881205707379484,2,SL,88.9,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -83.3, StochK 51.0, ADX 18.6"
SHB,SPRING,2025-04-03,2025-04-04,2025-04-09,9.21921,8.91108,2054300,18939023.103,-688542.5453909971,-0.03631943880945678,2,SL,70.2,,False,,,,,HH: đỉnh 11 > 11 | HL: đáy 10 > 10 | Volume phiên tăng > giảm
GEE,OVERSOLD_MEAN_REVERSION,2025-04-03,2025-04-04,2025-04-11,27.727699999999995,30.619349999999997,683000,18938019.099999998,1914232.8988000005,0.10097785666621167,4,TP,62.0,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -80.3, StochK 50.4, ADX 33.9"
NKG,NR7,2025-04-09,2025-04-10,2025-04-14,12.262249999999998,12.642969374999995,1484200,18199631.449999996,509334.67463225126,0.02795803036898684,2,TP,65.2,,False,,,,,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 4.9% — SL hẹp, risk thấp"
VPI,OVERSOLD_MEAN_REVERSION,2025-04-09,2025-04-10,2025-04-17,57.35729999999999,54.945,317300,18199471.289999995,-818490.3582899943,-0.04492837580692104,5,SL,77.3,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -83.3, StochK 20.0, ADX 22.5"
STB,OVERSOLD_MEAN_REVERSION,2025-04-04,2025-04-08,2025-04-18,36.035999999999994,39.05090999999999,499300,17992774.799999997,1448355.5494739972,0.08041609239910924,8,TP,83.3,,False,,,,,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -41.6, StochK 43.8, ADX 23.2"
GMD,SPRING,2025-04-25,2025-04-28,2025-05-05,49.789739999999995,53.92037564999999,380000,18920101.2,1509741.960306,0.07971594393900074,2,TP,95.4,,False,,,,,HH: đỉnh 48 > 47 | HL: đáy 43 > 42 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
TPB,NR7,2025-04-25,2025-04-28,2025-05-06,12.09208,11.988,1565000,18924105.2,-219331.74519999698,-0.011578493685790206,3,SL,84.9,,False,,,,,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 3.2% — SL hẹp, risk thấp"
DCM,NR7,2025-04-25,2025-04-28,2025-05-07,30.49046,32.693423849999995,620600,18922379.476,1307657.908151377,0.06903738286464868,4,TP,84.9,,False,,,,,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 3.3% — SL hẹp, risk thấp"
BSR,NR7,2025-05-05,2025-05-06,2025-05-08,10.009999999999998,11.22876,1963400,19653633.999999996,2329166.655232005,0.11839234491781972,2,TP,84.9,,False,,,,,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 3.4% — SL hẹp, risk thấp"
HDB,NR7,2025-05-06,2025-05-07,2025-05-13,16.326309999999996,16.798959224999987,1174700,19178516.356999993,496575.05344727635,0.02586638951827674,4,TP,84.9,,False,,,,,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 2.8% — SL hẹp, risk thấp"
PLX,SPRING,2025-05-08,2025-05-09,2025-05-23,34.57453999999999,32.967,602900,20844990.165999994,-1029782.464765992,-0.049352563990791645,10,SL,100.0,,False,,,,,HH: đỉnh 33 > 33 | HL: đáy 32 > 30 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
