date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98642760.05148202,19927577.051482014,4,0.7979823654459614
2025-01-06,98166209.05148202,19927577.051482014,4,0.7970016643809555
2025-01-07,97894732.47286202,58557107.47286202,2,0.40183597223584033
2025-01-08,98757256.90457603,19482789.90457603,4,0.8027204226277647
2025-01-09,98449398.90457603,19482789.90457603,4,0.8021035159040423
2025-01-10,98167384.90457603,19482789.90457603,4,0.8015350014313374
2025-01-13,97713180.21057603,58019908.21057603,2,0.4062222917569495
2025-01-14,97702500.21489504,19308921.214895036,4,0.8023702446464994
2025-01-15,98729593.16387105,40602651.16387105,3,0.5887489266113058
2025-01-16,98994167.11955655,40199074.11955655,3,0.5939248211361019
2025-01-17,99285718.89648455,20079823.896484558,4,0.7977571787799632
2025-01-20,99637215.89648455,20079823.896484558,4,0.7984706445697364
2025-01-21,99456292.17363656,40520933.173636556,3,0.5925754692031675
2025-01-22,98155317.81457657,20241374.81457656,4,0.7937821886246227
2025-01-23,98711214.81457657,20241374.81457656,4,0.7949435142440618
2025-01-24,98921897.81457657,20241374.81457656,4,0.7953802417689371
2025-02-03,99237036.81457657,20241374.81457656,4,0.7960300361205124
2025-02-04,100284648.21191736,41523528.211917356,3,0.5859433228087757
2025-02-05,100474023.98417336,20742283.984173357,4,0.7935557553916555
2025-02-06,100375298.98417336,20742283.984173357,4,0.7933527053558875
2025-02-07,99969692.85297336,41215121.85297336,3,0.5877238323259737
2025-02-10,100321621.15371536,39432806.15371536,3,0.6069361150644147
2025-02-11,99856237.38918136,19696859.38918136,4,0.8027478312404813
2025-02-12,100500446.38918136,19696859.38918136,4,0.8040122198770484
2025-02-13,100723686.32192136,41153708.32192136,3,0.5914197561198202
2025-02-14,100822095.84095837,20557614.840958368,4,0.7961001041538857
2025-02-17,100749902.84095837,20557614.840958368,4,0.7959539983536245
2025-02-18,100836482.84095837,20557614.840958368,4,0.7961291958845658
2025-02-19,101718544.84095837,20557614.840958368,4,0.7978970808803729
2025-02-20,102292202.84095837,20557614.840958368,4,0.7990304806230355
2025-02-21,103147269.28877777,41001478.28877777,3,0.6024957464071359
2025-02-24,103670345.71592043,40925499.71592043,3,0.6052342699033212
2025-02-25,103143136.49603143,20442706.49603144,4,0.8018025513814194
2025-02-26,103030209.49603143,20442706.49603144,4,0.8015853156464866
2025-02-27,103170805.49603143,20442706.49603144,4,0.801855705228377
2025-02-28,103356842.49603143,20442706.49603144,4,0.8022123547667744
2025-03-03,103479985.49603143,20442706.49603144,4,0.802447725538042
2025-03-04,103552685.49603143,20442706.49603144,4,0.8025864187093933
2025-03-05,103051540.02701473,41635688.02701473,3,0.5959721900701336
2025-03-06,103932762.43145224,42206726.43145225,3,0.5939035445219765
2025-03-07,104427877.92924225,21082330.929242257,4,0.798115873392284
2025-03-10,104820817.91583826,42458350.91583826,3,0.5949435259136356
2025-03-11,105196387.86542031,42610490.865420304,3,0.5949434031904907
2025-03-12,104936685.0686633,21285147.068663307,4,0.7971620024518997
2025-03-13,103487214.71986331,42447112.71986331,3,0.5898323011710545
2025-03-14,103748896.7336993,41051837.73369931,3,0.6043154286346738
2025-03-17,104746022.66929063,42026014.66929063,3,0.5987817618433373
2025-03-18,104055220.17904064,20993763.179040633,4,0.7982440175234061
2025-03-19,104067636.17904064,20993763.179040633,4,0.7982680884293131
2025-03-20,103054662.21904063,41452244.21904063,3,0.597764493847598
2025-03-21,102676182.22210464,41533652.22210463,3,0.5954889310915276
2025-03-24,101354857.64929265,40187277.64929264,3,0.6034992443248416
2025-03-25,101834641.23712264,20074943.237122644,4,0.8028672464178668
2025-03-26,101301327.23712264,20074943.237122644,4,0.8018294154218542
2025-03-27,101750828.23712264,20074943.237122644,4,0.8027048665359313
2025-03-28,101577669.94052264,39916977.94052264,3,0.6070299903128763
2025-03-31,101796749.00558269,61166972.00558269,2,0.3991264691348031
2025-04-01,102368509.5832397,20349115.583239697,4,0.80121703768
2025-04-02,102076287.5832397,20349115.583239697,4,0.8006479657026545
2025-04-03,98130643.36007568,98130643.36007568,0,0.0
2025-04-04,98130643.36007568,98130643.36007568,0,0.0
2025-04-08,96321690.98839569,49020890.98839569,1,0.49107111300297396
2025-04-09,97831290.98839569,49020890.98839569,1,0.4989242143987415
2025-04-10,101152410.98839569,49020890.98839569,1,0.5153759509101625
2025-04-11,102071496.22105409,102071496.22105409,0,0.0
2025-04-14,102071496.22105409,102071496.22105409,0,0.0
2025-04-15,102071496.22105409,102071496.22105409,0,0.0
2025-04-16,102071496.22105409,102071496.22105409,0,0.0
2025-04-17,102071496.22105409,102071496.22105409,0,0.0
2025-04-18,102071496.22105409,102071496.22105409,0,0.0
2025-04-21,102071496.22105409,102071496.22105409,0,0.0
2025-04-22,102071496.22105409,102071496.22105409,0,0.0
2025-04-23,102071496.22105409,102071496.22105409,0,0.0
2025-04-24,102071496.22105409,102071496.22105409,0,0.0
2025-04-25,102071496.22105409,102071496.22105409,0,0.0
2025-04-28,101086091.79362711,20334840.793627117,4,0.7988364132709589
2025-04-29,102188079.79362711,20334840.793627117,4,0.8010057451446966
2025-05-05,103962505.10209411,42397980.102094114,3,0.5921800839595188
2025-05-06,103304905.79653013,21178039.79653012,4,0.7949948297882145
2025-05-07,103320653.79653013,21178039.79653012,4,0.7950260764102776
