symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
GMD,3,1.0,0.07325972889138875,4510579.875734504,inf
DCM,3,1.0,0.07099914993812759,4501426.192001767,inf
VCG,5,0.8,0.043628328343227205,4229636.97196912,3.8502190154945723
VHM,1,1.0,0.08024583042391743,3940852.8609784096,inf
BSR,2,1.0,0.08806113180822919,3479018.0771760717,inf
HT1,1,1.0,0.12574032821932063,2569385.5245772637,inf
MSN,2,1.0,0.055523019921289544,2315776.1791185997,inf
SHB,1,1.0,0.10420581645931502,2129320.9564824738,inf
BID,6,0.6666666666666666,0.018137750063744146,2029139.6244068332,2.0873247202034197
DBC,1,1.0,0.09038316746349119,1846942.6039458886,inf
VTP,1,1.0,0.08999103103967344,1826446.892346006,inf
DXS,2,1.0,0.038404249413925076,1757854.495402407,inf
HCM,4,0.75,0.01998444957077609,1701698.5893510878,2.735633476317341
FPT,1,1.0,0.08374442740077138,1699169.3310400061,inf
DSE,1,1.0,0.06921507725326283,1549676.1250138655,inf
BVH,1,1.0,0.05805306766722784,1177290.573680006,inf
BCM,1,1.0,0.05636504586094427,1090834.3714384027,inf
GEE,2,0.5,0.03491586084620363,1042834.9986200072,1.805323275563126
PAN,3,0.6666666666666666,0.015975601108876532,983053.4670384042,1.9563746749713145
VPB,1,1.0,0.04486724205531775,924089.9116043188,inf
CII,1,1.0,0.03988687074383898,893039.5756230019,inf
PDR,2,0.5,0.01654008361985235,835399.4003990144,1.7547469443510324
PVT,3,0.6666666666666666,0.017455858569702914,818717.3846351877,1.5882474142108782
GVR,2,0.5,0.02128693218607005,764810.2703292817,2.3061361047293736
VCB,1,1.0,0.02593981531857965,540470.3106550016,inf
ACB,2,0.5,0.011681353040352511,479359.4662212953,6.524346162107271
FRT,2,0.5,0.004504664523147919,260950.74197752774,1.2435509279688153
CTD,7,0.42857142857142855,0.0024614912600924915,236169.05585144088,1.0623289944039622
DPM,2,0.5,0.002046983651136829,45947.95215500891,1.0737757181380425
SSB,2,0.5,0.0007624915953582719,43318.92734000459,1.102477863882062
CTG,4,0.5,0.006244198346751592,-17768.487341308966,0.9885345561314268
VHC,4,0.5,0.0025325924517847157,-106264.11186129227,0.9523741270415079
MBB,3,0.6666666666666666,-0.0022520704814704764,-112805.61074393615,0.841375099096435
DGW,4,0.5,-0.0005819552906214248,-150964.14902767166,0.9297579396571548
SZC,2,0.5,-0.004814338308801937,-152799.78537199646,0.8544349590774858
VNM,2,0.5,-0.002283586208293706,-153852.43766199797,0.8411257774532781
OCB,1,0.0,-0.02743287373694548,-551086.2960199974,0.0
TCB,1,0.0,-0.03071241818668974,-613551.953429997,0.0
PLX,1,0.0,-0.02986429155260303,-617752.0881999955,0.0
FTS,3,0.3333333333333333,-0.015297477432620978,-730773.6242833436,0.6762099913697861
NT2,3,0.3333333333333333,-0.012453107216257116,-745969.1686399877,0.7008285827279297
REE,1,0.0,-0.038636731378771785,-776297.4840899967,0.0
DIG,1,0.0,-0.04409425211766942,-895221.9707199931,0.0
KDH,1,0.0,-0.054172069369799083,-1039418.3040299937,0.0
NAB,1,0.0,-0.05375692909300468,-1140718.8263639957,0.0
VGC,1,0.0,-0.05069623527843747,-1152934.5885999985,0.0
SIP,1,0.0,-0.053257370700339465,-1211091.3869399987,0.0
VRE,1,0.0,-0.06540039808913782,-1254871.286059998,0.0
MWG,1,0.0,-0.05601522123461693,-1311190.0349999927,0.0
HDC,4,0.25,-0.015446588450484511,-1323043.8535819352,0.40884324774456315
BSI,1,0.0,-0.05926234332373605,-1395214.2671999894,0.0
HHV,1,0.0,-0.06883998914962589,-1417427.4002559967,0.0
EVF,1,0.0,-0.07132308251189333,-1504362.2365799919,0.0
HAG,1,0.0,-0.06821713964404033,-1532626.047609996,0.0
VPI,2,0.0,-0.040188456336204034,-1705033.7709299885,0.0
VSC,2,0.0,-0.04924475400302756,-2035071.5725199878,0.0
GAS,3,0.0,-0.0330180441866127,-2067900.4059509858,0.0
LPB,4,0.25,-0.026608197975582063,-2070226.5398184843,0.21222163433269714
PVD,2,0.0,-0.05546062325407537,-2178813.9464899953,0.0
ANV,2,0.0,-0.057491185820580396,-2206372.100359995,0.0
KBC,2,0.0,-0.053528319975218376,-2215574.1799999885,0.0
POW,2,0.0,-0.057411745791375465,-2271298.7827709913,0.0
VJC,3,0.0,-0.037605844470280335,-2302133.565639984,0.0
NKG,2,0.0,-0.06017496614692033,-2346650.5216349885,0.0
CTS,3,0.0,-0.04182120826909467,-2495225.1173339896,0.0
SAB,3,0.0,-0.04181444816627922,-2657192.150283996,0.0
HPG,4,0.0,-0.04371847276852771,-3443431.221329987,0.0
CTR,4,0.0,-0.0451350777117271,-3583402.540654987,0.0
NLG,4,0.0,-0.06530191779881009,-5184449.897409983,0.0
