symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
SAB,SPRING,2025-01-02,2025-01-03,2025-01-07,50.220169999999996,48.40155,398200,19997671.694,-782719.1501139961,-0.039101412647738566,2,SL,82.3,,False,,,,,HH: đỉnh 51 > 51 | HL: đáy 50 > 50 | Volume phiên tăng > giảm
CTD,SPRING,2025-01-02,2025-01-03,2025-01-07,62.702639999999995,60.939,318900,19995871.895999998,-621287.562095996,-0.031039751526161473,2,SL,81.8,,False,,,,,HH: đỉnh 62 > 60 | HL: đáy 61 > 59 | Volume phiên tăng > giảm
VSC,SPRING,2025-01-02,2025-01-03,2025-01-13,12.372359999999999,11.988,1616500,19999919.939999998,-680075.0639399961,-0.03396991939517356,6,SL,82.1,,False,,,,,HH: đỉnh 13 > 13 | HL: đáy 12 > 12 | Volume phiên tăng > giảm
CTG,SPRING,2025-01-02,2025-01-03,2025-01-13,25.96594,24.975,770200,19998966.987999998,-821692.4449879937,-0.041045698705694536,6,SL,78.8,,False,,,,,HH: đỉnh 27 > 27 | HL: đáy 25 > 24 | Volume phiên tăng > giảm
VCG,SPRING,2025-01-07,2025-01-08,2025-01-15,16.005989999999997,17.49746002499999,1219400,19517704.205999997,1756508.0387700237,0.08990572184945325,5,TP,81.6,,False,,,,,HH: đỉnh 17 > 16 | HL: đáy 16 > 15 | Volume phiên tăng > giảm
LPB,SPRING,2025-01-13,2025-01-14,2025-01-16,28.6286,29.541928499999997,675500,19338619.3,557703.637046501,0.028810044911321313,2,TP,70.2,,False,,,,,HH: đỉnh 30 > 28 | HL: đáy 28 > 26 | Volume phiên tăng > giảm
MBB,SPRING,2025-01-16,2025-01-17,2025-01-21,16.13612,16.443540000000002,1245600,20099151.071999997,321859.05408000574,0.015997567032140687,2,TP,80.7,,False,,,,,HH: đỉnh 17 > 16 | HL: đáy 16 > 16 | Volume phiên tăng > giảm
PAN,SPRING,2025-01-15,2025-01-16,2025-02-04,24.854829999999996,26.110937924999988,816700,20298939.661,962914.7966797985,0.04738931490515961,8,TP,100.0,,False,,,,,HH: đỉnh 24 > 24 | HL: đáy 23 > 23 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=4
CTS,SPRING,2025-02-04,2025-02-05,2025-02-07,24.264239999999997,23.976,855600,20760483.744,-308406.3589439988,-0.014840610868345453,2,SL,100.0,,False,,,,,HH: đỉnh 24 > 24 | HL: đáy 23 > 22 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
VPI,SPRING,2025-01-07,2025-01-08,2025-02-10,58.85879999999999,56.943,331600,19517578.079999994,-692561.4556799941,-0.03544853686548697,18,SL,85.1,,False,,,,,HH: đỉnh 60 > 59 | HL: đáy 58 > 57 | Volume phiên tăng > giảm
BVH,SPRING,2025-01-21,2025-01-22,2025-02-13,51.03097999999999,54.15579,397000,20259299.06,1177290.573680006,0.05805306766722784,11,TP,78.8,,False,,,,,HH: đỉnh 51 > 51 | HL: đáy 49 > 48 | Volume phiên tăng > giảm
BCM,SPRING,2025-01-13,2025-01-14,2025-02-21,68.77870999999999,72.87382822499997,281100,19333695.380999997,1090834.3714384027,0.05636504586094427,23,TP,67.2,,False,,,,,HH: đỉnh 73 > 70 | HL: đáy 68 > 67 | Volume phiên tăng > giảm
HCM,SPRING,2025-02-10,2025-02-11,2025-02-24,22.602579999999996,23.48294354999999,872300,19716230.533999998,707256.5508136675,0.03583595756777302,9,TP,98.4,,False,,,,,HH: đỉnh 23 > 22 | HL: đáy 22 > 20 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
ACB,SPRING,2025-02-07,2025-02-10,2025-03-05,21.45143,22.106446424999998,960600,20606243.658,566131.6293252893,0.027446344547248744,17,TP,98.4,,False,,,,,HH: đỉnh 21 > 21 | HL: đáy 21 > 21 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
