symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
DXS,1,1.0,0.24065863209105562,4931945.538259003,inf
SHB,2,0.5,0.10572313890061019,4462981.032219015,6.030721692080112
BVH,2,0.5,0.06318612275077007,2875773.0125160106,7.736606309063163
CTG,2,1.0,0.06527260332481562,2754995.018148016,inf
VCB,2,0.5,0.056427393089623516,2644573.781188011,3.2852487678349798
GAS,1,1.0,0.10800907573220463,2538746.786000006,inf
SSB,1,1.0,0.09777030368781205,2472978.277215004,inf
HDC,2,0.5,0.05027563874656987,2242116.7502260134,2.164759958574895
STB,3,0.6666666666666666,0.03176178594745365,2094977.5511950143,2.156150787144478
MSN,2,0.5,0.03954926533831227,1780429.8185900077,3.0546197843778033
PHR,1,1.0,0.06188877040648236,1443126.4498000033,inf
PAN,1,1.0,0.0643215771395285,1287647.0803080015,inf
GEX,1,1.0,0.043548104146043,899617.7001600042,inf
HCM,1,1.0,0.03955244584418184,896865.2661200091,inf
MBB,1,1.0,0.04110753703872501,839220.2062740102,inf
VJC,1,1.0,0.03233195082522226,745706.0219999999,inf
SAB,1,1.0,0.03075856738108114,723065.3925730065,inf
CTD,1,1.0,0.0334517010771792,669564.825372003,inf
VCI,1,1.0,0.02869053064552969,664398.0777060091,inf
NT2,1,1.0,0.02516283099336432,564519.1068000048,inf
HHV,1,1.0,0.019132461399285743,383724.5166300051,inf
VPI,2,0.5,0.007905147878677465,294386.2454800084,1.353248974319312
PNJ,1,0.0,-0.018116645587886723,-362584.6031249985,0.0
VCG,1,0.0,-0.01955561920596872,-451256.1194399968,0.0
OCB,1,0.0,-0.02269383873900341,-522743.72948999703,0.0
KDC,1,0.0,-0.02777005084108456,-566922.8008109964,0.0
MWG,2,0.5,-0.01277477478034137,-589550.0559799895,0.4630402452488999
BID,1,0.0,-0.027423901218851552,-647029.3393119946,0.0
GMD,1,0.0,-0.03806804606769387,-762008.079241991,0.0
TCH,1,0.0,-0.035296086815995206,-794813.8534999937,0.0
HAG,1,0.0,-0.037661019404648714,-842568.4385499954,0.0
NVL,1,0.0,-0.037936400520835745,-883651.2930499949,0.0
FRT,1,0.0,-0.04504790070912227,-1066323.0385599919,0.0
HDG,1,0.0,-0.04630435191223849,-1068542.0921499915,0.0
SZC,1,0.0,-0.05150149638919629,-1075173.5930199958,0.0
KDH,1,0.0,-0.05047523334379312,-1186543.7444599941,0.0
NKG,1,0.0,-0.06404011389233859,-1449936.3361499943,0.0
NAB,4,0.25,-0.016143550936738298,-1577950.1372249834,0.3990754953496771
HDB,1,0.0,-0.06995536982045301,-1673023.2089399956,0.0
VNM,1,0.0,-0.07418310480894617,-1786111.2130199969,0.0
KBC,1,0.0,-0.07665185785956952,-1787262.5018599927,0.0
VSC,1,0.0,-0.0794456211488158,-1886751.815624997,0.0
GVR,2,0.0,-0.05095008925625033,-2398298.2657199875,0.0
