date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98780127.18955101,19927646.189551014,4,0.7982625983937894
2025-01-06,97890484.18955101,19927646.189551014,4,0.7964291794597322
2025-01-07,97598099.76917101,58815519.769171014,2,0.3973702366308829
2025-01-08,98638337.76917101,58815519.769171014,2,0.4037255584455565
2025-01-09,98961763.76917101,58815519.769171014,2,0.4056742975361816
2025-01-10,97770033.76917101,58815519.769171014,2,0.3984299943269856
2025-01-13,98406725.76917101,58815519.769171014,2,0.4023221552241014
2025-01-14,98202831.76917101,58815519.769171014,2,0.40108122434372534
2025-01-15,99273875.76917101,58815519.769171014,2,0.4075428272194459
2025-01-16,99182441.76917101,58815519.769171014,2,0.40699665464928386
2025-01-17,100214501.76917101,58815519.769171014,2,0.4131037052437412
2025-01-20,99937491.76917101,58815519.769171014,2,0.41147692694730426
2025-01-21,99730692.668399,80122064.668399,1,0.1966157807125434
2025-01-22,100469976.668399,80122064.668399,1,0.20252728899458441
2025-01-23,100396860.668399,80122064.668399,1,0.20194651371585876
2025-01-24,99856731.02959302,19975145.029593024,4,0.7999619572598137
2025-02-03,99019046.02959302,19975145.029593024,4,0.7982696680028284
2025-02-04,100429807.02959302,19975145.029593024,4,0.801103421181452
2025-02-05,100757191.02959302,19975145.029593024,4,0.8017496833181247
2025-02-06,100880316.02959302,19975145.029593024,4,0.8019916489582234
2025-02-07,101630269.02959302,19975145.029593024,4,0.803452797868944
2025-02-10,101413829.02959302,19975145.029593024,4,0.803033321779378
2025-02-11,101612141.02959302,19975145.029593024,4,0.8034177330858961
2025-02-12,101497072.02959302,19975145.029593024,4,0.8031948643427964
2025-02-13,101808685.02959302,19975145.029593024,4,0.8037972396580234
2025-02-14,101325513.02959302,19975145.029593024,4,0.8028616442952615
2025-02-17,101118845.01239303,39009309.01239303,3,0.6142231548668096
2025-02-18,101422700.28076904,19486698.28076903,4,0.807866501021725
2025-02-19,101808345.28076904,19486698.28076903,4,0.8085942932573137
2025-02-20,102440588.28076904,19486698.28076903,4,0.8097756113293696
2025-02-21,103006965.28076904,19486698.28076903,4,0.8108215475754131
2025-02-24,103470585.28076904,19486698.28076903,4,0.8116691982760939
2025-02-25,103175347.28076904,19486698.28076903,4,0.8111302865040011
2025-02-26,102414384.28076904,19486698.28076903,4,0.8097269400424627
2025-02-27,102441412.28076904,19486698.28076903,4,0.8097771414224518
2025-02-28,102229650.28076904,19486698.28076903,4,0.8093831072761208
2025-03-03,102421406.28076904,19486698.28076903,4,0.8097399851418764
2025-03-04,103965022.28076904,19486698.28076903,4,0.8125648621692876
2025-03-05,103388367.28076904,19486698.28076903,4,0.8115194311188847
2025-03-06,104504039.28076904,19486698.28076903,4,0.813531626003331
