symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
BSR,1,1.0,0.3623022289439409,9015160.354860008,inf
SHB,1,1.0,0.2480974003075596,5172616.392500002,inf
HDC,1,1.0,0.1862738528868066,5059394.873863004,inf
DXS,1,1.0,0.24065863209105587,4911429.813173007,inf
VJC,1,1.0,0.16217282817083045,3528223.4079000056,inf
GAS,1,1.0,0.10800907573220443,3019736.379780002,inf
VCB,2,0.5,0.05043335102322003,2917904.970989011,2.8484037827597155
DPM,2,1.0,0.06441719297017601,2901791.818803016,inf
GEX,1,1.0,0.09844247813970441,2673653.3805120103,inf
SSB,1,1.0,0.09777030368781207,2432724.5614500046,inf
KBC,2,0.5,0.053220234757652404,2380546.8980400115,2.126148886224929
DXG,1,1.0,0.08430684047375081,1927045.846320007,inf
PHR,1,1.0,0.06188877040648228,1706785.4630400017,inf
CTG,1,1.0,0.08480929736079977,1700428.105724007,inf
VIX,1,1.0,0.06615377426195242,1333868.2674330063,inf
VPI,1,1.0,0.048877224071892725,1290209.8757600076,inf
PAN,1,1.0,0.0643215771395285,1287647.0803080015,inf
HCM,1,1.0,0.03955244584418172,886627.3166640066,inf
SAB,1,1.0,0.030758567381081008,859959.8074500039,inf
VCI,1,1.0,0.028690530645529615,757224.7172820084,inf
MWG,1,1.0,0.0215446092369171,591935.2824000046,inf
ACB,1,1.0,0.024303803985660608,487270.47123000026,inf
HAG,1,1.0,0.011283170841404228,297876.17268000543,inf
TCB,2,0.5,0.002577861045533713,-345678.2324459888,0.7738145424857755
VCG,2,0.5,-0.0059265847814033365,-360966.6422199942,0.3008052651216874
PNJ,1,0.0,-0.018116645587886723,-362584.6031249985,0.0
BVH,1,0.0,-0.020833779657700943,-425126.9236849956,0.0
GVR,2,0.5,-0.005749654675311459,-622083.4542449862,0.6046573598417857
BID,1,0.0,-0.027423901218851552,-753569.2269819938,0.0
DGC,1,0.0,-0.039130676760024366,-783394.581159994,0.0
SCS,1,0.0,-0.04922371505666189,-985439.2448239923,0.0
STB,2,0.5,-0.031329031992083645,-1056649.8213199861,0.41665149572191795
MSN,1,0.0,-0.03623936192121754,-1059051.8665599935,0.0
KDC,2,0.0,-0.027932504730405792,-1170115.3840289898,0.0
HDG,1,0.0,-0.04630435191223857,-1222474.3699499927,0.0
KDH,1,0.0,-0.050475233343793106,-1411178.0890399925,0.0
SZC,1,0.0,-0.05509748374796968,-1454199.3124999925,0.0
MSB,1,0.0,-0.06217355623122242,-1722559.9278599918,0.0
FPT,1,0.0,-0.06759861416627677,-1818496.8310299963,0.0
NAB,2,0.0,-0.04045996326739214,-2026296.2648699805,0.0
HDB,1,0.0,-0.06995536982045304,-2044466.1818099953,0.0
DSE,2,0.0,-0.04930716724613893,-2684578.0329669937,0.0
NLG,1,0.0,-0.10631494237174248,-3106930.026599992,0.0
