symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
PNJ,ADX_TREND,2025-01-02,2025-01-03,2025-01-07,62.97290999999999,62.01792,317500,19993898.924999997,-362584.6031249985,-0.018116645587886723,2,EDGE_ATR_STOP,3.1353,"linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,56.6301,1.0,3.1353,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=56.6301"
DGC,ADX_TREND,2025-01-02,2025-01-03,2025-01-07,111.73161999999999,107.68221000000001,179000,19999959.98,-783394.581159994,-0.039130676760024366,2,EDGE_ATR_STOP,2.7941,"linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,70.3233,5.0,2.7941,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=70.3233"
PAN,NR7,2025-01-02,2025-01-03,2025-01-21,23.423399999999997,25.00497,853800,19998898.919999998,1287647.0803080015,0.0643215771395285,12,EDGE_TRAILING_ATR_STOP,3.5,"linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,65.703,1.0,3.5,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=65.703"
SCS,ADX_TREND,2025-01-02,2025-01-03,2025-02-17,73.85377999999999,70.4295,270800,19999603.623999998,-985439.2448239923,-0.04922371505666189,26,EDGE_ATR_STOP,3.0471,"linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,61.8434,2.0,3.0471,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=61.8434"
CTG,LINREG_MOMENTUM,2025-01-23,2025-01-24,2025-03-20,26.176149999999996,28.48149,765200,20029989.979999997,1700428.105724007,0.08480929736079977,34,EDGE_TRAILING_ATR_STOP,3.0125,"linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,91.8764,1.0,3.0125,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=91.8764"
ACB,LINREG_MOMENTUM,2025-01-23,2025-01-24,2025-03-28,21.081059999999997,21.65832,950100,20029115.106,487270.47123000026,0.024303803985660608,40,EDGE_MAX_HOLD,2.65,"linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,96.0992,3.0,2.65,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=96.0992"
TCB,ADX_TREND,2025-02-17,2025-02-18,2025-03-31,25.065039999999996,26.663310000000003,778100,19503107.623999998,1182617.336354006,0.060576802591178314,29,EDGE_TRAILING_ATR_STOP,2.8846,"linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,78.245,1.0,2.8846,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=78.245"
STB,ADX_TREND,2025-01-23,2025-01-24,2025-04-04,37.33729999999999,34.0659,536400,20027727.719999995,-1811352.5852399915,-0.09035188951519232,45,EDGE_STOP_LOSS,3.09,"linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,73.8678,1.0,3.09,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=73.8678"
VIX,NR7,2025-05-05,2025-05-06,2025-05-26,10.08007,10.779209999999999,1998300,20143003.880999997,1333868.2674330063,0.06615377426195242,14,EDGE_TRAILING_ATR_STOP,2.7125,"linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,69.4808,1.0,2.7125,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=69.4808"
KDC,LINREG_MOMENTUM,2025-05-05,2025-05-06,2025-05-27,55.52546999999999,54.1458,362700,20139087.968999997,-559822.7602889948,-0.027770050841084477,15,EDGE_ATR_STOP,3.7,"linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,85.029,1.0,3.7,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=85.029"
