date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98735340.81236202,19928458.81236202,4,0.7981628599405522
2025-01-06,98054821.81236202,19928458.81236202,4,0.7967620720325496
2025-01-07,98062260.76214603,39183450.76214602,3,0.6004227267696074
2025-01-08,98920719.76214603,39183450.76214602,3,0.6038903593062982
2025-01-09,99374781.76214603,39183450.76214602,3,0.6057002584827629
2025-01-10,98314380.76214603,39183450.76214602,3,0.6014474133042312
2025-01-13,98953880.45661803,58327121.456618026,2,0.41056256523270973
2025-01-14,98711006.45661803,58327121.456618026,2,0.4091122808858007
2025-01-15,99802127.45661803,58327121.456618026,2,0.4155723636054587
2025-01-16,100189952.45661803,58327121.456618026,2,0.41783462286925915
2025-01-17,100847183.45661803,58327121.456618026,2,0.42162865181347464
2025-01-20,100489505.45661803,58327121.456618026,2,0.4195700218487171
2025-01-21,100553506.35584602,79633666.35584602,1,0.20804684747608262
2025-01-22,100467403.35584602,79633666.35584602,1,0.20736812442747105
2025-01-23,100553506.35584602,79633666.35584602,1,0.20804684747608262
2025-01-24,100493118.02701303,19851448.027013034,4,0.8024596269201552
2025-02-03,99909883.02701303,19851448.027013034,4,0.8013064631289207
2025-02-04,100997438.62028104,40536880.62028103,3,0.5986345676281246
2025-02-05,101578660.33526203,20249347.335262034,4,0.8006535302943677
2025-02-06,101428864.33526203,20249347.335262034,4,0.800359123924231
2025-02-07,101397722.33526203,20249347.335262034,4,0.800297808778096
2025-02-10,101617349.33526203,20249347.335262034,4,0.8007294279202838
2025-02-11,102215036.33526203,20249347.335262034,4,0.8018946325191841
2025-02-12,102414742.33526203,20249347.335262034,4,0.8022809326710569
2025-02-13,102590961.33526203,20249347.335262034,4,0.8026205518331366
2025-02-14,102358287.33526203,20249347.335262034,4,0.8021718820974625
2025-02-17,102004969.33526203,20249347.335262034,4,0.8014866582753626
2025-02-18,102062580.33526203,20249347.335262034,4,0.8015987125864777
2025-02-19,102612196.33526203,20249347.335262034,4,0.8026613983672868
2025-02-20,103544054.33526203,20249347.335262034,4,0.8044373724279976
2025-02-21,103249549.33526203,20249347.335262034,4,0.8038795571929298
2025-02-24,103259110.33526203,20249347.335262034,4,0.8038977164386137
2025-02-25,103305013.33526203,20249347.335262034,4,0.8039848533822304
2025-02-26,103694549.97508204,40872243.97508203,3,0.6058399984868664
2025-02-27,103253494.22541404,20417728.225414034,4,0.802256297681899
2025-02-28,102624533.22541404,20417728.225414034,4,0.8010443742475627
2025-03-03,103150926.37284404,41749797.37284403,3,0.5952552357897654
2025-03-04,103270797.60936403,41529790.60936403,3,0.5978554289233229
2025-03-05,101671753.71778904,20746711.71778904,4,0.7959441933560444
2025-03-06,102802569.71778904,20746711.71778904,4,0.7981887828802103
2025-03-07,102894065.22694305,41055719.22694304,3,0.6009904056527401
2025-03-10,102600931.58487505,20508618.58487504,4,0.800112744903202
2025-03-11,102760212.58487505,20508618.58487504,4,0.8004225753431962
2025-03-12,102942881.58487505,20508618.58487504,4,0.8007767193891308
2025-03-13,101599116.58487505,20508618.58487504,4,0.7981417627018211
2025-03-14,101376828.58487505,20508618.58487504,4,0.7976991500803879
2025-03-17,101837306.30669904,40178383.30669904,3,0.6054649836701737
2025-03-18,100685554.79397705,20069503.793977045,4,0.8006714683646199
2025-03-19,100117825.79397705,20069503.793977045,4,0.7995411542867883
2025-03-20,101273957.88048905,39438516.880489044,3,0.6105759298256173
2025-03-21,100744498.88048905,39438516.880489044,3,0.6085293259806267
2025-03-24,100835507.88048905,39438516.880489044,3,0.6088826474972303
2025-03-25,101326755.88048905,39438516.880489044,3,0.610778845747265
2025-03-26,100609783.88048905,39438516.880489044,3,0.6080051525869817
2025-03-27,100559166.88048905,39438516.880489044,3,0.6078078398624731
2025-03-28,100464386.73242503,59256890.73242504,2,0.4101701840847471
2025-03-31,100633013.73242503,59256890.73242504,2,0.41115853997988905
2025-04-01,101628334.73242503,59256890.73242504,2,0.41692549731882184
2025-04-02,102790629.73242503,59256890.73242504,2,0.42351855527418175
2025-04-03,100929090.80044304,100929090.80044304,0,0.0
2025-04-04,100929090.80044304,100929090.80044304,0,0.0
2025-04-08,100929090.80044304,100929090.80044304,0,0.0
2025-04-09,100929090.80044304,100929090.80044304,0,0.0
2025-04-10,100929090.80044304,100929090.80044304,0,0.0
2025-04-11,100929090.80044304,100929090.80044304,0,0.0
2025-04-14,100929090.80044304,100929090.80044304,0,0.0
2025-04-15,100929090.80044304,100929090.80044304,0,0.0
2025-04-16,100929090.80044304,100929090.80044304,0,0.0
2025-04-17,100929090.80044304,100929090.80044304,0,0.0
2025-04-18,100929090.80044304,100929090.80044304,0,0.0
2025-04-21,100929090.80044304,100929090.80044304,0,0.0
2025-04-22,100929090.80044304,100929090.80044304,0,0.0
2025-04-23,100929090.80044304,100929090.80044304,0,0.0
2025-04-24,100929090.80044304,100929090.80044304,0,0.0
2025-04-25,100929090.80044304,100929090.80044304,0,0.0
2025-04-28,100929090.80044304,100929090.80044304,0,0.0
2025-04-29,100929090.80044304,100929090.80044304,0,0.0
2025-05-05,100929090.80044304,100929090.80044304,0,0.0
2025-05-06,100380524.15795107,20109201.15795107,4,0.7996702913574273
2025-05-07,99893862.15795107,20109201.15795107,4,0.7986943269231634
2025-05-08,100526121.15795107,20109201.15795107,4,0.799960438875836
2025-05-09,100690157.15795107,20109201.15795107,4,0.8002863266326411
2025-05-12,101139150.15795107,20109201.15795107,4,0.8011729273328269
2025-05-13,101830509.15795107,20109201.15795107,4,0.8025228261722689
2025-05-14,101871048.15795107,20109201.15795107,4,0.8026014110822561
2025-05-15,102768018.15795107,20109201.15795107,4,0.8043243265911396
2025-05-16,101292807.15795107,20109201.15795107,4,0.8014745397805615
2025-05-19,100874145.15795107,20109201.15795107,4,0.8006505916212363
2025-05-20,101191051.15795107,20109201.15795107,4,0.8012749059542604
2025-05-21,102648136.15795107,20109201.15795107,4,0.8040957984175398
2025-05-22,101948086.15795107,20109201.15795107,4,0.8027505771241716
2025-05-23,102659267.15795107,20109201.15795107,4,0.8041170396530188
2025-05-26,102512299.84962307,41145779.84962307,3,0.5986259218651765
2025-05-27,102546755.15302306,60788414.15302307,2,0.40721269958944156
2025-05-28,102139433.15302306,60788414.15302307,2,0.40484872221729296
2025-05-29,102149375.15302306,60788414.15302307,2,0.4049066471335722
2025-05-30,101370263.15302306,60788414.15302307,2,0.4003328761092376
2025-06-02,101933243.15302306,60788414.15302307,2,0.4036448535070451
2025-06-03,102062408.76006809,20224452.76006808,4,0.8018422942808214
2025-06-04,103295290.76006809,20224452.76006808,4,0.8042074076053962
2025-06-05,104631430.76006809,20224452.76006808,4,0.8067076727026213
2025-06-06,105931302.76006809,20224452.76006808,4,0.8090795427497385
2025-06-09,105755988.96391809,45388209.96391808,3,0.5708213746702925
2025-06-10,106296430.15719607,63966190.15719608,2,0.39822823717974426
2025-06-11,106504231.89436409,21282117.894364092,4,0.8001758473271494
2025-06-12,108075991.89436409,21282117.894364092,4,0.8030819100400605
2025-06-13,107036761.89436409,21282117.894364092,4,0.8011700137624896
2025-06-16,109080933.89436409,21282117.894364092,4,0.8048960791353871
2025-06-17,109899425.89436409,21282117.894364092,4,0.8063491440362884
2025-06-18,110358569.89436409,21282117.894364092,4,0.8071548234565248
2025-06-19,109851967.89436409,21282117.894364092,4,0.8062654834292143
2025-06-20,109470033.89436409,21282117.894364092,4,0.8055895559975726
2025-06-23,109641347.89436409,21282117.894364092,4,0.8058933212416476
2025-06-24,111250507.89436409,21282117.894364092,4,0.8087009372166449
2025-06-25,111296303.89436409,21282117.894364092,4,0.8087796526058599
2025-06-26,111908933.89436409,21282117.894364092,4,0.8098264619833369
2025-06-27,111333910.0468041,46612170.04680409,3,0.581329982687138
2025-06-30,111555735.2440441,23282821.2440441,4,0.7912897871802862
2025-07-01,112454159.2440441,23282821.2440441,4,0.7929572245210021
2025-07-02,112935251.2440441,23282821.2440441,4,0.7938392044328855
2025-07-03,111123871.2440441,23282821.2440441,4,0.7904786704837554
