date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,97961920.27109002,19931192.27109002,4,0.7965414294050747
2025-01-06,97651037.27109002,19931192.27109002,4,0.7958936962875383
2025-01-07,97202518.74973401,38597384.749734014,3,0.6029178539178581
2025-01-08,97093469.74973401,38597384.749734014,3,0.6024718773649579
2025-01-09,97244849.74973401,38597384.749734014,3,0.6030907050700689
2025-01-10,97102633.74973401,38597384.749734014,3,0.6025093938315578
2025-01-13,97848147.70446001,57811470.70446001,2,0.4091715371140857
2025-01-14,97563459.70446001,57811470.70446001,2,0.4074475128333603
2025-01-15,97763936.70446001,57811470.70446001,2,0.40866261473058463
2025-01-16,98276247.70446001,57811470.70446001,2,0.4117452379916578
2025-01-17,98623418.70446001,57811470.70446001,2,0.4138159935653739
2025-01-20,98475606.70446001,57811470.70446001,2,0.4129361306911177
2025-01-21,98393810.70446001,57811470.70446001,2,0.4124480971866707
2025-01-22,98251079.70446001,57811470.70446001,2,0.41159455063132794
2025-01-23,98475606.70446001,57811470.70446001,2,0.4129361306911177
2025-01-24,98623855.70446001,57811470.70446001,2,0.41381859093300855
2025-02-03,98723110.23497602,19232945.234976023,4,0.8051829486611728
2025-02-04,101052254.23497602,19232945.234976023,4,0.8096732687402123
2025-02-05,102026153.23497602,19232945.234976023,4,0.8114900481381406
2025-02-06,102212182.23497602,19232945.234976023,4,0.8118331414668232
2025-02-07,101889949.23497602,19232945.234976023,4,0.8112380526304759
2025-02-10,101107753.90786803,42169420.90786802,3,0.5829259450635815
2025-02-11,102081093.54671803,21066127.546718027,4,0.7936334063949169
2025-02-12,103309390.54671803,21066127.546718027,4,0.7960870020117714
2025-02-13,103417774.31811002,40437573.31811003,3,0.6089881687675347
2025-02-14,102704558.09659803,20199646.09659803,4,0.8033227884822853
2025-02-17,102397627.09659803,20199646.09659803,4,0.8027332598484684
2025-02-18,103198809.09659803,20199646.09659803,4,0.8042647364497163
2025-02-19,106518779.09659803,20199646.09659803,4,0.8103653997171738
2025-02-20,105963046.09659803,20199646.09659803,4,0.8093708435091265
2025-02-21,106183678.09659803,20199646.09659803,4,0.8097669391502723
2025-02-24,105968328.91114803,42701756.91114803,3,0.597032836603921
2025-02-25,106702778.60415903,21330088.60415903,4,0.8000980960084612
2025-02-26,106551602.60415903,21330088.60415903,4,0.7998144740872584
2025-02-27,107072579.60415903,21330088.60415903,4,0.800788505488379
2025-02-28,106027216.60415903,21330088.60415903,4,0.7988244029474756
2025-03-03,106819976.54688904,42535189.54688903,3,0.6018049158790252
2025-03-04,107056614.76462004,21248410.764620036,4,0.801521738648865
2025-03-05,105401780.76462004,21248410.764620036,4,0.7984055809069173
2025-03-06,107269751.76462004,21248410.764620036,4,0.8019161001579922
2025-03-07,107561847.76462004,21248410.764620036,4,0.8024540187230847
2025-03-10,108432206.76462004,21248410.764620036,4,0.8040396723572621
2025-03-11,109348797.76462004,21248410.764620036,4,0.8056822644693494
2025-03-12,108361418.76462004,21248410.764620036,4,0.803911659639901
2025-03-13,107008199.19444804,42769610.19444804,3,0.6003146439579831
2025-03-14,107102923.19444804,42769610.19444804,3,0.6006681338024851
2025-03-17,108411118.19444804,42769610.19444804,3,0.6054868642002591
2025-03-18,107671517.19444804,42769610.19444804,3,0.6027769338737116
2025-03-19,107229342.85245804,21364874.85245804,4,0.8007553316646266
2025-03-20,106994814.85245804,21364874.85245804,4,0.8003185959813153
2025-03-21,106935466.85245804,21364874.85245804,4,0.8002077750131695
2025-03-24,106739957.58073804,41877333.58073804,3,0.6076695688298166
2025-03-25,106709049.58073804,41877333.58073804,3,0.607555931335956
2025-03-26,106936845.58073804,41877333.58073804,3,0.6083919125039052
2025-03-27,106726465.51430604,65449236.51430604,2,0.38675720029786836
2025-03-28,106228131.51430604,65449236.51430604,2,0.3838803753646763
2025-03-31,106490257.51430604,65449236.51430604,2,0.3853969551579542
2025-04-01,106976344.51430604,65449236.51430604,2,0.3881896337787701
2025-04-02,106976344.51430604,65449236.51430604,2,0.3881896337787701
2025-04-03,104516845.85526603,83784581.85526603,1,0.19836289385071806
2025-04-04,103143175.27387603,103143175.27387603,0,0.0
2025-04-08,103143175.27387603,103143175.27387603,0,0.0
2025-04-09,103143175.27387603,103143175.27387603,0,0.0
2025-04-10,103143175.27387603,103143175.27387603,0,0.0
