symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
TCH,3,0.6666666666666666,0.14011802322743402,16821278.194850013,257.01856800917506
MWG,1,1.0,0.1542127403066466,3710829.499800004,inf
VNM,1,1.0,0.12018978411295807,3533978.5080800094,inf
DCM,1,1.0,0.12043253550485816,3028555.4241000004,inf
EIB,1,1.0,0.21977234720836336,2833264.443660004,inf
VCG,1,1.0,0.11572093221056517,2232147.1152960025,inf
DBC,1,1.0,0.1570816688279873,2025114.089796003,inf
STB,2,0.5,0.06699266786858246,1670939.916695008,3.578161800881971
CTD,2,0.5,0.03161113962614201,1583350.6914640032,2.184028529023237
REE,1,1.0,0.06628432015142977,1398817.4534000084,inf
PHR,1,1.0,0.06188877040648227,1340991.681400001,inf
SAB,1,1.0,0.030758567381081185,904426.0218840092,inf
HCM,1,1.0,0.03955244584418171,877538.5248000063,inf
MBB,1,1.0,0.03220765528551226,697960.8693750054,inf
LPB,2,0.5,0.01792160082592289,-82440.7749149967,0.8973857901148681
NAB,1,0.0,-0.007793840044042141,-166567.36425899714,0.0
SSB,1,0.0,-0.012807231137573066,-365036.94548999146,0.0
SZC,1,0.0,-0.029011230010230912,-488676.1329719983,0.0
KDH,1,0.0,-0.03225388485828815,-645628.4057079963,0.0
PDR,1,0.0,-0.041685944696527255,-892276.6137099974,0.0
HAG,2,0.0,-0.023147382628609946,-976821.3882250004,0.0
HHV,2,0.0,-0.027226335177804838,-1073998.7150159813,0.0
PVT,1,0.0,-0.04478945629794764,-1317088.8002999946,0.0
DSE,1,0.0,-0.06754705669130227,-1352182.2957539968,0.0
TPB,1,0.0,-0.04315382180530703,-1398501.7684299909,0.0
KBC,1,0.0,-0.07665185785956953,-1661106.0578099936,0.0
BID,1,0.0,-0.07038431785212931,-1693845.6424189955,0.0
HPG,1,0.0,-0.030112074410433363,-1718263.428319998,0.0
SIP,1,0.0,-0.06859633839439565,-1904745.239051994,0.0
VCI,1,0.0,-0.09058135960266082,-1928185.3636589982,0.0
PNJ,1,0.0,-0.05735801608350102,-1934529.7832249962,0.0
PVD,1,0.0,-0.058830684997445246,-2089667.2033279948,0.0
FPT,2,0.0,-0.047546033966784015,-2619082.8857759833,0.0
PAN,1,0.0,-0.08471254720383088,-2745057.7126499973,0.0
POW,2,0.0,-0.05361716619577084,-3020084.0675299913,0.0
