date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98716646.56023303,19934341.56023302,4,0.798065045209271
2025-01-06,98359630.56023303,19934341.56023302,4,0.7973320818033601
2025-01-07,98021883.73081702,58840641.73081702,2,0.3997193331603139
2025-01-08,98666238.73081702,58840641.73081702,2,0.40363955809294505
2025-01-09,99168960.73081702,58840641.73081702,2,0.40666271687031874
2025-01-10,98580561.73081702,58840641.73081702,2,0.40312125739872917
2025-01-13,99467400.73081702,58840641.73081702,2,0.4084429541890402
2025-01-14,99224526.73081702,58840641.73081702,2,0.4069949873336874
2025-01-15,100315647.73081702,58840641.73081702,2,0.41344503014417416
2025-01-16,100703472.73081702,58840641.73081702,2,0.4157039460982684
2025-01-17,101360703.73081702,58840641.73081702,2,0.419492568963612
2025-01-20,101003025.73081702,58840641.73081702,2,0.4174368410741169
2025-01-21,101067026.63004503,80147186.63004503,1,0.20698976409563222
2025-01-22,100980923.63004503,80147186.63004503,1,0.20631359123161458
2025-01-23,101067026.63004503,80147186.63004503,1,0.20698976409563222
2025-01-24,100518396.50350505,19980493.503505047,4,0.8012255049969054
2025-02-03,100267963.50350505,19980493.503505047,4,0.8007290384150807
2025-02-04,103209497.50350505,19980493.503505047,4,0.8064083830770855
2025-02-05,103969273.50350505,19980493.503505047,4,0.8078230920519853
2025-02-06,104677958.50350505,19980493.503505047,4,0.809124157662704
2025-02-07,105170204.50350505,19980493.503505047,4,0.8100175463399507
2025-02-10,104978973.17639704,42916969.17639704,3,0.5911850928063156
2025-02-11,105571413.11408305,21439765.114083048,4,0.7969169448275291
2025-02-12,106189209.11408305,21439765.114083048,4,0.7980984575273603
2025-02-13,106423067.11408305,21439765.114083048,4,0.7985421234749782
2025-02-14,105672663.11408305,21439765.114083048,4,0.7971115283530149
2025-02-17,105071423.11408305,21439765.114083048,4,0.7959505593561395
2025-02-18,105601215.11408305,21439765.114083048,4,0.796974257437083
2025-02-19,107588674.11408305,21439765.114083048,4,0.8007247018273586
2025-02-20,107495631.11408305,21439765.114083048,4,0.8005522188029257
2025-02-21,107980543.91097105,44435061.910971045,3,0.5884901084809562
2025-02-24,108663737.79751106,22197192.797511052,4,0.7957258488671325
2025-02-25,108828240.79751106,22197192.797511052,4,0.7960346263539094
2025-02-26,107831534.79751106,22197192.797511052,4,0.7941493382321457
2025-02-27,107822834.79751106,22197192.797511052,4,0.7941327285709293
2025-02-28,107255609.79751106,22197192.797511052,4,0.7930439923896069
2025-03-03,108057691.79751106,22197192.797511052,4,0.7945801689054556
2025-03-04,108834032.79751106,22197192.797511052,4,0.7960454811151803
2025-03-05,107700270.79751106,22197192.797511052,4,0.7938984495290236
2025-03-06,109503824.79751106,22197192.797511052,4,0.7972929910114375
2025-03-07,110150252.79751106,22197192.797511052,4,0.7984825977810863
2025-03-10,110978394.79751106,22197192.797511052,4,0.799986359164668
2025-03-11,111362124.79751106,22197192.797511052,4,0.8006755632772627
2025-03-12,110864750.79751106,22197192.797511052,4,0.7997813314165733
2025-03-13,109971041.65747106,43034514.65747105,3,0.6086741199423071
2025-03-14,109881320.40259106,21496623.40259106,4,0.8043650793071089
2025-03-17,110363755.40259106,21496623.40259106,4,0.8052202616323223
2025-03-18,109488786.40259106,21496623.40259106,4,0.8036636982754761
2025-03-19,109148947.40259106,21496623.40259106,4,0.8030523984505162
2025-03-20,109676346.38369906,43252756.38369906,3,0.6056327748885733
2025-03-21,109483081.38369906,43252756.38369906,3,0.6049366181783502
2025-03-24,109558816.38369906,43252756.38369906,3,0.605209714641144
2025-03-25,109403466.38369906,43252756.38369906,3,0.6046491229811376
2025-03-26,108699876.38369906,43252756.38369906,3,0.6020901051347896
2025-03-27,108285368.71820906,66482658.71820906,2,0.38604208947917207
2025-03-28,108393928.71820906,66482658.71820906,2,0.3866569880399523
2025-03-31,108257918.71820906,66482658.71820906,2,0.3858864136187515
2025-04-01,109009158.71820906,66482658.71820906,2,0.39011859645602703
2025-04-02,108387728.71820906,66482658.71820906,2,0.3866219035638854
2025-04-03,107201123.45660906,87588393.45660906,1,0.18295265355067372
2025-04-04,105831595.87272906,105831595.87272906,0,0.0
2025-04-08,105831595.87272906,105831595.87272906,0,0.0
2025-04-09,105831595.87272906,105831595.87272906,0,0.0
2025-04-10,105831595.87272906,105831595.87272906,0,0.0
2025-04-11,105831595.87272906,105831595.87272906,0,0.0
2025-04-14,105831595.87272906,105831595.87272906,0,0.0
