symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
BSR,1,1.0,0.362302228943941,9483349.994670011,inf
CII,1,1.0,0.28384240019874685,7262988.726747997,inf
GEX,1,1.0,0.2953311615723321,6257235.333016004,inf
DXS,1,1.0,0.24065863209105565,5550720.670302004,inf
BVH,1,1.0,0.14720602515924117,3913923.58245001,inf
DPM,2,1.0,0.06441719297017583,3169852.236604009,inf
LPB,1,1.0,0.11880342926761327,3114702.295440007,inf
VCB,2,0.5,0.05642739308962356,3040102.4801720157,3.1673664582889764
CTD,1,1.0,0.14591462827709342,2920607.904996,inf
HDC,2,0.5,0.050275638746569956,2760940.60243202,2.1798762857958716
TCB,2,1.0,0.05464306947937885,2547995.3303500116,inf
DSE,1,1.0,0.08119594921046283,2482900.3998200074,inf
SSB,2,0.5,0.038852681362793476,2126968.6017200127,5.921755245170508
DXG,1,1.0,0.08430684047375096,2068711.3243200108,inf
MSN,2,0.5,0.03954926533831227,1834144.2582000084,2.8425046085635377
EVF,1,1.0,0.06269880499732301,1832257.1328000054,inf
VCI,2,1.0,0.036650307590721076,1746132.462252017,inf
CTG,1,1.0,0.08480929736079988,1700872.545898009,inf
PHR,1,1.0,0.06188877040648237,1686358.5093600042,inf
BID,1,1.0,0.06053855535984353,1674894.498075001,inf
REE,1,1.0,0.070683908863063,1518092.7345740087,inf
PNJ,2,0.5,0.021474403665090847,1304172.7176750079,4.596878373860248
POW,1,1.0,0.055373684537084834,1173172.7655940019,inf
HDG,1,1.0,0.04183990475624731,936930.5001160055,inf
SAB,1,1.0,0.03075856738108111,879116.635681007,inf
VJC,1,1.0,0.03233195082522248,847593.4770000055,inf
HHV,1,1.0,0.03894653292268696,781119.5438100062,inf
DGC,1,1.0,0.020820564446061354,510517.0803820044,inf
PAN,2,0.5,0.007586580386395106,154135.73025600612,1.1359807559482626
VCG,1,0.0,-0.019555619205968697,-512749.14767999575,0.0
KDC,1,0.0,-0.027770050841084533,-588377.2710839957,0.0
NKG,1,0.0,-0.02224354269419017,-644579.6026099958,0.0
GMD,1,0.0,-0.03806804606769387,-762008.079241991,0.0
KBC,1,0.0,-0.029126749718825888,-800054.8368299939,0.0
STB,2,0.5,-0.031329031992083624,-965173.2960999832,0.467351874305143
NVL,1,0.0,-0.037936400520835745,-1066867.5923299938,0.0
GVR,1,0.0,-0.04562193560645274,-1118854.5894839913,0.0
SBT,1,0.0,-0.03719550535426284,-1202209.6873519905,0.0
MWG,1,0.0,-0.04709415879759997,-1283120.3898399957,0.0
GEE,1,0.0,-0.04939588728087457,-1377003.8280739896,0.0
PDR,1,0.0,-0.052654213768548105,-1437269.743124988,0.0
KDH,1,0.0,-0.05047523334379312,-1442687.082999993,0.0
SZC,1,0.0,-0.055097483747969654,-1448252.0593749918,0.0
VIC,1,0.0,-0.053248405254437164,-1450972.003259994,0.0
VPB,1,0.0,-0.0643405492976971,-1785009.7153499909,0.0
VHC,1,0.0,-0.0695801472505446,-1850348.0857399926,0.0
HDB,1,0.0,-0.06995536982045306,-1921671.7448699959,0.0
PVD,1,0.0,-0.07227031402310127,-2019382.3489919975,0.0
VNM,1,0.0,-0.07418310480894616,-2116931.931409996,0.0
VSC,1,0.0,-0.07944562114881583,-2214989.409374997,0.0
VND,1,0.0,-0.07606123005009816,-2345356.9926799946,0.0
HAG,2,0.0,-0.0437589528213302,-2456420.6907999925,0.0
TCH,2,0.0,-0.05265776455014199,-2846502.400911987,0.0
NAB,3,0.0,-0.03868693049406875,-2968426.3922019787,0.0
NLG,2,0.0,-0.0627536077945205,-3395644.095769983,0.0
SHB,3,0.0,-0.042953866015113064,-3694146.809088979,0.0
