symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
BSR,1,1.0,0.362302228943941,9506166.253920011,inf
GEX,1,1.0,0.295331161572332,6056668.790112004,inf
DXS,1,1.0,0.24065863209105562,5372859.7655310035,inf
VHM,2,0.5,0.1106586539350298,5144218.155470017,6.0650935936476955
DPM,2,1.0,0.0644171929701759,3176400.230815012,inf
CTD,1,1.0,0.14591462827709342,2920607.904996,inf
LPB,1,1.0,0.11880342926761325,2905770.7836000063,inf
GAS,1,1.0,0.10800907573220452,2803599.8290800042,inf
HDC,2,0.5,0.0502756387465698,2654426.11387901,2.2623020621730525
VCB,2,0.5,0.050433351023220115,2653565.1147490144,2.716500051031026
CTG,1,1.0,0.09967924888024793,2567554.9550700076,inf
TCB,1,1.0,0.09810622746166307,2169838.2131400034,inf
DXG,1,1.0,0.0843068404737507,2002425.0588000044,inf
SSB,2,0.5,0.03885268136279335,1931842.1297200099,4.049446706085093
VCI,2,1.0,0.03665030759072086,1737955.9624140076,inf
PHR,1,1.0,0.06188877040648224,1594058.9408800006,inf
REE,1,1.0,0.070683908863063,1528103.8974240087,inf
VPI,1,1.0,0.048877224071892725,1195539.188800007,inf
POW,1,1.0,0.055373684537085105,1135633.9589420073,inf
PNJ,2,0.5,0.02147440366509091,1135197.52942501,4.130848689219323
HDG,1,1.0,0.041839904756247236,906934.2292700037,inf
SAB,1,1.0,0.030758567381081098,798434.227730006,inf
HHV,1,1.0,0.03894653292268676,791261.0266350023,inf
VRE,1,1.0,0.0287401688881567,595198.7595300041,inf
PAN,2,0.5,0.007586580386395068,190460.93011200428,1.1735903520819881
EIB,1,1.0,0.006951114819246753,181665.2384800017,inf
VCG,1,0.0,-0.01955561920596853,-478337.6315199919,0.0
HCM,1,0.0,-0.021497526507454675,-538431.07616999,0.0
KDC,1,0.0,-0.0277700508410844,-569392.3801229931,0.0
OCB,1,0.0,-0.031562010588917944,-641507.1347519904,0.0
KBC,1,0.0,-0.029126749718825905,-772552.6134499945,0.0
MSN,1,0.0,-0.030147322489619568,-828652.555319991,0.0
HAG,1,0.0,-0.03766101940464884,-961905.9638299979,0.0
SCS,1,0.0,-0.04922371505666189,-985439.2448239923,0.0
DSE,1,0.0,-0.05970448854855688,-1014269.1303899996,0.0
GVR,1,0.0,-0.045621935606452835,-1019719.0610039942,0.0
STB,2,0.5,-0.03132903199208372,-1036222.366649989,0.43540219201262054
SBT,1,0.0,-0.03719550535426282,-1176481.8049759902,0.0
GMD,1,0.0,-0.04445120893827985,-1178886.1714999974,0.0
HSG,1,0.0,-0.075661386375988,-1193194.3730399963,0.0
KDH,1,0.0,-0.05047523334379306,-1310278.501639992,0.0
VIC,1,0.0,-0.05324840525443714,-1370688.8019999936,0.0
SZC,1,0.0,-0.05509748374796969,-1475302.4687499925,0.0
BCM,1,0.0,-0.06158922587318179,-1609270.357808996,0.0
VPB,1,0.0,-0.06434054929769734,-1665029.1343799978,0.0
TCH,1,0.0,-0.07001944228428864,-1747087.0443379916,0.0
PVD,1,0.0,-0.0722703140231011,-1796615.7852199934,0.0
VSC,1,0.0,-0.07944562114881576,-2113534.1531249955,0.0
VND,1,0.0,-0.0760612300500983,-2173443.886119999,0.0
VHC,1,0.0,-0.06958014725054437,-2368644.0268699825,0.0
ANV,1,0.0,-0.0710911452198137,-2420282.937599998,0.0
NAB,3,0.0,-0.038686930494068836,-2820401.592157986,0.0
NLG,2,0.0,-0.06275360779452052,-3136446.042889986,0.0
SHB,3,0.0,-0.04542475948292086,-3637660.103139974,0.0
