date,equity,cash,positions,gross_exposure
2026-01-12,100000000.0,100000000.0,0,0.0
2026-01-13,98330163.6918,19931903.691800006,4,0.7972961404368925
2026-01-14,101451703.6918,19931903.691800006,4,0.8035330806040369
2026-01-15,99739588.83676001,41160548.83676001,3,0.5873198464440643
2026-01-16,100673775.62676,39678935.62676001,3,0.6058662210716473
2026-01-19,100690113.79075003,19823273.79075002,4,0.8031259172877099
2026-01-20,100006983.79075003,19823273.79075002,4,0.8017811052853336
2026-01-21,98790361.96939002,57778461.96939002,2,0.41514069978514145
2026-01-22,99303422.22477002,49778422.224770024,2,0.49872400054755206
2026-01-23,98654372.22477002,49778422.224770024,2,0.4954260910874083
2026-01-26,97601208.06449002,77405208.06449002,1,0.20692366826705144
2026-01-27,98105208.06449002,77405208.06449002,1,0.21099797256831399
2026-01-28,97925208.06449002,77405208.06449002,1,0.20954767833106125
2026-01-29,98501208.06449002,77405208.06449002,1,0.21416996212054754
2026-01-30,99217007.86016004,25757737.860160034,3,0.7403898946795099
2026-02-02,101974935.73553003,12867365.735530037,4,0.8738183491588434
2026-02-03,102003025.73553003,12867365.735530037,4,0.8738530975650458
2026-02-04,102667734.24753004,36053644.247530036,3,0.6488317920739796
2026-02-05,98810267.57119304,18015284.571193036,4,0.8176780104535899
2026-02-06,95290288.57119304,18015284.571193036,4,0.8109431208434896
2026-02-09,95160090.49609503,58781650.49609503,2,0.38228673186783924
2026-02-10,95163052.50017503,82771552.50017503,1,0.13021335144726687
2026-02-11,95313252.50017503,82771552.50017503,1,0.13158401031353922
2026-02-12,95313252.50017503,82771552.50017503,1,0.13158401031353922
2026-02-13,95538552.50017503,82771552.50017503,1,0.1336319178582553
2026-02-23,95681242.50017503,82771552.50017503,1,0.1349239376775065
2026-02-24,95699212.12816003,41346812.12816004,2,0.5679503393111687
2026-02-25,94416734.97335005,13756904.973350044,4,0.854295904457689
2026-02-26,96138134.97335005,13756904.973350044,4,0.8569048070553529
2026-02-27,97414309.97335005,13756904.973350044,4,0.8587794239150945
2026-03-02,100948359.97335005,13756904.973350044,4,0.8637233435294857
2026-03-03,103900114.97335005,13756904.973350044,4,0.8675949013446362
2026-03-04,103690033.10089004,25939043.10089004,3,0.7498405360170785
2026-03-05,100804718.10089004,25939043.10089004,3,0.7426802674560427
2026-03-06,100800928.10089004,25939043.10089004,3,0.7426705925274014
2026-03-09,102238937.52420004,89192992.52420004,1,0.12760250953226127
2026-03-10,103115542.52420004,89192992.52420004,1,0.1350189278859929
2026-03-11,104043712.52420004,89192992.52420004,1,0.1427353911130939
2026-03-12,104353102.52420004,89192992.52420004,1,0.14527704144190912
2026-03-13,104765622.52420004,89192992.52420004,1,0.1486425568311098
2026-03-16,103682757.52420004,89192992.52420004,1,0.13975096096974488
2026-03-17,103587906.80060004,103587906.80060004,0,0.0
2026-03-18,103587906.80060004,103587906.80060004,0,0.0
2026-03-19,103587906.80060004,103587906.80060004,0,0.0
2026-03-20,103587906.80060004,103587906.80060004,0,0.0
2026-03-23,103587906.80060004,103587906.80060004,0,0.0
2026-03-24,103587906.80060004,103587906.80060004,0,0.0
2026-03-25,103587906.80060004,103587906.80060004,0,0.0
2026-03-26,103587906.80060004,103587906.80060004,0,0.0
2026-03-27,103587906.80060004,103587906.80060004,0,0.0
2026-03-30,103587906.80060004,103587906.80060004,0,0.0
2026-03-31,103587906.80060004,103587906.80060004,0,0.0
2026-04-01,103587906.80060004,103587906.80060004,0,0.0
2026-04-02,103587906.80060004,103587906.80060004,0,0.0
2026-04-03,103587906.80060004,103587906.80060004,0,0.0
2026-04-06,103587906.80060004,103587906.80060004,0,0.0
2026-04-07,103587906.80060004,103587906.80060004,0,0.0
2026-04-08,103587906.80060004,103587906.80060004,0,0.0
2026-04-09,104453966.06662506,20638281.06662505,4,0.8024174491042196
2026-04-10,104666346.06662506,20638281.06662505,4,0.80281836672231
2026-04-13,105328356.06662506,20638281.06662505,4,0.8040576931289957
2026-04-14,105615051.06662506,20638281.06662505,4,0.8045895839826293
2026-04-15,106598891.06662506,20638281.06662505,4,0.8063930979007465
2026-04-16,106034376.06662506,20638281.06662505,4,0.8053623566978193
2026-04-17,106709286.06662506,20638281.06662505,4,0.8065933919402354
2026-04-20,107876046.06662506,20638281.06662505,4,0.8086852288423817
2026-04-21,107667236.06662506,20638281.06662505,4,0.8083141926866778
2026-04-22,108859331.06662506,20638281.06662505,4,0.8104133025216383
2026-04-23,108772051.06662506,20638281.06662505,4,0.8102611758788689
2026-04-24,108247981.06662506,20638281.06662505,4,0.8093425774479572
2026-04-28,110204261.06662506,20638281.06662505,4,0.8127270137572268
2026-04-29,110044241.06662506,20638281.06662505,4,0.8124546921621292
2026-05-04,107552921.06662506,20638281.06662505,4,0.8081104551884704
2026-05-05,105890412.52628505,63484272.52628505,2,0.40047195008777187
2026-05-06,107898942.52628505,63484272.52628505,2,0.411632115756651
2026-05-07,108385812.52628505,63484272.52628505,2,0.41427506934185465
2026-05-08,108296009.44628504,108296009.44628504,0,0.0
