symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_risk,reasons
BID,BREAKOUT,2026-01-12,2026-01-13,2026-01-15,49.39935,52.5474,404800,19996856.88,1211791.4080800042,0.06053855535984371,2,EDGE_TRAILING_ATR_STOP,2.6909,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
CTR,BREAKOUT,2026-01-12,2026-01-13,2026-01-16,109.5094,104.895,182600,19996416.44,-900893.5104399994,-0.04500774024303508,3,EDGE_ATR_STOP,2.6727,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
NAB,BREAKOUT,2026-01-12,2026-01-13,2026-01-21,15.215199999999998,14.63535,1314400,19998858.879999995,-820627.1069599912,-0.040992703862728144,6,EDGE_ATR_STOP,2.3273,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
FPT,BREAKOUT,2026-01-16,2026-01-19,2026-01-21,108.80869999999999,103.0968,182300,19835826.009999998,-1098704.2892899923,-0.055334558896314154,2,EDGE_ATR_STOP,3.325,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
DGW,BREAKOUT,2026-01-12,2026-01-13,2026-01-22,44.044,46.153800000000004,454000,19995976.0,895945.5736000054,0.044761532174119864,7,EDGE_TRAILING_ATR_STOP,2.6,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
GMD,BREAKOUT,2026-01-21,2026-01-22,2026-01-26,70.6706,67.73219999999999,408700,28883074.22,-1285171.454500001,-0.04445120893827998,2,EDGE_STOP_LOSS,3.225,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
SIP,BREAKOUT,2026-01-15,2026-01-16,2026-02-04,57.15709999999999,64.5354,360000,20576555.999999996,2589145.956000004,0.12570419445330897,13,EDGE_TRAILING_ATR_STOP,3.0,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
VHC,BREAKOUT,2026-01-29,2026-01-30,2026-02-09,64.76469999999999,60.4395,398300,25795780.009999998,-1796669.0457099937,-0.06958014725054464,6,EDGE_STOP_LOSS,3.0667,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
CTD,BREAKOUT,2026-02-04,2026-02-05,2026-02-09,82.17209,76.49342999999999,219300,18020339.337,-1296900.4957350027,-0.07189680874565867,2,EDGE_ATR_STOP,3.3333,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
ANV,BREAKOUT,2026-01-29,2026-01-30,2026-02-10,28.6286,26.673299999999998,901200,25800094.32,-1835992.4102399983,-0.0710911452198137,7,EDGE_STOP_LOSS,2.7333,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
