symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
PVD,1,1.0,0.22182488417339072,9189038.234935008,inf
SIP,1,1.0,0.12570419445330897,2589145.956000004,inf
HCM,1,1.0,0.12125337797868883,2514519.0036900043,inf
NVL,1,1.0,0.11041978042688956,2289900.2178400047,inf
BID,1,1.0,0.06053855535984371,1211791.4080800042,inf
DGW,1,1.0,0.044761532174119864,895945.5736000054,inf
MSN,1,1.0,0.039646471534172015,822162.0640800111,inf
EVF,1,1.0,0.04345721066079382,599509.7985450029,inf
FRT,1,0.0,-0.0549428666792913,-708233.9970899988,0.0
NAB,1,0.0,-0.040992703862728144,-820627.1069599912,0.0
CTR,1,0.0,-0.04500774024303508,-900893.5104399994,0.0
ACB,1,0.0,-0.04429298512138728,-918478.6399249956,0.0
FPT,1,0.0,-0.055334558896314154,-1098704.2892899923,0.0
NT2,1,0.0,-0.08368057099466257,-1154331.8605949953,0.0
GMD,1,0.0,-0.04445120893827998,-1285171.454500001,0.0
CTD,1,0.0,-0.07189680874565867,-1296900.4957350027,0.0
VHC,1,0.0,-0.06958014725054464,-1796669.0457099937,0.0
ANV,1,0.0,-0.0710911452198137,-1835992.4102399983,0.0
