symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_risk,reasons
ACB,BREAKOUT,2026-01-12,2026-01-13,2026-01-15,25.725699999999996,24.82515,777400,19999159.179999996,-758684.8723999932,-0.037897940540045194,2,EDGE_ATR_STOP,100.0,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
BID,BREAKOUT,2026-01-12,2026-01-13,2026-01-15,49.39935,52.5474,404800,19996856.88,1211791.4080800042,0.06053855535984371,2,EDGE_TRAILING_ATR_STOP,100.0,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
CTR,BREAKOUT,2026-01-12,2026-01-13,2026-01-16,109.5094,104.895,182600,19996416.44,-900893.5104399994,-0.04500774024303508,3,EDGE_ATR_STOP,100.0,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
BSI,BREAKOUT,2026-01-12,2026-01-13,2026-01-19,43.59354999999999,41.1588,458700,19996361.384999998,-1174575.2695049979,-0.05868076921822248,4,EDGE_ATR_STOP,100.0,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
BVH,BREAKOUT,2026-01-15,2026-01-16,2026-01-20,78.07799999999999,71.928,257900,20136316.199999996,-1643321.7785999961,-0.08152832336341118,2,EDGE_STOP_LOSS,100.0,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
HSG,BREAKOUT,2026-01-15,2026-01-16,2026-01-21,13.26325,12.81717,1518400,20138918.8,-736389.972655993,-0.03652898775964355,3,EDGE_ATR_STOP,100.0,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
FPT,BREAKOUT,2026-01-16,2026-01-19,2026-01-21,108.80869999999999,103.0968,180200,19607327.74,-1086047.7944599986,-0.055334558896314466,2,EDGE_ATR_STOP,100.0,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
KBC,BREAKOUT,2026-01-19,2026-01-20,2026-01-26,38.138099999999994,36.1638,503800,19213974.779999997,-1050304.9596599936,-0.054608987259014086,4,EDGE_STOP_LOSS,100.0,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
GMD,BREAKOUT,2026-01-20,2026-01-21,2026-01-26,68.56849999999999,67.73219999999999,275000,18856337.499999996,-286091.5474999994,-0.015157012423979007,3,EDGE_ATR_STOP,100.0,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
PNJ,BREAKOUT,2026-01-29,2026-01-30,2026-02-03,83.24315999999999,77.35257,374700,31191212.051999997,-2296363.301009994,-0.0735485760525654,2,EDGE_STOP_LOSS,100.0,breakout_after_accumulation_v3,True,100.0,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
