date,equity,cash,positions,gross_exposure
2026-01-12,100000000.0,100000000.0,0,0.0
2026-01-13,97962367.32111502,19931217.321115017,4,0.7965421021749951
2026-01-14,100233667.32111502,19931217.321115017,4,0.8011524684888353
2026-01-15,98902845.93285501,60420335.93285502,2,0.3890940613187786
2026-01-16,96515347.04385503,39220345.04385503,3,0.5936361807202131
2026-01-19,95475982.45299503,38435192.45299503,3,0.5974360099209501
2026-01-20,94968648.43581504,37715134.43581504,3,0.6028675246304577
2026-01-21,94831595.61773904,56803495.61773904,2,0.4010066450140646
2026-01-22,94895615.61773904,56803495.61773904,2,0.4014107475043279
2026-01-23,93928935.61773904,56803495.61773904,2,0.3952503001959775
2026-01-26,93575481.70285903,93575481.70285903,0,0.0
2026-01-27,93575481.70285903,93575481.70285903,0,0.0
2026-01-28,93575481.70285903,93575481.70285903,0,0.0
2026-01-29,93575481.70285903,93575481.70285903,0,0.0
2026-01-30,93947113.87910704,31131027.87910704,2,0.6686324188823187
2026-02-02,92914600.52219704,15563028.522197044,3,0.8325017980518673
2026-02-03,91593869.51463905,36702919.51463904,3,0.5992862872905158
2026-02-04,92339038.90849905,18340108.908499043,4,0.8013829348313588
2026-02-05,89761388.90849905,18340108.908499043,4,0.7956793100962978
2026-02-06,87340828.90849905,18340108.908499043,4,0.7900167752276234
2026-02-09,86840057.72871904,35364027.72871904,3,0.5927682609425104
2026-02-10,86806680.38239904,71841180.38239904,1,0.17240032603567237
2026-02-11,86988080.38239904,71841180.38239904,1,0.17412615536995787
2026-02-12,86988080.38239904,71841180.38239904,1,0.17412615536995787
2026-02-13,87260180.38239904,71841180.38239904,1,0.17670144540647909
2026-02-23,87432510.38239904,71841180.38239904,1,0.17832417177327986
2026-02-24,85827137.17873904,35885717.17873905,2,0.5818837915564473
2026-02-25,85596781.94356905,11942732.943569051,4,0.860476846530954
2026-02-26,86357314.94356905,11942732.943569051,4,0.861705601298823
2026-02-27,88089824.94356905,11942732.943569051,4,0.8644255116726631
2026-03-02,90561637.94356905,11942732.943569051,4,0.8681259171680306
2026-03-03,91478759.94356905,11942732.943569051,4,0.869448023224886
2026-03-04,88531157.76876906,53131477.768769056,1,0.39985560894232275
2026-03-05,88669437.76876906,53131477.768769056,1,0.4007915342000409
2026-03-06,86802657.76876906,53131477.768769056,1,0.38790494283822075
2026-03-09,84357999.14960906,84357999.14960906,0,0.0
2026-03-10,84357999.14960906,84357999.14960906,0,0.0
2026-03-11,84357999.14960906,84357999.14960906,0,0.0
2026-03-12,84357999.14960906,84357999.14960906,0,0.0
2026-03-13,84357999.14960906,84357999.14960906,0,0.0
2026-03-16,84357999.14960906,84357999.14960906,0,0.0
2026-03-17,84357999.14960906,84357999.14960906,0,0.0
2026-03-18,84357999.14960906,84357999.14960906,0,0.0
2026-03-19,84357999.14960906,84357999.14960906,0,0.0
2026-03-20,84357999.14960906,84357999.14960906,0,0.0
2026-03-23,84357999.14960906,84357999.14960906,0,0.0
2026-03-24,84357999.14960906,84357999.14960906,0,0.0
2026-03-25,84357999.14960906,84357999.14960906,0,0.0
2026-03-26,84357999.14960906,84357999.14960906,0,0.0
2026-03-27,84357999.14960906,84357999.14960906,0,0.0
2026-03-30,84357999.14960906,84357999.14960906,0,0.0
2026-03-31,84357999.14960906,84357999.14960906,0,0.0
2026-04-01,84357999.14960906,84357999.14960906,0,0.0
2026-04-02,84357999.14960906,84357999.14960906,0,0.0
2026-04-03,84357999.14960906,84357999.14960906,0,0.0
2026-04-06,84357999.14960906,84357999.14960906,0,0.0
2026-04-07,84357999.14960906,84357999.14960906,0,0.0
2026-04-08,84357999.14960906,84357999.14960906,0,0.0
2026-04-09,84270738.35291909,16806408.35291909,4,0.800566499340077
2026-04-10,85243403.35291909,16806408.35291909,4,0.8028421239431477
2026-04-13,85429448.35291909,16806408.35291909,4,0.8032714868590766
2026-04-14,85629318.35291909,16806408.35291909,4,0.8037306768734057
2026-04-15,85798863.35291909,16806408.35291909,4,0.8041185198014946
2026-04-16,86006793.35291909,16806408.35291909,4,0.8045920828142504
2026-04-17,86503593.35291909,16806408.35291909,4,0.8057143327635886
2026-04-20,87069493.35291909,16806408.35291909,4,0.806977074222798
2026-04-21,86318253.35291909,16806408.35291909,4,0.8052971683265562
2026-04-22,86597363.35291909,16806408.35291909,4,0.8059247106124211
2026-04-23,85841828.35291909,16806408.35291909,4,0.8042165611405273
2026-04-24,85150868.35291909,16806408.35291909,4,0.8026278688872238
2026-04-28,85495138.35291909,16806408.35291909,4,0.8034226427759765
2026-04-29,85364818.35291909,16806408.35291909,4,0.8031225430195695
2026-05-04,84885023.35291909,16806408.35291909,4,0.8020097340016679
2026-05-05,85170185.28987908,32946355.28987909,3,0.6131703227162739
2026-05-06,86875470.28987908,32946355.28987909,3,0.6207634309207612
2026-05-07,87620215.28987908,32946355.28987909,3,0.6239868256328664
2026-05-08,87510867.56987908,87510867.56987908,0,0.0
