symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
BSR,1,1.0,0.25156433753063656,3011657.1990500055,inf
HCM,1,1.0,0.12125337797868882,2047649.9463600032,inf
BID,1,1.0,0.06053855535984371,1211791.4080800042,inf
MSB,1,1.0,0.0700901545594048,1183669.5659100078,inf
MSN,1,1.0,0.03964647153417192,669567.3052800074,inf
GMD,1,0.0,-0.015157012423979007,-286091.5474999994,0.0
DGW,1,0.0,-0.03999866267598523,-311435.54621999897,0.0
HSG,1,0.0,-0.03652898775964355,-736389.972655993,0.0
FRT,1,0.0,-0.054942866679291144,-855350.5131299961,0.0
CTR,1,0.0,-0.04500774024303508,-900893.5104399994,0.0
KBC,1,0.0,-0.054608987259014086,-1050304.9596599936,0.0
FPT,1,0.0,-0.055334558896314466,-1086047.7944599986,0.0
BSI,1,0.0,-0.05868076921822248,-1174575.2695049979,0.0
ACB,2,0.0,-0.04109546283071624,-1506703.2696799897,0.0
BVH,1,0.0,-0.08152832336341118,-1643321.7785999961,0.0
CTD,2,0.0,-0.056443865943954855,-1817437.2387199998,0.0
ANV,1,0.0,-0.0710911452198138,-2219611.3304000013,0.0
PNJ,1,0.0,-0.0735485760525654,-2296363.301009994,0.0
VSC,1,0.0,-0.13152220556954525,-4728941.822819989,0.0
