date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98688003.778864,49950915.778864,1,0.49385017564250316
2025-01-06,99397689.778864,49950915.778864,1,0.4974640166185673
2025-01-07,99118599.778864,49950915.778864,1,0.4960490171339617
2025-01-08,98616237.778864,49950915.778864,1,0.4934818352037177
2025-01-09,99254157.778864,49950915.778864,1,0.496737296485317
2025-01-10,99469455.778864,49950915.778864,1,0.4978265902056143
2025-01-13,100833009.778864,49950915.778864,1,0.5046174274832129
2025-01-14,100545945.778864,49950915.778864,1,0.503203084003768
2025-01-15,100968567.778864,49950915.778864,1,0.5052825163543585
2025-01-16,102045057.778864,49950915.778864,1,0.5105013719810932
2025-01-17,102834483.778864,49950915.778864,1,0.5142590895260504
2025-01-20,102260355.778864,49950915.778864,1,0.5115319578304434
2025-01-21,102260355.778864,49950915.778864,1,0.5115319578304434
2025-01-22,102045057.778864,49950915.778864,1,0.5105013719810932
2025-01-23,102260355.778864,49950915.778864,1,0.5115319578304434
2025-01-24,102487622.89213002,12457306.892130015,4,0.8784506212497333
2025-02-03,100241820.89213002,12457306.892130015,4,0.8757274480724437
2025-02-04,104196770.59208202,24235864.592082016,3,0.767402919933454
2025-02-05,106500230.80274002,12106299.802740019,4,0.8863260697982586
2025-02-06,108675444.80274002,12106299.802740019,4,0.8886013319318405
2025-02-07,108788794.80274002,12106299.802740019,4,0.8887174012296797
2025-02-10,107710090.54361202,69458277.54361202,3,0.3551367639461019
2025-02-11,108153934.01919702,34694439.019197024,4,0.679212417617293
2025-02-12,107011351.01919702,34694439.019197024,4,0.6757873002372141
2025-02-13,107470944.01919702,34694439.019197024,4,0.677173776262729
2025-02-14,107350137.01919702,34694439.019197024,4,0.6768104821981481
2025-02-17,107406205.01919702,34694439.019197024,4,0.676979193027107
2025-02-18,108018218.01919702,34694439.019197024,4,0.6788093744239411
2025-02-19,108708530.01919702,34694439.019197024,4,0.6808489728168501
2025-02-20,108567536.01919702,34694439.019197024,4,0.6804344991944709
2025-02-21,109185432.01919702,34694439.019197024,4,0.6822429661395026
2025-02-24,109549468.01919702,34694439.019197024,4,0.6832988818063699
2025-02-25,109745340.01919702,34694439.019197024,4,0.6838641256828932
2025-02-26,108705036.01919702,34694439.019197024,4,0.6808387146565126
2025-02-27,110177470.01919702,34694439.019197024,4,0.685104050645273
2025-02-28,109428441.01919702,34694439.019197024,4,0.682948612846357
2025-03-03,108887804.01919702,34694439.019197024,4,0.6813744263491588
2025-03-04,108982711.01919702,34694439.019197024,4,0.6816518996936525
2025-03-05,108548033.81095102,47616957.810951024,3,0.5613282328643421
2025-03-06,108973744.81095102,47616957.810951024,3,0.5630419245153271
2025-03-07,108804761.14851102,23786929.14851103,4,0.7813797034484227
2025-03-10,108662861.14851102,23786929.14851103,4,0.7810942128976238
2025-03-11,108669236.14851102,23786929.14851103,4,0.7811070548429824
2025-03-12,108512513.14851102,23786929.14851103,4,0.7807909110357065
2025-03-13,107391592.14851102,23786929.14851103,4,0.7785028727796841
2025-03-14,107906405.14851102,23786929.14851103,4,0.7795596182101221
2025-03-17,107827289.14851102,23786929.14851103,4,0.7793978747277123
2025-03-18,108158494.17223103,37547411.17223103,3,0.6528482440552406
2025-03-19,109134305.42223305,18755886.42223304,4,0.8281394072224327
2025-03-20,109015831.42223305,18755886.42223304,4,0.8279526360754984
2025-03-21,108851195.42223305,18755886.42223304,4,0.8276924167026454
2025-03-24,109604126.96167704,31071574.961677045,3,0.7165109031657066
2025-03-25,110891651.96167704,31071574.961677045,3,0.7198023979982276
2025-03-26,110568579.96167704,31071574.961677045,3,0.7189836844025091
2025-03-27,111346156.96167704,31071574.961677045,3,0.7209461394130449
2025-03-28,110682391.96167704,31071574.961677045,3,0.7192726466154133
2025-03-31,108036262.96167704,31071574.961677045,3,0.7123967998347106
2025-04-01,108221486.69752304,73945076.69752304,1,0.3167246269292336
2025-04-02,108500156.69752304,73945076.69752304,1,0.3184795400464971
2025-04-03,106868470.55731304,106868470.55731304,0,0.0
2025-04-04,106868470.55731304,106868470.55731304,0,0.0
2025-04-08,106868470.55731304,106868470.55731304,0,0.0
2025-04-09,106868470.55731304,106868470.55731304,0,0.0
2025-04-10,106868470.55731304,106868470.55731304,0,0.0
2025-04-11,106868470.55731304,106868470.55731304,0,0.0
2025-04-14,106868470.55731304,106868470.55731304,0,0.0
2025-04-15,106868470.55731304,106868470.55731304,0,0.0
2025-04-16,106868470.55731304,106868470.55731304,0,0.0
2025-04-17,106868470.55731304,106868470.55731304,0,0.0
2025-04-18,106868470.55731304,106868470.55731304,0,0.0
2025-04-21,106868470.55731304,106868470.55731304,0,0.0
2025-04-22,106868470.55731304,106868470.55731304,0,0.0
2025-04-23,106868470.55731304,106868470.55731304,0,0.0
2025-04-24,106868470.55731304,106868470.55731304,0,0.0
2025-04-25,106868470.55731304,106868470.55731304,0,0.0
2025-04-28,106868470.55731304,106868470.55731304,0,0.0
2025-04-29,106868470.55731304,106868470.55731304,0,0.0
2025-05-05,106868470.55731304,106868470.55731304,0,0.0
2025-05-06,106417641.54549704,53381841.545497045,1,0.49837413449278
2025-05-07,108539073.54549703,53381841.545497045,1,0.5081785775228621
2025-05-08,109542453.54549704,53381841.545497045,1,0.5126835321127293
2025-05-09,108997761.54549703,53381841.545497045,1,0.510248276766539
2025-05-12,109083765.54549704,53381841.545497045,1,0.5106344076173979
2025-05-13,108080385.54549703,53381841.545497045,1,0.5060913108694856
2025-05-14,110474343.28836305,13312689.288363053,4,0.8794951941591187
2025-05-15,109086924.28836305,13312689.288363053,4,0.8779625571514698
2025-05-16,111914772.28836305,13312689.288363053,4,0.8810461834827205
2025-05-19,113459518.28836305,13312689.288363053,4,0.8826657340944443
2025-05-20,115194395.28836305,13312689.288363053,4,0.8844328384637312
2025-05-21,119644944.28836305,13312689.288363053,4,0.8887317022248982
2025-05-22,119270420.91869906,28833186.918699052,3,0.7582536667800204
2025-05-23,122901590.91869906,28833186.918699052,3,0.7653961457848616
2025-05-26,127038206.68178105,14403452.681781055,4,0.8866210956687985
2025-05-27,129376787.68178105,14403452.681781055,4,0.8886705031105873
2025-05-28,128007566.68178105,14403452.681781055,4,0.8874796775288515
2025-05-29,129944875.96824504,83686349.96824504,3,0.35598576438908075
2025-05-30,129411989.62697506,41801435.62697505,4,0.6769894679197341
2025-06-02,128821596.62697506,41801435.62697505,4,0.6755091015676645
2025-06-03,128515939.62697506,41801435.62697505,4,0.6747373458241356
2025-06-04,128849800.26852505,57487542.26852505,3,0.5538406567280656
2025-06-05,128454354.26852505,57487542.26852505,3,0.5524671577239704
2025-06-06,128158678.26287906,28716440.26287906,4,0.7759305834601704
2025-06-09,126577680.26287906,28716440.26287906,4,0.7731318807293657
2025-06-10,125434534.85287906,66398130.85287906,3,0.47065510363029783
2025-06-11,125797885.85287908,66398130.85287906,3,0.47218404822373694
2025-06-12,125955424.85287906,66398130.85287906,3,0.4728442150829572
2025-06-13,124948333.82994907,33168841.82994907,4,0.7345395427594027
2025-06-16,126864820.82994907,33168841.82994907,4,0.7385497286563867
2025-06-17,127540712.82994907,33168841.82994907,4,0.739935263854348
2025-06-18,128264726.82994907,33168841.82994907,4,0.7414032474109293
2025-06-19,127569107.82994907,33168841.82994907,4,0.7399931504250741
2025-06-20,126881809.44972506,48265334.44972507,3,0.6196039868989301
2025-06-23,126187751.36273508,24110106.362735074,4,0.8089346540978531
2025-06-24,126216668.36273508,24110106.362735074,4,0.8089784283210134
2025-06-25,126722001.36273508,24110106.362735074,4,0.8097401705823667
2025-06-26,127157490.36273508,24110106.362735074,4,0.8103917724865636
2025-06-27,126845247.36273508,24110106.362735074,4,0.8099250317689222
2025-06-30,127756493.36273508,24110106.362735074,4,0.8112807754179665
2025-07-01,127611654.36273508,24110106.362735074,4,0.8110665794348039
2025-07-02,127618574.36273508,24110106.362735074,4,0.8110768241760324
2025-07-03,127410509.36273508,24110106.362735074,4,0.8107683072352053
2025-07-04,128531145.36273508,24110106.362735074,4,0.8124181785302499
2025-07-07,130965191.36273508,24110106.362735074,4,0.8159044696391335
2025-07-08,131969657.36273508,24110106.362735074,4,0.817305683408229
2025-07-09,132469749.36273508,24110106.362735074,4,0.817995380237977
2025-07-10,132543804.36273508,24110106.362735074,4,0.8180970700316365
2025-07-11,132482275.36273508,24110106.362735074,4,0.8180125885012024
2025-07-14,133966274.36273508,24110106.362735074,4,0.8200285372014369
2025-07-15,133052671.36273508,24110106.362735074,4,0.8187927674371538
2025-07-16,133833818.36273508,24110106.362735074,4,0.8198504185437756
2025-07-17,133470352.12553108,42533106.12553108,3,0.6813291832366788
2025-07-18,135369930.3707761,21245840.370776083,4,0.8430534734517181
2025-07-21,135086300.3707761,21245840.370776083,4,0.8427239452671227
2025-07-22,135511263.3707761,21245840.370776083,4,0.8432171626011281
2025-07-23,135005082.3707761,21245840.370776083,4,0.842629329224608
2025-07-24,135403299.3707761,21245840.370776083,4,0.8430921515981792
2025-07-25,136119459.3707761,21245840.370776083,4,0.8439176847381938
2025-07-28,136685491.3707761,21245840.370776083,4,0.8445640414523283
2025-07-29,133475817.90737009,48128799.90737008,3,0.6394193295689662
2025-07-30,134536428.3889001,69203692.38890009,2,0.4856137239732927
2025-07-31,134805905.3889001,69203692.38890009,2,0.4866419821204782
2025-08-01,133569318.99048409,34568108.990484096,3,0.7411972356245461
2025-08-04,136945544.9904841,34568108.990484096,3,0.7475777032915812
2025-08-05,138973199.3832221,93138155.3832221,2,0.32981210912190856
2025-08-06,139552165.20764711,30988467.207647115,4,0.7779434868564188
2025-08-07,143351368.20764711,30988467.207647115,4,0.7838285912781819
2025-08-08,143826782.3289751,59958019.32897512,3,0.5831234047089151
2025-08-11,143151804.67112014,29950238.671120126,4,0.7907798735759677
2025-08-12,142322978.67112014,29950238.671120126,4,0.7895614682128799
2025-08-13,141408764.4892401,48892339.489240125,3,0.6542481672487821
2025-08-14,144685067.42391813,24422150.423918128,4,0.8312047617715602
2025-08-15,144236887.42391813,24422150.423918128,4,0.8306802728476771
2025-08-18,145305038.42391813,24422150.423918128,4,0.8319249580825403
2025-08-19,148249716.42391813,24422150.423918128,4,0.8352634257047528
2025-08-20,152060316.83073214,89789496.83073214,2,0.40951394353148396
