symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
GEX,1,1.0,0.29533116157233175,15796268.274647996,inf
PVD,1,1.0,0.22182488417339072,12958354.03466501,inf
VPB,1,1.0,0.33417668533400297,10384577.965665009,inf
VIB,2,0.5,0.08868928329550461,5579843.411785012,31.400165264693385
CTG,2,1.0,0.10630217241898493,5551441.828909013,inf
CTD,2,0.5,0.037008909765717454,5478480.373661,4.002872669190791
STB,1,1.0,0.1218915781735514,4050370.4805900045,inf
TCH,1,1.0,0.27673867448378703,3993265.5258780066,inf
SHB,3,0.6666666666666666,0.04779418732770744,3317353.2394700274,2.5869607861388197
HCM,1,1.0,0.11131318845760109,3255539.6117400043,inf
NVL,1,1.0,0.11041978042688945,3229436.9595000036,inf
DSE,1,1.0,0.08119594921046305,2432563.9439400136,inf
EIB,1,1.0,0.17431499265401443,2328441.3305600043,inf
GEE,1,1.0,0.16212180196657286,2165187.021696003,inf
GVR,2,0.5,0.025969420777542215,1775993.6712500192,2.4785543878121756
NLG,1,1.0,0.13030048707766853,1740316.2822720017,inf
TPB,1,1.0,0.09493090735540455,1642287.0208540075,inf
BID,1,1.0,0.06053855535984383,1637774.4055350088,inf
MBB,1,1.0,0.10088881434826928,1261052.6132520027,inf
MSN,1,1.0,0.02937835823506881,859133.6546400078,inf
TCB,1,1.0,0.01117991149709484,851463.0882600397,inf
EVF,1,1.0,0.04345721066079386,845405.895495005,inf
SIP,2,0.5,0.03547396395290644,835708.4671140239,1.2989404110510896
SBT,1,1.0,0.06537365653125124,792954.0024120025,inf
SSB,1,0.0,-0.009976540701454631,-212373.27322499454,0.0
REE,2,0.5,-0.011571501159582245,-311675.31037298404,0.3890222003178844
POW,1,0.0,-0.022988492067892993,-562532.7472279966,0.0
MWG,1,0.0,-0.04446436519497632,-963719.0056399964,0.0
FRT,1,0.0,-0.05494286667929126,-999637.8653999977,0.0
CTR,1,0.0,-0.045007740243034895,-1217637.011919994,0.0
ACB,1,0.0,-0.04429298512138729,-1295369.758759994,0.0
VIC,1,0.0,-0.05324840525443724,-1507757.682199996,0.0
NAB,1,0.0,-0.03514086494742188,-1526461.2457649931,0.0
GMD,2,0.5,-0.0031541051043910973,-1606090.6977699883,0.35445376108751964
NT2,1,0.0,-0.08368057099466256,-1627848.8565199934,0.0
PC1,1,0.0,-0.060487637544047235,-1713415.0735099986,0.0
FPT,2,0.0,-0.05633434382278586,-2230344.6117999926,0.0
ANV,1,0.0,-0.07109114521981375,-2593858.7846399993,0.0
BSI,1,0.0,-0.10449011527932577,-3130401.38079999,0.0
VHM,2,0.0,-0.05892922602422207,-4021861.025249984,0.0
HAG,2,0.0,-0.051399119873133975,-4386001.744744986,0.0
VHC,3,0.0,-0.0628546096046152,-5152019.128716983,0.0
VRE,2,0.0,-0.07205370595276735,-5562912.9153099805,0.0
