symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
FPT,BREAKOUT,2025-01-23,2025-01-24,2025-02-04,131.67153999999996,124.49538000000001,94800,12482461.991999997,-716386.7540399954,-0.057334128749257286,2,EDGE_ATR_STOP,2.27,breakout_after_accumulation_v3,True,100.0,3.0,2.27,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
CTD,BREAKOUT,2025-01-02,2025-01-03,2025-02-10,62.702639999999995,72.06786,797400,49999085.136,7302893.519735999,0.1459146282770934,21,EDGE_TRAILING_ATR_STOP,3.725,breakout_after_accumulation_v3,True,100.0,1.0,3.725,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
SBT,BREAKOUT,2025-02-04,2025-02-05,2025-03-05,12.032019999999997,12.85713,1007100,12117447.341999998,792954.0024120025,0.06537365653125124,20,EDGE_TRAILING_ATR_STOP,3.2286,breakout_after_accumulation_v3,True,100.0,1.0,3.2286,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
MBB,BREAKOUT,2025-01-23,2025-01-24,2025-03-18,16.55654,18.2817,754200,12486942.467999998,1261052.6132520027,0.10088881434826928,32,EDGE_TRAILING_ATR_STOP,2.87,breakout_after_accumulation_v3,True,100.0,1.0,2.87,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
VIB,BREAKOUT,2025-01-23,2025-01-24,2025-03-24,16.43642,16.243740000000003,759700,12486748.273999998,-183546.4828299936,-0.014684617298811365,36,EDGE_ATR_STOP,2.78,breakout_after_accumulation_v3,True,99.3939,2.0,2.78,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=99.3939
GVR,BREAKOUT,2025-03-06,2025-03-07,2025-04-01,33.55352,31.958009999999998,709500,23806222.439999998,-1201168.983629994,-0.05040568774150205,17,EDGE_ATR_STOP,2.7714,breakout_after_accumulation_v3,True,100.0,1.0,2.7714,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
SHB,BREAKOUT,2025-03-18,2025-03-19,2025-04-01,9.679669999999998,10.45953,1939400,18772751.997999996,1453117.3070380092,0.07732833425548209,9,EDGE_TRAILING_ATR_STOP,3.325,breakout_after_accumulation_v3,True,100.0,1.0,3.325,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
HAG,BREAKOUT,2025-02-10,2025-02-11,2025-04-03,12.462449999999999,11.838149999999999,2786700,34729109.415,-1840444.6646249965,-0.05294135350825639,37,EDGE_ATR_STOP,3.0667,breakout_after_accumulation_v3,True,100.0,1.0,3.0667,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
GEE,BREAKOUT,2025-05-13,2025-05-14,2025-05-22,46.846799999999995,54.60534,284800,13341968.639999999,2165187.021696003,0.16212180196657286,6,EDGE_TRAILING_ATR_STOP,2.9375,breakout_after_accumulation_v3,True,100.0,1.0,2.9375,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
GEX,BREAKOUT,2025-05-05,2025-05-06,2025-05-29,18.63862,24.21576,2866800,53433195.816,15796268.274647996,0.29533116157233175,17,EDGE_TAKE_PROFIT,3.325,breakout_after_accumulation_v3,True,100.0,1.0,3.325,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
