date,equity,cash,positions,gross_exposure
2026-01-12,100000000.0,100000000.0,0,0.0
2026-01-13,99636398.52922001,19929318.529220022,4,0.7999795373637937
2026-01-14,101352809.37462002,9954799.374620024,5,0.901780725802823
2026-01-15,100086742.62235156,44256447.62235155,5,0.5578190830993422
2026-01-16,99586932.78421655,34319227.78421655,6,0.6553842273807254
2026-01-19,99485542.60521656,37470252.605216555,5,0.6233598206936674
2026-01-20,99938665.88392216,71744545.88392216,2,0.282114232270693
2026-01-21,100461958.72923218,23874258.729232177,4,0.7623552334513133
2026-01-22,99494228.72923218,23874258.729232177,4,0.7600437831001776
2026-01-23,97605925.45863217,64167795.45863218,2,0.34258299219929955
2026-01-26,96404259.92543218,96404259.92543218,0,0.0
2026-01-27,96404259.92543218,96404259.92543218,0,0.0
2026-01-28,96404259.92543218,96404259.92543218,0,0.0
2026-01-29,96404259.92543218,96404259.92543218,0,0.0
2026-01-30,96786803.3262322,32076597.326232187,2,0.6685850113458758
2026-02-02,95363957.3262322,32076597.326232187,2,0.6636402449564796
2026-02-03,93722888.18052419,37803288.180524185,4,0.5966482796847933
2026-02-04,94863485.1231542,9429255.123154191,7,0.9006018478984522
2026-02-05,92479500.1567542,17122920.156754192,6,0.8148463159107632
2026-02-06,90530556.81315419,42674286.81315419,3,0.5286200779563351
2026-02-09,89884233.02275419,72888233.02275419,2,0.1890876678638117
2026-02-10,89358207.5617542,89358207.5617542,0,0.0
2026-02-11,89358207.5617542,89358207.5617542,0,0.0
2026-02-12,89358207.5617542,89358207.5617542,0,0.0
2026-02-13,89358207.5617542,89358207.5617542,0,0.0
2026-02-23,89358207.5617542,89358207.5617542,0,0.0
2026-02-24,87462894.92775421,44634894.92775421,1,0.48967050582280214
2026-02-25,86659383.48236422,8898138.482364217,5,0.8973205425102632
2026-02-26,87081882.60816422,46803682.60816422,5,0.46253249003856267
2026-02-27,88889398.87040794,33244248.87040793,5,0.6260043459302183
2026-03-02,89468302.76710261,45320987.767102614,3,0.4934408459152409
2026-03-03,90158632.76710261,45320987.767102614,3,0.49731948704040807
2026-03-04,88126951.48110262,67610961.48110262,2,0.2328004050429376
2026-03-05,87849232.52170262,83533382.52170262,1,0.04912791923291755
2026-03-06,87776623.03370261,87776623.03370261,0,0.0
2026-03-09,87776623.03370261,87776623.03370261,0,0.0
2026-03-10,87776623.03370261,87776623.03370261,0,0.0
2026-03-11,87776623.03370261,87776623.03370261,0,0.0
2026-03-12,87776623.03370261,87776623.03370261,0,0.0
2026-03-13,87776623.03370261,87776623.03370261,0,0.0
2026-03-16,87776623.03370261,87776623.03370261,0,0.0
2026-03-17,87776623.03370261,87776623.03370261,0,0.0
2026-03-18,87776623.03370261,87776623.03370261,0,0.0
2026-03-19,87776623.03370261,87776623.03370261,0,0.0
2026-03-20,87776623.03370261,87776623.03370261,0,0.0
2026-03-23,87776623.03370261,87776623.03370261,0,0.0
2026-03-24,87776623.03370261,87776623.03370261,0,0.0
2026-03-25,87776623.03370261,87776623.03370261,0,0.0
2026-03-26,87776623.03370261,87776623.03370261,0,0.0
2026-03-27,87776623.03370261,87776623.03370261,0,0.0
2026-03-30,87776623.03370261,87776623.03370261,0,0.0
2026-03-31,87776623.03370261,87776623.03370261,0,0.0
2026-04-01,87776623.03370261,87776623.03370261,0,0.0
2026-04-02,87776623.03370261,87776623.03370261,0,0.0
2026-04-03,87776623.03370261,87776623.03370261,0,0.0
2026-04-06,87776623.03370261,87776623.03370261,0,0.0
2026-04-07,87776623.03370261,87776623.03370261,0,0.0
2026-04-08,87776623.03370261,87776623.03370261,0,0.0
2026-04-09,87685827.67359762,17486147.673597615,4,0.800581825620804
2026-04-10,88513077.73999761,8735071.739997616,5,0.9013132074600726
2026-04-13,88463421.67981762,27015013.679817617,4,0.6946193899485924
2026-04-14,89405844.67981762,27015013.679817617,4,0.6978383932665203
2026-04-15,89226814.97579864,27841546.97579864,5,0.6879688355641719
2026-04-16,89651468.84449865,9273165.844498647,7,0.8965642619801015
2026-04-17,89562949.74553865,17977511.74553865,6,0.7992751266386896
2026-04-20,90682290.76803865,8982047.76803865,7,0.9009503653694156
2026-04-21,90169916.73174137,19090542.73174136,6,0.7882825733494199
2026-04-22,90042321.73174137,19090542.73174136,6,0.7879825579285163
2026-04-23,89433637.09669137,9536413.096691363,7,0.8933688329550876
2026-04-24,88999250.13349137,18128975.13349136,6,0.7963019339342811
2026-04-28,89937401.91714764,28476896.917147636,5,0.6833698071089357
2026-04-29,89796177.91714764,28476896.917147636,5,0.682871837335633
2026-05-04,89558791.91714764,28476896.917147636,5,0.6820312522360497
2026-05-05,89362225.66034764,45198215.66034764,4,0.49421340699213057
2026-05-06,90450140.66034764,45198215.66034764,4,0.5002969002549926
2026-05-07,91128595.66034764,45198215.66034764,4,0.5040172041187887
2026-05-08,90739136.29034764,90739136.29034764,0,0.0
