symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
HCM,2,1.0,0.05971295783590588,1712954.2689510249,inf
BID,1,1.0,0.08308366946311865,1663073.659566529,inf
DGW,2,0.5,0.00946979918637364,1101805.976665603,3.2783454120419577
BSR,1,1.0,0.10388529280157803,928208.1409537047,inf
VHM,1,1.0,0.08930897279798558,828763.302502716,inf
NVL,1,1.0,0.08308366946311839,793792.148606278,inf
MSB,1,1.0,0.04023875497856079,707108.9220800027,inf
DCM,2,0.5,0.017516212856675737,599572.4339900035,4.534870652332409
MSN,1,1.0,0.029378358235068913,516256.8624000065,inf
EVF,1,1.0,0.04475258825517092,399893.2198996786,inf
DPM,2,0.5,0.030914682216801118,316250.478780007,1.7416552282130129
GVR,1,1.0,0.07302422378268154,242302.50075500086,inf
HSG,2,0.5,0.0010622696508778753,-169264.84461499564,0.6329718133792418
STB,1,0.0,-0.04669606416960833,-207848.3301999988,0.0
NKG,1,0.0,-0.034349996803936016,-309630.04493499734,0.0
HAG,1,0.0,-0.03602832253129311,-324708.79459999874,0.0
PVD,1,0.0,-0.05237049235907515,-420339.6326399995,0.0
VGC,1,0.0,-0.04901605162406287,-463693.89434999786,0.0
PAN,1,0.0,-0.05387228238703225,-509559.0077599995,0.0
EIB,1,0.0,-0.06850035631892057,-683258.1161999982,0.0
PC1,1,0.0,-0.04294134302931451,-714407.7730049957,0.0
MWG,2,0.0,-0.042807866628368135,-730375.1522199996,0.0
KBC,1,0.0,-0.05983214202553894,-1121982.3883199953,0.0
BVH,1,0.0,-0.08152832336341108,-1203658.3325999957,0.0
PLX,1,0.0,-0.05319024106810687,-1273190.4057399929,0.0
ACB,2,0.0,-0.04316409273305097,-1609718.186459992,0.0
ANV,1,0.0,-0.06065396707621601,-1950927.1710399948,0.0
PNJ,1,0.0,-0.07351561472608688,-2364467.2207079977,0.0
VSC,1,0.0,-0.052918255080254634,-2366679.665999986,0.0
GMD,3,0.0,-0.04842919677444638,-2647136.66340998,0.0
