symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,reasons
ACB,BREAKOUT,2026-01-12,2026-01-13,2026-01-15,25.725699999999996,24.82515,777400,19999159.179999996,-758684.8723999932,-0.037897940540045194,2,SL,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
BID,BREAKOUT,2026-01-12,2026-01-13,2026-01-15,49.39935,53.66446182,404800,19996856.88,1663073.659566529,0.08308366946311865,2,TP,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
DPM,BREAKOUT,2026-01-12,2026-01-13,2026-01-16,24.424399999999995,23.976,818800,19998698.719999995,-426411.71631999314,-0.0213006724364216,3,SL,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
DCM,BREAKOUT,2026-01-14,2026-01-15,2026-01-19,36.7367,34.965,90300,3317324.01,-169616.51300999895,-0.0510794439835423,2,SL,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
DGW,BREAKOUT,2026-01-12,2026-01-13,2026-01-20,44.044,47.67547679999999,454000,19995976.0,1585405.1582656018,0.07920700329549672,5,TP,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
GVR,BREAKOUT,2026-01-14,2026-01-15,2026-01-20,36.38635,39.1608,91100,3314796.485,242302.50075500086,0.07302422378268154,3,TP,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
BVH,BREAKOUT,2026-01-15,2026-01-16,2026-01-20,78.07799999999999,71.928,188900,14748934.199999997,-1203658.3325999957,-0.08152832336341108,2,SL,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
HSG,BREAKOUT,2026-01-15,2026-01-16,2026-01-20,13.283269999999998,12.90708,1110500,14751071.334999997,-461176.6910149958,-0.03123271283671519,2,SL,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
KBC,BREAKOUT,2026-01-19,2026-01-20,2026-01-23,38.138099999999994,35.964,491200,18733434.72,-1121982.3883199953,-0.05983214202553894,3,SL,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
PLX,BREAKOUT,2026-01-20,2026-01-21,2026-01-23,57.85779999999999,54.945,413300,23912628.739999995,-1273190.4057399929,-0.05319024106810687,2,SL,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
EIB,BREAKOUT,2026-01-13,2026-01-14,2026-01-26,23.5235,21.978,423600,9964554.6,-683258.1161999982,-0.06850035631892057,8,SL,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
GMD,BREAKOUT,2026-01-20,2026-01-21,2026-01-26,68.56849999999999,65.934,348700,23909835.949999996,-988542.3575499915,-0.04130328643042172,3,SL,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
PNJ,BREAKOUT,2026-01-29,2026-01-30,2026-02-03,83.2832,77.39253,385800,32130658.56,-2364467.2207079977,-0.07351561472608688,2,SL,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
MWG,BREAKOUT,2026-02-02,2026-02-03,2026-02-05,94.4944,90.909,84800,8013125.12,-327473.21151999943,-0.040826276958788446,2,SL,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
PVD,BREAKOUT,2026-02-02,2026-02-03,2026-02-06,33.6336,31.968,238400,8018250.24,-420339.6326399995,-0.05237049235907515,3,SL,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
PAN,BREAKOUT,2026-02-03,2026-02-04,2026-02-06,31.581549999999996,29.97,299200,9449199.76,-509559.0077599995,-0.05387228238703225,2,SL,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
VGC,BREAKOUT,2026-02-03,2026-02-04,2026-02-06,56.55649999999999,53.946,167100,9450591.149999999,-463693.89434999786,-0.04901605162406287,2,SL,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
ANV,BREAKOUT,2026-01-29,2026-01-30,2026-02-09,28.6286,26.973,1122400,32132740.639999997,-1950927.1710399948,-0.06065396707621601,6,SL,100.0,breakout_after_accumulation_v3,True,100.0,Edge strategy passed: breakout_after_accumulation_v3 | edge_score=100.0
