symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
PVD,1,1.0,0.22182488417339058,13872425.402005002,inf
GEX,2,1.0,0.20100279746004612,12270934.696832012,inf
VPB,3,0.6666666666666666,0.14202525018920953,11637274.881150018,4.399153128515618
LPB,1,1.0,0.11880342926761313,9235584.20784001,inf
SHB,3,0.6666666666666666,0.047794187327707384,7607889.719548028,4.789745187552094
CTD,2,0.5,0.03700890976571737,5350150.502445996,3.7398128965637674
GVR,1,1.0,0.10234452929658644,3187153.924370013,inf
CTG,1,1.0,0.09967924888024797,3022859.0327000096,inf
BCM,1,1.0,0.10216354414812762,2904437.5773860067,inf
VHM,2,0.5,0.030183012012160185,2567594.8724100105,2.0613768113493722
DSE,1,1.0,0.08119594921046278,2557748.5211720057,inf
REE,1,1.0,0.07068390886306307,2469153.2053240165,inf
NVL,1,1.0,0.1104197804268897,2143957.902785007,inf
SIP,2,0.5,0.035473963952906334,2108441.543988012,2.1847888694118676
STB,1,1.0,0.1466669321082568,2084343.2064750027,inf
BID,1,1.0,0.06053855535984381,1753325.6613450088,inf
MSN,3,0.6666666666666666,0.024710076102769225,1725098.3331200182,1.8646730937934866
GAS,1,1.0,0.058891084288713,1703475.0857780129,inf
TPB,1,1.0,0.09493090735540448,1687686.4019930065,inf
VCI,1,1.0,0.044610084535912246,1613566.409040004,inf
SBT,1,1.0,0.06296564760477313,1525229.2748810016,inf
DCM,1,1.0,0.05650697523675199,1368763.2197160088,inf
DGC,1,1.0,0.05202020111963416,1337635.5130800046,inf
MBB,1,1.0,0.10088881434826928,1261052.6132520027,inf
POW,2,0.5,0.01619259623459606,983106.1171260141,2.650239927471327
VIC,2,0.5,0.011528546063077794,857876.263770014,1.5313652717069755
TCB,1,1.0,0.011179911497094618,611062.1058100164,inf
PAN,1,0.0,-0.008055306601136729,-167758.31887499988,0.0
VIB,1,0.0,-0.014684617298811365,-183546.4828299936,0.0
NLG,2,0.5,0.002547460755735566,-408321.97504198924,0.7168680910615813
SSB,1,0.0,-0.020064940962225348,-492983.2627199963,0.0
HCM,1,0.0,-0.021497526507454717,-775963.383389987,0.0
MWG,1,0.0,-0.04446436519497653,-925536.7946400009,0.0
KDC,1,0.0,-0.03297201920374296,-940132.8544499949,0.0
FRT,1,0.0,-0.05494286667929114,-1070366.959649995,0.0
CTR,1,0.0,-0.04500774024303502,-1303483.3814799972,0.0
HHV,3,0.6666666666666666,-0.0031239909322165207,-1315488.8002269827,0.39617048238672414
NAB,1,0.0,-0.035140864947421684,-1465911.0411749855,0.0
GMD,2,0.5,-0.0031541051043911354,-1525357.1062299907,0.4272940615893499
FPT,1,0.0,-0.05533455889631436,-1620634.0284699947,0.0
KDH,1,0.0,-0.050475233343793204,-1640591.8877599947,0.0
NT2,1,0.0,-0.08368057099466264,-1742590.2545249946,0.0
PC1,1,0.0,-0.060487637544047304,-1834356.6506600007,0.0
TCH,1,0.0,-0.07001944228428869,-2265794.286479991,0.0
VCG,1,0.0,-0.0654487604346255,-2362388.2131499946,0.0
VHC,1,0.0,-0.06958014725054451,-2717783.3292499855,0.0
ANV,1,0.0,-0.07109114521981354,-2776806.0975999907,0.0
BSI,1,0.0,-0.10449011527932581,-3291324.0511999913,0.0
HAG,2,0.0,-0.043758952821330174,-3679145.2874949872,0.0
