date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98470289.31461102,19932716.31461101,4,0.797576340504837
2025-01-06,98447461.31461102,19932716.31461101,4,0.7975294025011824
2025-01-07,98266934.535411,39584024.53541101,3,0.5971785960093556
2025-01-08,99020313.535411,39584024.53541101,3,0.6002433932785396
2025-01-09,99414011.535411,39584024.53541101,3,0.6018265038896325
2025-01-10,98580308.535411,39584024.53541101,3,0.5984591129455429
2025-01-13,99287132.66683501,58660373.66683501,2,0.4091845328671738
2025-01-14,99044258.66683501,58660373.66683501,2,0.4077357490840865
2025-01-15,100135379.66683501,58660373.66683501,2,0.41418933186245843
2025-01-16,100523204.66683501,58660373.66683501,2,0.41644942716208033
2025-01-17,101180435.66683501,58660373.66683501,2,0.420239957653565
2025-01-20,100822757.66683501,58660373.66683501,2,0.4181832056143912
2025-01-21,100886758.56606302,79966918.56606302,1,0.2073596208000002
2025-01-22,100800655.56606302,79966918.56606302,1,0.20668255462233504
2025-01-23,100886758.56606302,79966918.56606302,1,0.2073596208000002
2025-01-24,101013379.35891603,19933885.358916026,4,0.8026609397148483
2025-02-03,100131461.35891603,19933885.358916026,4,0.8009228559297257
2025-02-04,102563306.35891603,19933885.358916026,4,0.805643108957913
2025-02-05,103477632.35891603,19933885.358916026,4,0.8073604420153855
2025-02-06,104181633.35891603,19933885.358916026,4,0.8086621920176484
2025-02-07,104121025.35891603,19933885.358916026,4,0.8085508158395305
2025-02-10,103798318.03180802,42870361.03180802,3,0.5869840490221547
2025-02-11,104387075.22411002,21415818.224110026,4,0.7948422428913531
2025-02-12,104606619.22411002,21415818.224110026,4,0.7952728194166316
2025-02-13,104720855.22411002,21415818.224110026,4,0.795496148515225
2025-02-14,104370891.22411002,21415818.224110026,4,0.7948104306388936
2025-02-17,103679342.22411002,21415818.224110026,4,0.793441800799447
2025-02-18,104021732.22411002,21415818.224110026,4,0.7941216920136397
2025-02-19,106144544.22411002,21415818.224110026,4,0.7982391051687652
2025-02-20,105868387.22411002,21415818.224110026,4,0.7977128131859095
2025-02-21,106051879.98032603,44386851.98032603,3,0.5814609605359156
2025-02-24,106512321.19451803,22172682.19451803,4,0.7918298846006258
2025-02-25,107093271.19451803,22172682.19451803,4,0.7929591472255539
2025-02-26,106406027.19451803,22172682.19451803,4,0.7916219336524543
2025-02-27,106503619.19451803,22172682.19451803,4,0.7918128758232912
2025-02-28,105880384.19451803,22172682.19451803,4,0.7905874410713932
2025-03-03,106817649.19451803,22172682.19451803,4,0.7924249188994889
2025-03-04,107596689.19451803,22172682.19451803,4,0.7939278395970597
2025-03-05,106928715.19451803,22172682.19451803,4,0.792640525473603
2025-03-06,108576172.19451803,22172682.19451803,4,0.7957868494866913
2025-03-07,109052725.19451803,22172682.19451803,4,0.7966792470800846
2025-03-10,109722465.19451803,22172682.19451803,4,0.7979203059718911
2025-03-11,110202315.19451803,22172682.19451803,4,0.7988002143568305
2025-03-12,109282660.19451803,22172682.19451803,4,0.7971070419126722
2025-03-13,108515263.06241003,42963111.06241003,3,0.6040823212334583
2025-03-14,108554719.12317003,21460931.12317003,4,0.8023031030201487
2025-03-17,109029679.12317003,21460931.12317003,4,0.8031643191490477
2025-03-18,108631371.05401003,43490109.05401003,3,0.5996542377027779
2025-03-19,108874719.95532204,21723953.95532204,4,0.8004683367797713
2025-03-20,109281269.95532204,21723953.95532204,4,0.8012106377954471
2025-03-21,109124913.95532204,21723953.95532204,4,0.8009258090758608
2025-03-24,110403662.39539804,41441700.395398036,3,0.6246347313463266
2025-03-25,110221644.39539804,41441700.395398036,3,0.6240148600329872
2025-03-26,109253734.39539804,41441700.395398036,3,0.6206839004201248
2025-03-27,109880878.17324604,64646846.17324604,2,0.4116642745490329
2025-03-28,109989258.17324604,64646846.17324604,2,0.41224400230593755
2025-03-31,109354944.17324604,64646846.17324604,2,0.4088347201674851
2025-04-01,109284431.78886205,88096141.78886205,1,0.19388205303510989
2025-04-02,108905101.78886205,88096141.78886205,1,0.19107424407300058
2025-04-03,109166881.75706205,109166881.75706205,0,0.0
2025-04-04,109166881.75706205,109166881.75706205,0,0.0
2025-04-08,109166881.75706205,109166881.75706205,0,0.0
2025-04-09,109166881.75706205,109166881.75706205,0,0.0
2025-04-10,109166881.75706205,109166881.75706205,0,0.0
2025-04-11,109166881.75706205,109166881.75706205,0,0.0
2025-04-14,109166881.75706205,109166881.75706205,0,0.0
2025-04-15,109166881.75706205,109166881.75706205,0,0.0
2025-04-16,109166881.75706205,109166881.75706205,0,0.0
2025-04-17,109166881.75706205,109166881.75706205,0,0.0
2025-04-18,109166881.75706205,109166881.75706205,0,0.0
2025-04-21,109166881.75706205,109166881.75706205,0,0.0
2025-04-22,109166881.75706205,109166881.75706205,0,0.0
2025-04-23,109166881.75706205,109166881.75706205,0,0.0
2025-04-24,109166881.75706205,109166881.75706205,0,0.0
2025-04-25,109166881.75706205,109166881.75706205,0,0.0
2025-04-28,109166881.75706205,109166881.75706205,0,0.0
2025-04-29,109166881.75706205,109166881.75706205,0,0.0
2025-05-05,109166881.75706205,109166881.75706205,0,0.0
2025-05-06,108530605.95078108,21748024.950781073,4,0.7996138991369507
2025-05-07,110017183.95078108,21748024.950781073,4,0.8023215631431668
2025-05-08,110650841.95078108,21748024.950781073,4,0.8034535972129803
2025-05-09,110431227.95078108,21748024.950781073,4,0.8030627264194317
2025-05-12,110893003.95078108,21748024.950781073,4,0.8038828043612765
2025-05-13,110244887.95078108,21748024.950781073,4,0.8027298557327166
2025-05-14,111250727.95078108,21748024.950781073,4,0.8045134144164637
2025-05-15,110659177.95078108,21748024.950781073,4,0.8034684031318744
2025-05-16,110881567.95078108,21748024.950781073,4,0.8038625774084044
2025-05-19,111155167.95078108,21748024.950781073,4,0.8043453547709901
2025-05-20,111840517.95078108,21748024.950781073,4,0.8055443112276002
2025-05-21,113792601.95078108,21748024.950781073,4,0.8088801505726375
2025-05-22,114205321.95078108,21748024.950781073,4,0.8095708275297906
2025-05-23,115497675.95078108,21748024.950781073,4,0.8117016228097185
2025-05-26,116892588.10960507,42881887.109605074,3,0.6331513588406769
2025-05-27,117543322.10960507,42881887.109605074,3,0.6351822771384732
2025-05-28,116953586.10960507,42881887.109605074,3,0.6333426914381439
2025-05-29,116563342.69107707,71191495.69107707,2,0.38924627547999463
2025-05-30,115689968.69107707,71191495.69107707,2,0.384635534985948
2025-06-02,116308886.69107707,71191495.69107707,2,0.38791009254378234
2025-06-03,115920957.72830108,23685850.728301074,4,0.7956724030540132
2025-06-04,117927153.72830108,23685850.728301074,4,0.7991484575056206
2025-06-05,119980119.72830108,23685850.728301074,4,0.8025852050994909
2025-06-06,120786913.72830108,23685850.728301074,4,0.8039038336422752
2025-06-09,119920093.95110106,75740720.95110106,2,0.3684067577366534
2025-06-10,119871887.77614108,58817327.77614108,2,0.5093317635409101
2025-06-11,119631731.27249208,52444805.27249208,2,0.5616145924275263
2025-06-12,120445291.25758208,26197479.257582083,3,0.782494782618304
2025-06-13,120652991.79389209,13087608.793892087,4,0.8915268606331017
2025-06-16,122396497.79389209,13087608.793892087,4,0.8930720320451424
2025-06-17,123861158.63457808,43680458.63457809,3,0.6473433712706779
2025-06-18,123930998.9611501,21819373.961150095,4,0.8239393360494897
2025-06-19,124725184.9611501,21819373.961150095,4,0.8250604000471398
2025-06-20,125742479.9611501,21819373.961150095,4,0.8264757147473829
2025-06-23,125598637.9611501,21819373.961150095,4,0.8262769858388176
2025-06-24,126983009.9611501,21819373.961150095,4,0.8281709185518155
