symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
PVD,1,1.0,0.2218248841733906,7174149.737035003,inf
GEX,1,1.0,0.295331161572332,6454495.834004004,inf
DXS,1,1.0,0.24065863209105573,5716585.091760006,inf
MSN,1,1.0,0.11533789259784202,4371876.628650002,inf
VCB,1,1.0,0.1630646774800282,3978661.616000004,inf
CTD,1,1.0,0.14591462827709342,2920607.904996,inf
LPB,1,1.0,0.11880342926761342,2846438.29116001,inf
TCB,1,1.0,0.09810622746166323,2144708.5455300063,inf
MBB,1,1.0,0.10088881434826925,2018821.168444004,inf
SSB,3,0.3333333333333333,0.021632710529337906,1925065.8295150176,3.607461670634045
VCI,2,1.0,0.03665030759072094,1918929.8401920125,inf
STB,1,1.0,0.12189157817355142,1597982.800470002,inf
REE,1,1.0,0.07068390886306297,1516490.948518008,inf
PHR,1,1.0,0.06188877040648233,1510081.4646400027,inf
POW,1,1.0,0.05537368453708502,1210201.2259320058,inf
VPI,1,1.0,0.04887722407189271,1170941.9710400067,inf
DPM,1,1.0,0.039233693379547595,1154957.251581002,inf
HDG,1,1.0,0.041839904756247215,1098185.620570004,inf
DSE,2,0.5,0.010745730330953027,1074684.9519860074,2.1458443293973364
CTS,1,1.0,0.043700353584948344,935638.838750001,inf
PNJ,2,0.5,0.0069958593690294096,887637.5463530049,3.4480839470367637
SAB,1,1.0,0.030758567381081073,789485.0524980053,inf
VIC,2,0.5,0.011528546063077617,300354.9528250024,1.231181483271808
GAS,1,1.0,0.002290795632261187,69893.7553200014,inf
PAN,3,0.3333333333333333,0.0023726180572178446,-9728.722527993843,0.9925012301703736
VIB,1,0.0,-0.0146846172988116,-293862.8235699944,0.0
HHV,2,0.5,-0.01437528586519388,-537235.1921749935,0.5919516438482308
KBC,1,0.0,-0.029126749718825937,-712134.3431899957,0.0
KDC,1,0.0,-0.032972019203742826,-720585.2599799931,0.0
VJC,1,0.0,-0.03319809123798937,-838931.2099999972,0.0
SHB,3,0.3333333333333333,-0.007431607228980466,-842549.2109419815,0.6664082679496282
TPB,1,0.0,-0.047069972602829795,-942276.1432239972,0.0
PVT,1,0.0,-0.044895874584901935,-961360.8438399956,0.0
DBC,1,0.0,-0.039113942387563806,-987809.459579993,0.0
VHM,1,0.0,-0.03806155677361367,-1053772.606079992,0.0
GMD,1,0.0,-0.04445120893827995,-1086751.296,0.0
GVR,1,0.0,-0.04562193560645295,-1391890.3575059958,0.0
CTG,1,0.0,-0.06303132432003553,-1532149.2110399976,0.0
VCG,1,0.0,-0.06544876043462544,-1605542.4622999951,0.0
VPB,1,0.0,-0.06434054929769717,-1630853.9612399936,0.0
CMG,1,0.0,-0.0644082165918107,-1704367.0470459945,0.0
HDB,1,0.0,-0.06995536982045311,-1710555.0634199977,0.0
FTS,1,0.0,-0.06763246100336517,-1736165.4665299952,0.0
TCH,1,0.0,-0.0700194422842886,-1852854.8128599897,0.0
VSC,1,0.0,-0.07944562114881569,-1973462.709374994,0.0
HAG,2,0.0,-0.04375895282133018,-2148957.1426849924,0.0
VHC,1,0.0,-0.06958014725054465,-2189563.531979993,0.0
ANV,1,0.0,-0.07109114521981373,-2237335.624639999,0.0
NAB,3,0.0,-0.038686930494068704,-2796081.9663349763,0.0
NLG,2,0.0,-0.06275360779452055,-3082837.9849199876,0.0
