symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
VPB,2,0.5,0.1349180680181527,8646847.779525004,5.275929399608106
PVD,1,1.0,0.22182488417339036,7475563.951354995,inf
GEX,1,1.0,0.2953311615723319,6467720.001668002,inf
SHB,3,0.6666666666666666,0.04779418732770737,6369324.988971025,5.538995659215914
MSN,1,1.0,0.11533789259784195,3980532.1733999997,inf
GMD,2,1.0,0.06828622306482973,3824739.245990008,inf
MSB,1,1.0,0.14608106666844575,3708659.564686004,inf
STB,2,1.0,0.07345541446924264,3544983.7746900134,inf
LPB,1,1.0,0.11880342926761335,3529015.5118800104,inf
SIP,1,1.0,0.1257041944533088,3521238.500160001,inf
GVR,1,1.0,0.10234452929658648,2980680.0965800136,inf
BCM,1,1.0,0.1021635441481277,2939996.935570009,inf
CTG,1,1.0,0.09967924888024794,2826710.7356650084,inf
DSE,1,1.0,0.08119594921046294,2398641.54976001,inf
VGC,1,1.0,0.10522211468429184,2106160.643670004,inf
MBB,1,1.0,0.10088881434826942,1946923.4458640069,inf
TCB,1,1.0,0.09810622746166317,1868592.4446300045,inf
BID,1,1.0,0.06053855535984367,1639271.1834600046,inf
REE,1,1.0,0.07068390886306301,1492063.7111640088,inf
VHM,2,0.5,0.030183012012160074,1487864.0443100035,1.6575061191200728
PNJ,1,1.0,0.0321083643259454,1479239.6146719977,inf
CTS,1,1.0,0.04370035358494843,1092509.2818750031,inf
VCI,2,1.0,0.024606656426567734,1075811.8128960095,inf
CTD,2,0.5,0.03700890976571749,930607.8283210024,1.467642106766103
POW,2,0.5,0.01619259623459607,677922.4636240117,2.2676807987007668
DPM,1,1.0,0.03923369337954778,676330.4303370044,inf
VRE,1,1.0,0.028740168888156756,632000.4641100056,inf
VIC,3,0.3333333333333333,-0.00038021036227924715,404592.59657502174,1.199171817818457
PAN,3,0.3333333333333333,0.009681763790117107,371817.1330030076,1.1967031560511403
TPB,2,0.5,0.023930467376287252,327166.4827010054,1.3472087084595026
VIB,1,0.0,-0.016856568898622814,-500744.29285800084,0.0
GAS,1,0.0,-0.03517005357082018,-627084.3310379982,0.0
KDC,1,0.0,-0.03297201920374297,-722051.3540999964,0.0
HHV,2,0.5,-0.014375285865193863,-806277.3307109922,0.4824352191771167
SSB,2,0.0,-0.0164360860498992,-813053.3026049882,0.0
VJC,1,0.0,-0.033198091237989356,-898947.0580999963,0.0
NAB,1,0.0,-0.035140864947421815,-1024699.7921849936,0.0
PVT,1,0.0,-0.04489587458490182,-1122456.9250399917,0.0
DBC,1,0.0,-0.059416279014346846,-1189421.032189995,0.0
HPG,1,0.0,-0.048938265343767655,-1354696.364039991,0.0
KDH,1,0.0,-0.05047523334379317,-1520574.483799994,0.0
VHC,1,0.0,-0.06958014725054479,-1599094.091649998,0.0
PC1,1,0.0,-0.06048763754404713,-1715392.7345199957,0.0
DCM,1,0.0,-0.0885594932414252,-1919318.9339099936,0.0
VCG,1,0.0,-0.06544876043462537,-1990823.3372999914,0.0
FTS,1,0.0,-0.06763246100336515,-2037483.4400599934,0.0
TCH,1,0.0,-0.07001944228428865,-2183052.88265799,0.0
HAG,2,0.0,-0.04375895282133016,-2519450.3239449896,0.0
BSI,1,0.0,-0.1044901152793258,-3086678.994879991,0.0
NLG,2,0.0,-0.06275360779452048,-3746985.80466998,0.0
VSC,1,0.0,-0.13152220556954525,-4432442.50546499,0.0
