symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
DPM,2,0.5,0.12946528334746868,7599615.265525013,10.085473516066351
CII,1,1.0,0.28384240019874707,7390289.670200001,inf
TCB,2,1.0,0.14312091186293144,6767923.839820012,inf
DGW,1,1.0,0.21838079553833212,5906681.693190005,inf
MSB,1,1.0,0.21799651208688414,5139227.443036005,inf
MBB,2,1.0,0.09505101030800941,4391860.30152401,inf
HPG,1,1.0,0.16400002215646117,3992262.0816050023,inf
VGC,2,0.5,0.0952927327751256,3959506.356114015,2.1163703056768255
LPB,1,1.0,0.11880342926761324,3595447.618800007,inf
HDG,2,1.0,0.05435845407323857,3020951.589594014,inf
CTD,1,1.0,0.14591462827709342,2920607.904996,inf
MSN,1,1.0,0.11533789259784205,2418881.442450002,inf
VPI,1,1.0,0.07652776600700406,2401473.962240007,inf
GAS,2,0.5,0.032375202780992415,2048439.4862920158,3.0795920896300952
VCI,3,1.0,0.025967947832888416,1905727.386321023,inf
CTG,1,1.0,0.06563207414347064,1905544.6088800058,inf
VRE,1,1.0,0.06711322816956342,1861970.901120007,inf
SHB,1,1.0,0.07732833425548219,1669354.1095600128,inf
HHV,2,1.0,0.02916256592821252,1397043.9356670193,inf
DXS,1,1.0,0.04737998212944341,1233640.0004400052,inf
POW,1,1.0,0.05537368453708494,1212639.5472100042,inf
EIB,1,1.0,0.039750685497025616,1181468.0801000036,inf
REE,2,0.5,0.02920462330642672,1179857.747978013,4.504876364201146
PC1,2,0.5,0.025841395086631483,1140358.0098000132,1.7007831629382197
ACB,1,1.0,0.03847774961276861,769984.4180700034,inf
PAN,2,0.5,0.007586580386395068,230638.8026800044,1.2181996182637043
DSE,1,0.0,-0.009134896072957817,-279098.612099994,0.0
PNJ,1,0.0,-0.018116645587886723,-362584.6031249985,0.0
SSB,1,0.0,-0.020064940962225376,-424234.7085599974,0.0
KDC,1,0.0,-0.03297201920374297,-722051.3540999964,0.0
BID,1,0.0,-0.02742390121885159,-803746.0773039944,0.0
TPB,1,0.0,-0.047069972602829795,-942276.1432239972,0.0
HAG,1,0.0,-0.03766101940464882,-956343.6215499975,0.0
DBC,1,0.0,-0.03911394238756371,-1066082.9643999897,0.0
HSG,1,0.0,-0.034997118625552145,-1101658.2956799902,0.0
VHM,1,0.0,-0.03806155677361364,-1115215.9020899907,0.0
NLG,1,0.0,-0.044369398890866614,-1246031.6914499924,0.0
VIC,1,0.0,-0.055052462663719264,-1501570.7183999978,0.0
VNM,1,0.0,-0.05554079529431725,-1540875.7346329913,0.0
CTR,1,0.0,-0.06093781536090036,-1711278.9254999943,0.0
VJC,1,0.0,-0.06279441694312514,-1811531.6942399926,0.0
VCG,1,0.0,-0.0654487604346254,-2060173.8947999924,0.0
VHC,4,0.25,-0.0239678525004154,-2821172.1934799664,0.3804781861632209
