date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98654434.446178,19930278.446178008,4,0.797978889057935
2025-01-06,98590331.446178,19930278.446178008,4,0.7978475358198968
2025-01-07,98973192.446178,19930278.446178008,4,0.7986295283238826
2025-01-08,99766720.446178,19930278.446178008,4,0.8002311957630204
2025-01-09,100035510.446178,19930278.446178008,4,0.8007679637232313
2025-01-10,99157197.446178,19930278.446178008,4,0.7990032094544014
2025-01-13,99886326.577602,39006627.57760201,3,0.6094898179352143
2025-01-14,100343829.577602,39006627.57760201,3,0.6112702919372257
2025-01-15,101564319.577602,39006627.57760201,3,0.6159416245800938
2025-01-16,101653257.577602,39006627.57760201,3,0.6162776431653026
2025-01-17,102609375.577602,39006627.57760201,3,0.6198531824404111
2025-01-20,101783292.577602,39006627.57760201,3,0.6167678742769849
2025-01-21,101976662.47683,60313172.476830006,2,0.40855906624190913
2025-01-22,101721041.47683,60313172.476830006,2,0.4070727983003583
2025-01-23,102271088.47683,60313172.476830006,2,0.4102617526115972
2025-01-24,102175160.08771902,20065687.08771902,4,0.8036148211513219
2025-02-03,102287833.08771902,20065687.08771902,4,0.8038311450931678
2025-02-04,104409938.08771902,20065687.08771902,4,0.807818226356374
2025-02-05,105341356.08771902,20065687.08771902,4,0.8095174788616725
2025-02-06,106038160.08771902,20065687.08771902,4,0.8107691884589483
2025-02-07,105533031.08771902,20065687.08771902,4,0.8098634438819403
2025-02-10,105012354.76061101,43002162.76061101,3,0.5905037758781821
2025-02-11,105838778.18906501,21479636.189065017,4,0.7970532487563785
2025-02-12,106448024.18906501,21479636.189065017,4,0.798214796820329
2025-02-13,106340404.18906501,21479636.189065017,4,0.7980105835325219
2025-02-14,106285159.18906501,21479636.189065017,4,0.7979055932836678
2025-02-17,105654193.18906501,21479636.189065017,4,0.7966986870968022
2025-02-18,106043899.18906501,21479636.189065017,4,0.7974458092042702
2025-02-19,108772688.18906501,21479636.189065017,4,0.8025273021502435
2025-02-20,108439965.18906501,21479636.189065017,4,0.8019214027631301
2025-02-21,108812188.06729701,44523459.06729702,3,0.5908228677493315
2025-02-24,108995843.55716103,22240824.557161026,4,0.7959479569925324
2025-02-25,108681838.55716103,22240824.557161026,4,0.795358407141194
2025-02-26,108615741.55716103,22240824.557161026,4,0.7952338745903015
2025-02-27,108619103.55716103,22240824.557161026,4,0.7952402125519591
2025-02-28,107956264.55716103,22240824.557161026,4,0.7939830110981203
2025-03-03,108527704.55716103,22240824.557161026,4,0.7950677695809286
2025-03-04,109066456.89318903,44363315.89318903,3,0.5932450988424891
2025-03-05,108377808.47455904,22160346.474559035,4,0.7955268999579279
2025-03-06,109896769.47455904,22160346.474559035,4,0.7983530673329835
2025-03-07,110649473.47455904,22160346.474559035,4,0.7997247905598553
2025-03-10,111223012.47455904,22160346.474559035,4,0.8007575412540822
2025-03-11,111522331.47455904,22160346.474559035,4,0.8012922956187088
2025-03-12,111021392.01081504,43057636.01081504,3,0.6121681125505919
2025-03-13,110070103.50559905,65256925.505599044,2,0.4071330595025782
2025-03-14,110184786.84499906,21709360.844999064,4,0.8029731556722217
2025-03-17,110504732.84499906,21709360.844999064,4,0.8035436104311479
2025-03-18,109847832.84499906,21709360.844999064,4,0.8023687834093907
2025-03-19,109472393.66619906,42956071.66619906,3,0.607608181134873
2025-03-20,109734296.66619906,42956071.66619906,3,0.608544703240162
2025-03-21,109590054.66619906,42956071.66619906,3,0.6080294713143525
2025-03-24,109543090.66619906,42956071.66619906,3,0.6078614232540208
2025-03-25,109392907.66619906,42956071.66619906,3,0.6073230652459208
2025-03-26,108797364.66619906,42956071.66619906,3,0.605173601419552
2025-03-27,108485688.38551506,66232736.385515064,2,0.3894795030460588
2025-03-28,108648568.38551506,66232736.385515064,2,0.39039476203217827
2025-03-31,108400411.44317506,86944286.44317506,1,0.19793398119385908
2025-04-01,108400411.44317506,86944286.44317506,1,0.19793398119385908
2025-04-02,108016286.44317506,86944286.44317506,1,0.19508169271386222
2025-04-03,108281375.49567506,108281375.49567506,0,0.0
2025-04-04,108281375.49567506,108281375.49567506,0,0.0
2025-04-08,108281375.49567506,108281375.49567506,0,0.0
2025-04-09,108281375.49567506,108281375.49567506,0,0.0
2025-04-10,108281375.49567506,108281375.49567506,0,0.0
2025-04-11,108281375.49567506,108281375.49567506,0,0.0
2025-04-14,108281375.49567506,108281375.49567506,0,0.0
2025-04-15,108281375.49567506,108281375.49567506,0,0.0
2025-04-16,108281375.49567506,108281375.49567506,0,0.0
2025-04-17,108281375.49567506,108281375.49567506,0,0.0
2025-04-18,108281375.49567506,108281375.49567506,0,0.0
2025-04-21,108281375.49567506,108281375.49567506,0,0.0
2025-04-22,108281375.49567506,108281375.49567506,0,0.0
2025-04-23,108281375.49567506,108281375.49567506,0,0.0
2025-04-24,108281375.49567506,108281375.49567506,0,0.0
2025-04-25,108281375.49567506,108281375.49567506,0,0.0
2025-04-28,108281375.49567506,108281375.49567506,0,0.0
2025-04-29,108281375.49567506,108281375.49567506,0,0.0
2025-05-05,108281375.49567506,108281375.49567506,0,0.0
2025-05-06,107835696.53946409,21574009.539464083,4,0.7999362898206092
2025-05-07,108467966.53946409,21574009.539464083,4,0.8011024800431308
2025-05-08,109154684.53946409,21574009.539464083,4,0.8023537914979346
2025-05-09,108909836.53946409,21574009.539464083,4,0.8019094489077979
2025-05-12,110792164.53946409,21574009.539464083,4,0.8052749521670421
2025-05-13,110788589.53946409,21574009.539464083,4,0.8052686686494985
2025-05-14,111880179.53946409,21574009.539464083,4,0.8071686188896919
2025-05-15,111815428.53946409,21574009.539464083,4,0.8070569525041013
2025-05-16,111199967.53946409,21574009.539464083,4,0.8059890662125632
2025-05-19,110783560.53946409,21574009.539464083,4,0.8052598288553937
2025-05-20,112133293.53946409,21574009.539464083,4,0.8076038894561556
2025-05-21,112409826.53946409,21574009.539464083,4,0.8080771921493
2025-05-22,112598673.53946409,21574009.539464083,4,0.8083990791250064
2025-05-23,111525760.53946409,21574009.539464083,4,0.8065558178208524
2025-05-26,112477578.88926408,42535876.88926408,3,0.6218279473179156
2025-05-27,112678674.88926408,42535876.88926408,3,0.6225028655061255
2025-05-28,112330191.88926408,42535876.88926408,3,0.6213317526315966
2025-05-29,112010264.88926408,42535876.88926408,3,0.6202501892900975
2025-05-30,111268912.88926408,42535876.88926408,3,0.6177200281304428
2025-06-02,112386027.88926408,42535876.88926408,3,0.6215198838491256
2025-06-03,113210407.49168807,21247788.49168808,4,0.8123159437152623
2025-06-04,112865836.49168807,21247788.49168808,4,0.8117429582577643
2025-06-05,113052218.49168807,21247788.49168808,4,0.8120533256651635
2025-06-06,110981431.49168807,21247788.49168808,4,0.8085464549690962
2025-06-09,109187647.05704808,41489601.057048075,3,0.6200156137134203
2025-06-10,109545265.63319808,20724282.63319808,4,0.8108153509564587
2025-06-11,109603040.18942207,43601602.18942208,3,0.6021861974442738
2025-06-12,111028868.18942207,43601602.18942208,3,0.6072949053660976
2025-06-13,110788639.13678308,21783392.136783082,4,0.8033788274094726
2025-06-16,112860282.13678308,21783392.136783082,4,0.8069879702198307
2025-06-17,113336524.13678308,21783392.136783082,4,0.8077990100482239
2025-06-18,112556211.65303108,48148236.65303108,3,0.572229413677726
2025-06-19,111922943.61303508,24052120.613035087,4,0.7851010718928781
2025-06-20,112561144.61303508,24052120.613035087,4,0.786319509314498
2025-06-23,112082001.61303508,24052120.613035087,4,0.78540603962378
2025-06-24,113148184.61303508,24052120.613035087,4,0.7874281351018318
2025-06-25,113632850.61303508,24052120.613035087,4,0.7883347950590266
2025-06-26,113934070.61303508,24052120.613035087,4,0.7888943975790565
2025-06-27,114022743.10301508,47212467.10301508,3,0.5859381574396919
2025-06-30,114849165.87219009,23584456.872190088,4,0.7946484269773796
2025-07-01,114512873.87219009,23584456.872190088,4,0.7940453673487129
2025-07-02,117136714.87219009,23584456.872190088,4,0.7986587134706356
2025-07-03,116722884.87219009,23584456.872190088,4,0.7979448768935523
2025-07-04,116672977.87219009,23584456.872190088,4,0.7978584475830747
2025-07-07,117341041.87219009,23584456.872190088,4,0.7990093108438675
2025-07-08,119619335.00555609,45360160.00555609,3,0.6207957517616262
2025-07-09,119677061.0869241,22660196.0869241,4,0.8106554766542479
2025-07-10,120989212.0869241,22660196.0869241,4,0.8127089539962952
2025-07-11,121309588.0869241,22660196.0869241,4,0.8132035856004474
2025-07-14,121227779.0869241,22660196.0869241,4,0.8130775284542989
2025-07-15,119979450.0869241,22660196.0869241,4,0.8111326892188039
2025-07-16,120473059.0869241,22660196.0869241,4,0.811906526997258
2025-07-17,120890885.0869241,22660196.0869241,4,0.8125566202064717
2025-07-18,120905201.0869241,22660196.0869241,4,0.8125788147804106
2025-07-21,120393227.0869241,22660196.0869241,4,0.8117818033853067
2025-07-22,121624942.7414641,45822815.74146409,3,0.623244914171357
2025-07-23,121991309.4957841,22891341.4957841,4,0.8123526865118601
2025-07-24,121968114.4957841,22891341.4957841,4,0.8123170011242951
2025-07-25,124261798.4957841,22891341.4957841,4,0.8157813441227414
2025-07-28,127127301.4957841,22891341.4957841,4,0.8199337103325265
2025-07-29,128024281.1168741,82091371.1168741,2,0.3587827996321072
2025-07-30,128513443.1168741,82091371.1168741,2,0.3612234710557271
2025-07-31,127196311.23326412,27318379.23326412,4,0.7852266392917229
2025-08-01,125195651.23326412,27318379.23326412,4,0.7817945035298023
2025-08-04,125045804.92533612,77068814.92533612,2,0.3836753262426251
2025-08-05,124390039.75672413,51173595.756724134,3,0.5886037510977011
2025-08-06,126386995.70047414,25566207.700474136,4,0.7977148870516413
2025-08-07,129006705.70047414,25566207.700474136,4,0.8018226450969659
2025-08-08,132620643.70047414,25566207.700474136,4,0.8072230160621462
2025-08-11,134446183.70047414,25566207.700474136,4,0.8098405845610924
2025-08-12,135025595.92181015,58579603.921810135,3,0.5661592639388751
2025-08-13,135479433.66231015,29261555.662310142,4,0.784014777215218
2025-08-14,136599275.66231015,29261555.662310142,4,0.7857854258711573
2025-08-15,137284855.66231015,29261555.662310142,4,0.7868551813589184
2025-08-18,139467733.66231015,29261555.662310142,4,0.7901912156028831
2025-08-19,140288933.66231015,29261555.662310142,4,0.7914193593291847
2025-08-20,139661601.66231015,29261555.662310142,4,0.790482456781055
2025-08-21,139768621.66231015,29261555.662310142,4,0.790642883114295
2025-08-22,136343101.49111015,56194966.49111014,3,0.5878415125038492
2025-08-25,138091209.26636013,86678427.26636013,2,0.3723103177468116
2025-08-26,139339151.26636013,86678427.26636013,2,0.37793199916464243
2025-08-27,138001616.31753016,43302976.31753015,3,0.6862139917412733
2025-08-28,138191687.14876014,21630927.14876015,4,0.8434715749184323
2025-08-29,137434117.14876014,21630927.14876015,4,0.8426087524879532
2025-09-03,135800649.68726015,49192299.68726015,3,0.6377609400209296
2025-09-04,137364572.63602015,24571892.636020157,4,0.8211191418246597
2025-09-05,134350542.63602015,24571892.636020157,4,0.8171061154357236
2025-09-08,132222622.63602015,24571892.636020157,4,0.8141627193127066
2025-09-09,133198812.51672016,47468392.51672016,3,0.6436275097365335
2025-09-10,133454062.51672016,47468392.51672016,3,0.6443091231428572
2025-09-11,135239652.51672018,47468392.51672016,3,0.6490053646740073
2025-09-12,135349302.51672018,47468392.51672016,3,0.6492897145823397
2025-09-15,136679830.90777016,23712000.907770164,4,0.8265142651239398
2025-09-16,135964360.90777016,23712000.907770164,4,0.8256013506079367
2025-09-17,135946120.90777016,23712000.907770164,4,0.8255779514013711
2025-09-18,135914350.90777016,23712000.907770164,4,0.8255371802212348
2025-09-19,135072840.90777016,23712000.907770164,4,0.824450268844489
2025-09-22,133996754.66773017,65436514.66773017,3,0.5116559738331562
2025-09-23,133408634.66773017,65436514.66773017,3,0.5095031529952505
2025-09-24,133713594.66773017,65436514.66773017,3,0.510621826970281
2025-09-25,133600413.22335018,32686733.22335018,4,0.7553395799105409
2025-09-26,133106503.22335018,32686733.22335018,4,0.7544317337485572
2025-09-29,132912023.22335018,32686733.22335018,4,0.7540724124827879
2025-09-30,132534993.00263017,76903413.00263017,2,0.41975012590747246
2025-10-01,133070633.00263017,76903413.00263017,2,0.42208576552641663
2025-10-02,132987633.00263017,76903413.00263017,2,0.42172507874390686
2025-10-03,132510093.00263017,76903413.00263017,2,0.41964109102916614
2025-10-06,133875243.00263017,76903413.00263017,2,0.42555911550338477
2025-10-07,133042052.32589918,25586201.325899184,4,0.8076833536570577
2025-10-08,134300648.32589918,25586201.325899184,4,0.8094856454913701
2025-10-09,137194055.32589918,25586201.325899184,4,0.8135035715277885
2025-10-10,137655568.32589918,25586201.325899184,4,0.8141288315680487
2025-10-13,140006332.32589918,25586201.325899184,4,0.8172496850618085
2025-10-14,138449785.32589918,25586201.325899184,4,0.8151950812659521
2025-10-15,139822132.32589918,25586201.325899184,4,0.8170089319889462
2025-10-16,141228173.52513918,56024293.52513918,3,0.6033065349020701
2025-10-17,140365971.05345917,90923511.05345918,2,0.35223964632545846
2025-10-20,138594370.9065792,115615820.90657918,1,0.16579713771700658
2025-10-21,139416070.9065792,115615820.90657918,1,0.17071381975718009
2025-10-22,139636020.9065792,115615820.90657918,1,0.1720200836721798
2025-10-23,140893470.9065792,115615820.90657918,1,0.17940966204715472
2025-10-24,141636320.9065792,115615820.90657918,1,0.1837134700580274
2025-10-27,141225470.9065792,115615820.90657918,1,0.1813387474341708
2025-10-28,141607270.9065792,115615820.90657918,1,0.18354601309382634
2025-10-29,141773270.9065792,115615820.90657918,1,0.1845019856897872
2025-10-30,141524270.9065792,115615820.90657918,1,0.18306718581933049
2025-10-31,141524270.9065792,115615820.90657918,1,0.18306718581933049
2025-11-03,141059470.9065792,115615820.90657918,1,0.18037533982280998
2025-11-04,140266820.9065792,115615820.90657918,1,0.1757436280417171
2025-11-05,140648620.9065792,115615820.90657918,1,0.17798112657376952
2025-11-06,140266820.9065792,115615820.90657918,1,0.1757436280417171
2025-11-07,139582070.9065792,115615820.90657918,1,0.17170006036119323
2025-11-10,139445120.9065792,115615820.90657918,1,0.17088658136676121
2025-11-11,140017820.9065792,115615820.90657918,1,0.17427781579518492
2025-11-12,140100820.9065792,115615820.90657918,1,0.17476699880528804
2025-11-13,140345670.9065792,115615820.90657918,1,0.17620671760129583
2025-11-14,140266820.9065792,115615820.90657918,1,0.1757436280417171
2025-11-17,140134991.39237916,140134991.39237916,0,0.0
2025-11-18,140690270.03268918,27931230.032689195,4,0.801470065938466
2025-11-19,138422410.03268918,27931230.032689195,4,0.7982174271774847
2025-11-20,137730757.7700492,54739297.7700492,3,0.6025630102069128
2025-11-21,137196686.7932292,27347776.793229204,4,0.8006673671759628
2025-11-24,135992761.7932292,27347776.793229204,4,0.7989027031099623
2025-11-25,135137426.1015392,54403076.10153921,3,0.5974240617794366
2025-11-26,136697326.1015392,54403076.10153921,3,0.6020179936721775
2025-11-27,136745056.1015392,54403076.10153921,3,0.6021569067832147
2025-11-28,136394756.1015392,54403076.10153921,3,0.6011351341026719
2025-12-01,137569966.1015392,54403076.10153921,3,0.6045424910449948
2025-12-02,137487536.1015392,54403076.10153921,3,0.6043053963716342
2025-12-03,137203386.1015392,54403076.10153921,3,0.6034859076927047
2025-12-04,137246401.5278392,27175001.527839217,4,0.8019984405760394
2025-12-05,136501851.5278392,27175001.527839217,4,0.8009184401260891
2025-12-08,136135991.5278392,27175001.527839217,4,0.8003834164436813
2025-12-09,134748065.8801592,53511965.880159214,3,0.6028739594099176
2025-12-10,134226565.8801592,53511965.880159214,3,0.6013310366001913
2025-12-11,134319625.8801592,53511965.880159214,3,0.6016072444401914
2025-12-12,132774145.88015921,53511965.880159214,3,0.5969699859454668
2025-12-15,134222901.06495923,79625841.06495921,2,0.4067641182451936
2025-12-16,135439671.06495923,79625841.06495921,2,0.41209366178415124
2025-12-17,135508131.06495923,79625841.06495921,2,0.4123906776724079
2025-12-18,135635721.06495923,79625841.06495921,2,0.41294343083246865
2025-12-19,135258141.06495923,79625841.06495921,2,0.4113046324751866
2025-12-22,136126521.06495923,79625841.06495921,2,0.4150600453018117
2025-12-23,135744342.24706423,26491837.24706422,4,0.8048402105861088
2025-12-24,136759737.24706423,26491837.24706422,4,0.8062892063092719
2025-12-25,137044722.24706423,26491837.24706422,4,0.8066920286116182
2025-12-26,136974527.24706423,26491837.24706422,4,0.8065929645496767
