symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
DPM,2,0.5,0.12946528334746868,7587473.442171015,10.048762674750405
CII,1,1.0,0.2838424001987471,7298872.214164004,inf
VGC,3,0.6666666666666666,0.09860252674484771,6128843.668839019,2.750369656911254
DGW,1,1.0,0.21838079553833195,5899926.788460001,inf
HDC,1,1.0,0.18627385288680667,4779520.929909006,inf
TCB,1,1.0,0.21621017134798487,4686975.725670002,inf
HPG,1,1.0,0.16400002215646114,3951763.5644440018,inf
LPB,1,1.0,0.1188034292676133,3591897.8115600087,inf
CTD,1,1.0,0.14591462827709342,2920607.904996,inf
KBC,1,1.0,0.11350616138647746,2602863.6165600047,inf
VPI,1,1.0,0.07652776600700409,2398419.7620700076,inf
MSN,1,1.0,0.11533789259784202,2395028.066130001,inf
MBB,1,1.0,0.08921320626774946,2370093.2288850024,inf
GMD,2,1.0,0.04988084620524248,2171046.545811005,inf
CTG,1,1.0,0.06563207414347076,2149436.0839400105,inf
HDG,1,1.0,0.06687700339022988,2095996.0567300096,inf
GAS,2,0.5,0.03237520278099232,2048058.3444480114,3.0856623102481566
VCI,3,1.0,0.02596794783288846,1906902.038121026,inf
HHV,2,1.0,0.029162565928212435,1400747.5263030156,inf
DXS,1,1.0,0.047379982129443304,1218377.8051200025,inf
POW,1,1.0,0.055373684537084994,1200334.5305280052,inf
REE,2,0.5,0.029204623306426702,1185074.6381760128,4.524682520992213
EIB,1,1.0,0.0397506854970257,1165412.5157500058,inf
PC1,2,0.5,0.02584139508663151,1138880.4427800141,1.7006153067770708
ACB,1,1.0,0.03847774961276883,774287.8214400075,inf
PNJ,1,1.0,0.03210836432594552,762778.8768500015,inf
VRE,1,1.0,0.028740168888156788,638117.0909100063,inf
PAN,2,0.5,0.007586580386394957,241371.24809199944,1.230695616452095
VIC,3,0.3333333333333333,-0.0009815628320399606,-72703.17364998534,0.9641270950467697
DSE,1,0.0,-0.009134896072957834,-278813.03303999454,0.0
SSB,1,0.0,-0.020064940962225303,-436893.67799999565,0.0
KDC,1,0.0,-0.0329720192037429,-714720.8834999949,0.0
TPB,1,0.0,-0.047069972602829795,-942276.1432239972,0.0
HAG,1,0.0,-0.03766101940464883,-966330.554279998,0.0
DBC,1,0.0,-0.03911394238756379,-1064997.340199992,0.0
HSG,1,0.0,-0.03499711862555213,-1100441.6409849897,0.0
NLG,1,0.0,-0.04436939889086649,-1244683.719369989,0.0
VNM,1,0.0,-0.055540795294317276,-1521099.430881992,0.0
VHM,1,0.0,-0.038061556773613565,-1650937.188869983,0.0
CTR,1,0.0,-0.060937815360900226,-1709063.6776999906,0.0
TCH,1,0.0,-0.07001944228428872,-1723907.1705399938,0.0
VJC,1,0.0,-0.06279441694312526,-1808889.0513599962,0.0
VCG,1,0.0,-0.06544876043462543,-2057862.2095499933,0.0
VHC,4,0.25,-0.02396785250041547,-2817569.706389975,0.3805832362943952
