date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98780127.18955101,19927646.189551014,4,0.7982625983937894
2025-01-06,97890484.18955101,19927646.189551014,4,0.7964291794597322
2025-01-07,97598099.76917101,58815519.769171014,2,0.3973702366308829
2025-01-08,98638337.76917101,58815519.769171014,2,0.4037255584455565
2025-01-09,98961763.76917101,58815519.769171014,2,0.4056742975361816
2025-01-10,97770033.76917101,58815519.769171014,2,0.3984299943269856
2025-01-13,98406725.76917101,58815519.769171014,2,0.4023221552241014
2025-01-14,98202831.76917101,58815519.769171014,2,0.40108122434372534
2025-01-15,99273875.76917101,58815519.769171014,2,0.4075428272194459
2025-01-16,99182441.76917101,58815519.769171014,2,0.40699665464928386
2025-01-17,100214501.76917101,58815519.769171014,2,0.4131037052437412
2025-01-20,99937491.76917101,58815519.769171014,2,0.41147692694730426
2025-01-21,99495931.76917101,58815519.769171014,2,0.4088650789700418
2025-01-22,99859543.76917101,58815519.769171014,2,0.411017539744371
2025-01-23,100332859.76917101,58815519.769171014,2,0.4137960394582206
2025-01-24,99808211.65769902,19569673.657699022,4,0.8039272186860243
2025-02-03,99493741.65769902,19569673.657699022,4,0.8033074911884703
2025-02-04,100197880.60306703,41003904.603067026,3,0.5907707392983329
2025-02-05,100915631.43372303,20481577.43372303,4,0.797042567709895
2025-02-06,100562015.43372303,20481577.43372303,4,0.7963288887420744
2025-02-07,100511231.43372303,20481577.43372303,4,0.7962259824940205
2025-02-10,100455791.43372303,20481577.43372303,4,0.7961135227605468
2025-02-11,100549529.43372303,20481577.43372303,4,0.7963035973507622
2025-02-12,101037311.43372303,20481577.43372303,4,0.7972869908839743
2025-02-13,101293137.43372303,20481577.43372303,4,0.7977989629640576
2025-02-14,100711247.43372303,20481577.43372303,4,0.7966306846988294
2025-02-17,101333857.41652304,39515741.41652303,3,0.6100440422977544
2025-02-18,101289018.62399504,19739720.623995036,4,0.8051148990072379
2025-02-19,101697408.62399504,19739720.623995036,4,0.8058975062287129
2025-02-20,102752306.62399504,19739720.623995036,4,0.8078902433185343
2025-02-21,102669146.62399504,19739720.623995036,4,0.8077346381743313
2025-02-24,103019080.62399504,19739720.623995036,4,0.8083877228914301
2025-02-25,102739142.62399504,19739720.623995036,4,0.8078656282324789
2025-02-26,102684638.62399504,19739720.623995036,4,0.8077636451906224
2025-02-27,102269242.62399504,19739720.623995036,4,0.8069828218385223
2025-02-28,101729068.62399504,19739720.623995036,4,0.8059579145764538
2025-03-03,100668024.62399504,19739720.623995036,4,0.803912705174013
2025-03-04,102125514.62399504,19739720.623995036,4,0.806711175981119
2025-03-05,101606916.62399504,19739720.623995036,4,0.8057246368665675
2025-03-06,102361234.62399504,19739720.623995036,4,0.807156286298175
