symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
BSR,1,1.0,0.36230222894394076,8538300.536535006,inf
BVH,4,0.5,0.07437721711978118,6100044.557154026,3.2627700843559717
VCB,2,0.5,0.05043335102322011,6022848.374607019,5.248621504661074
DCM,2,1.0,0.10096696496314714,5985402.0199430045,inf
KBC,2,0.5,0.07698278882802437,3852059.805010017,6.733464749395067
PC1,2,0.5,0.07883649251503326,3649128.2181060202,7.386314479118783
VIC,2,0.5,0.0546911795492744,3341076.706120014,3.0026700877559684
SHB,1,1.0,0.16017474943569143,3098444.434640009,inf
TCB,3,0.6666666666666666,0.08856532184546478,3019056.3682320155,3.074302623668174
VHM,1,1.0,0.18003903318198927,2506797.8838500027,inf
SSB,1,1.0,0.097770303687812,2304184.918355003,inf
VJC,1,1.0,0.08733848599930485,2137057.8201800026,inf
NAB,1,1.0,0.08418299046341676,1727630.8723840043,inf
MSN,1,1.0,0.06477190065188802,1536514.6742400043,inf
PAN,1,1.0,0.07069985267172704,1415333.1264480017,inf
FRT,1,1.0,0.11109316717749058,1365590.7361700032,inf
SAB,1,1.0,0.030758567381081098,700133.1310410053,inf
HAG,1,1.0,0.011283170841404181,286266.29958000407,inf
VCG,1,0.0,-0.019555619205968666,-496157.8809599951,0.0
GVR,1,0.0,-0.030957258687902733,-598863.1455180012,0.0
DGC,1,0.0,-0.039130676760024366,-783394.581159994,0.0
PVD,1,0.0,-0.03314970517579213,-786304.992499996,0.0
BSI,1,0.0,-0.04846037060424614,-858641.3820799999,0.0
SCS,1,0.0,-0.04922371505666189,-985439.2448239923,0.0
BCM,1,0.0,-0.06158922587318169,-1100686.0774169955,0.0
ACB,1,0.0,-0.03789794054004515,-1143785.2719999887,0.0
STB,2,0.5,-0.034288185278238376,-1229957.1270799898,0.30622851796287676
PVT,1,0.0,-0.05735801608350098,-1360610.8179999962,0.0
SZC,1,0.0,-0.05509748374796967,-1373623.6249999925,0.0
FPT,1,0.0,-0.06759861416627665,-1396583.1761199944,0.0
MSB,1,0.0,-0.0621735562312225,-1474842.347144995,0.0
PNJ,2,0.0,-0.03310519152646343,-1561505.8336289935,0.0
ANV,1,0.0,-0.07593762620127531,-1569366.5560899936,0.0
BID,1,0.0,-0.07038431785212905,-1669442.033961989,0.0
VSC,1,0.0,-0.07944562114881566,-1752297.271874994,0.0
HCM,1,0.0,-0.05893302357542492,-1778723.2242399938,0.0
POW,1,0.0,-0.07547823650512885,-1790549.779094994,0.0
HT1,1,0.0,-0.10505500391526755,-2061616.3662599958,0.0
NLG,1,0.0,-0.10631494237174244,-3020405.689399991,0.0
HDG,2,0.0,-0.06387021572978847,-3028280.568553988,0.0
