symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
PNJ,ADX_TREND,2025-01-02,2025-01-03,2025-01-07,62.97290999999999,62.01792,317500,19993898.924999997,-362584.6031249985,-0.018116645587886723,2,EDGE_ATR_STOP,3.1353,adx_trend_refined_v1,True,56.6301,1.0,3.1353,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=56.6301
DGC,ADX_TREND,2025-01-02,2025-01-03,2025-01-07,111.73161999999999,107.68221000000001,179000,19999959.98,-783394.581159994,-0.039130676760024366,2,EDGE_ATR_STOP,2.7941,adx_trend_refined_v1,True,70.3233,5.0,2.7941,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=70.3233
PAN,ADX_TREND,2025-01-02,2025-01-03,2025-02-04,23.423399999999997,25.15482,853800,19998898.919999998,1415333.1264480017,0.07069985267172704,17,EDGE_TRAILING_ATR_STOP,2.8941,adx_trend_refined_v1,True,65.703,3.0,2.8941,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=65.703
SCS,ADX_TREND,2025-01-02,2025-01-03,2025-02-17,73.85377999999999,70.4295,270800,19999603.623999998,-985439.2448239923,-0.04922371505666189,26,EDGE_ATR_STOP,3.0471,adx_trend_refined_v1,True,61.8434,2.0,3.0471,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=61.8434
NAB,ADX_TREND,2025-02-04,2025-02-05,2025-03-20,13.40339,14.57541,1529600,20501825.344,1727630.8723840043,0.08418299046341676,31,EDGE_TRAILING_ATR_STOP,2.825,adx_trend_refined_v1,True,66.2815,1.0,2.825,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=66.2815
TCB,ADX_TREND,2025-02-17,2025-02-18,2025-03-31,25.065039999999996,26.663310000000003,788200,19756264.527999997,1197968.1075880043,0.06057680259117822,29,EDGE_TRAILING_ATR_STOP,2.8846,adx_trend_refined_v1,True,78.245,1.0,2.8846,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=78.245
HT1,ADX_TREND,2025-01-23,2025-01-24,2025-04-03,12.342329999999999,11.07891,1588400,19604556.972,-2061616.3662599958,-0.10505500391526755,44,EDGE_STOP_LOSS,2.63,adx_trend_refined_v1,True,65.9001,2.0,2.63,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=65.9001
STB,ADX_TREND,2025-01-23,2025-01-24,2025-04-04,37.33729999999999,34.0659,525000,19602082.499999996,-1772856.2774999961,-0.09035188951519252,45,EDGE_STOP_LOSS,3.09,adx_trend_refined_v1,True,73.8678,1.0,3.09,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=73.8678
TCB,ADX_TREND,2025-05-09,2025-05-12,2025-07-07,26.966939999999997,34.25571,455500,12283441.169999998,3276544.3420200013,0.2664783447608642,40,EDGE_TAKE_PROFIT,2.42,adx_trend_refined_v1,True,88.7083,3.0,2.42,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=88.7083
PC1,ADX_TREND,2025-05-08,2025-05-09,2025-07-11,19.56955,19.40058,2513400,49186106.97,-571398.1405139863,-0.011605458296363023,45,EDGE_MAX_HOLD,3.1,adx_trend_refined_v1,True,97.8615,1.0,3.1,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=97.8615
FRT,ADX_TREND,2025-05-09,2025-05-12,2025-07-14,136.59645999999998,152.22762,89900,12280021.753999999,1365590.7361700032,0.11109316717749058,45,EDGE_MAX_HOLD,3.02,adx_trend_refined_v1,True,76.2431,1.0,3.02,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=76.2431
DCM,ADX_TREND,2025-05-09,2025-05-12,2025-07-14,31.911879999999996,34.01595,384900,12282882.611999998,771388.182078002,0.06273914592008059,45,EDGE_MAX_HOLD,2.96,adx_trend_refined_v1,True,77.01,2.0,2.96,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=77.01
VHM,ADX_TREND,2025-07-07,2025-07-08,2025-07-22,76.9769,91.1088,180700,13909725.83,2506797.8838500027,0.18003903318198927,10,EDGE_TRAILING_ATR_STOP,3.02,adx_trend_refined_v1,True,81.2724,1.0,3.02,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=81.2724
