date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,100000000.0,100000000.0,0,0.0
2025-01-06,100000000.0,100000000.0,0,0.0
2025-01-07,100000000.0,100000000.0,0,0.0
2025-01-08,100000000.0,100000000.0,0,0.0
2025-01-09,100000000.0,100000000.0,0,0.0
2025-01-10,100000000.0,100000000.0,0,0.0
2025-01-13,100000000.0,100000000.0,0,0.0
2025-01-14,100000000.0,100000000.0,0,0.0
2025-01-15,100000000.0,100000000.0,0,0.0
2025-01-16,100000000.0,100000000.0,0,0.0
2025-01-17,100000000.0,100000000.0,0,0.0
2025-01-20,100000000.0,100000000.0,0,0.0
2025-01-21,100000000.0,100000000.0,0,0.0
2025-01-22,100000000.0,100000000.0,0,0.0
2025-01-23,100000000.0,100000000.0,0,0.0
2025-01-24,100000000.0,100000000.0,0,0.0
2025-02-03,100000000.0,100000000.0,0,0.0
2025-02-04,100000000.0,100000000.0,0,0.0
2025-02-05,100000000.0,100000000.0,0,0.0
2025-02-06,100000000.0,100000000.0,0,0.0
2025-02-07,99649333.80187501,49951928.80187501,1,0.49872290264187286
2025-02-10,98380063.80187501,49951928.80187501,1,0.4922555762672418
2025-02-11,98281745.31716502,98281745.31716502,0,0.0
2025-02-12,98281745.31716502,98281745.31716502,0,0.0
2025-02-13,98281745.31716502,98281745.31716502,0,0.0
2025-02-14,98281745.31716502,98281745.31716502,0,0.0
2025-02-17,98281745.31716502,98281745.31716502,0,0.0
2025-02-18,98281745.31716502,98281745.31716502,0,0.0
2025-02-19,98281745.31716502,98281745.31716502,0,0.0
2025-02-20,98281745.31716502,98281745.31716502,0,0.0
2025-02-21,98281745.31716502,98281745.31716502,0,0.0
2025-02-24,98281745.31716502,98281745.31716502,0,0.0
2025-02-25,98281745.31716502,98281745.31716502,0,0.0
2025-02-26,98281745.31716502,98281745.31716502,0,0.0
2025-02-27,98281745.31716502,98281745.31716502,0,0.0
2025-02-28,98281745.31716502,98281745.31716502,0,0.0
2025-03-03,98281745.31716502,98281745.31716502,0,0.0
2025-03-04,98281745.31716502,98281745.31716502,0,0.0
2025-03-05,98281745.31716502,98281745.31716502,0,0.0
2025-03-06,98281745.31716502,98281745.31716502,0,0.0
2025-03-07,98281745.31716502,98281745.31716502,0,0.0
2025-03-10,98281745.31716502,98281745.31716502,0,0.0
2025-03-11,98281745.31716502,98281745.31716502,0,0.0
2025-03-12,97862336.58234301,49092692.58234303,1,0.498349474406473
2025-03-13,95218794.58234304,49092692.58234303,1,0.48442224250288324
2025-03-14,94858821.14583902,94858821.14583902,0,0.0
2025-03-17,94858821.14583902,94858821.14583902,0,0.0
2025-03-18,94858821.14583902,94858821.14583902,0,0.0
2025-03-19,94858821.14583902,94858821.14583902,0,0.0
2025-03-20,94858821.14583902,94858821.14583902,0,0.0
2025-03-21,94858821.14583902,94858821.14583902,0,0.0
2025-03-24,94858821.14583902,94858821.14583902,0,0.0
2025-03-25,94858821.14583902,94858821.14583902,0,0.0
