symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
DPM,4,0.75,0.13151482752778942,16699643.263281032,10.99348738304476
TCH,1,1.0,0.26253752091122295,13532705.800530009,inf
BVH,2,0.5,0.12290911941266802,5957941.143025015,4.575603605707466
TPB,1,1.0,0.13743412373018085,4372131.280968007,inf
DXS,1,1.0,0.2406586320910556,4130789.0874430016,inf
SSI,1,1.0,0.1232275841749547,3208150.6365120076,inf
GMD,1,1.0,0.10714714142714725,3204677.637360003,inf
DXG,2,1.0,0.060278268576963105,2314560.3705000076,inf
HDG,1,1.0,0.12947192667472426,2222085.757710006,inf
VCI,1,1.0,0.10419205242707531,2053546.5255779997,inf
EVF,1,1.0,0.22073106713466378,1890867.768120002,inf
CTG,1,1.0,0.08480929736079966,1697761.4646800049,inf
PHR,1,1.0,0.06188877040648236,1591032.7255200036,inf
HSG,1,1.0,0.04752355717839883,1511858.814493008,inf
SAB,1,1.0,0.03075856738108112,815913.0856050067,inf
VPB,1,1.0,0.017857234766468288,519811.6288300045,inf
TCB,3,0.6666666666666666,0.0010245951319161502,19537.45757002011,1.0137131901007543
VNM,1,0.0,-0.026848079785264822,-549410.5685079917,0.0
VHC,1,0.0,-0.023364296664740065,-665319.0590199977,0.0
SIP,1,0.0,-0.047845013676673084,-758482.471622996,0.0
CTD,1,0.0,-0.027807615259993763,-799885.1841749959,0.0
ACB,2,0.5,-0.00999459056786307,-802839.9787899815,0.3773501750587519
STB,2,0.5,-0.003926427053246268,-846746.2393599786,0.32485603138486135
VSC,1,0.0,-0.040525123513563535,-1179735.5921399966,0.0
PVT,1,0.0,-0.044789456297947644,-1188173.6429999955,0.0
DGW,1,0.0,-0.04538969494199871,-1203961.2276799977,0.0
MWG,1,0.0,-0.04132668982641732,-1629984.3523599803,0.0
MSB,1,0.0,-0.06217355623122249,-1672479.839339994,0.0
NKG,1,0.0,-0.05279735249765185,-1720534.907834988,0.0
BID,1,0.0,-0.07088687916878036,-1938944.801765997,0.0
KBC,1,0.0,-0.07665185785956972,-1970535.9293699972,0.0
CII,1,0.0,-0.07010221014008604,-2101961.0471249893,0.0
MSN,3,0.3333333333333333,-0.03165505642627071,-2862350.551069971,0.07981033674847249
