symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
TCB,LINREG_MOMENTUM,2025-01-23,2025-01-24,2025-03-04,24.18416,25.40457,826900,19997881.904,947145.0692300014,0.0473149543987647,22,EDGE_TRAILING_ATR_STOP,1.8875,linreg_momentum_refined_v1,True,100.0,5.0,1.8875,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=100.0
CTG,LINREG_MOMENTUM,2025-01-23,2025-01-24,2025-03-20,26.176149999999996,28.48149,764000,19998578.599999998,1697761.4646800049,0.08480929736079966,34,EDGE_TRAILING_ATR_STOP,3.0125,linreg_momentum_refined_v1,True,91.8764,1.0,3.0125,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=91.8764
VNM,LINREG_MOMENTUM,2025-03-04,2025-03-05,2025-03-20,58.77871999999999,57.37257,347800,20443238.815999996,-549410.5685079917,-0.026848079785264822,11,EDGE_ATR_STOP,2.45,linreg_momentum_refined_v1,True,98.6281,2.0,2.45,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=98.6281
STB,LINREG_MOMENTUM,2025-01-23,2025-01-24,2025-03-28,37.33729999999999,38.21175,535600,19997857.879999995,407425.13552000746,0.020353085807738775,40,EDGE_MAX_HOLD,2.8875,linreg_momentum_refined_v1,True,73.8678,2.0,2.8875,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=73.8678
ACB,LINREG_MOMENTUM,2025-01-23,2025-01-24,2025-03-28,21.081059999999997,21.65832,948700,19999601.621999998,486552.4640100077,0.024303803985660982,40,EDGE_MAX_HOLD,2.65,linreg_momentum_refined_v1,True,96.0992,3.0,2.65,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=96.0992
DXS,LINREG_MOMENTUM,2025-06-02,2025-06-03,2025-06-09,7.217209999999999,8.98101,2375900,17147369.238999996,4130789.0874430016,0.2406586320910556,4,EDGE_TAKE_PROFIT,2.975,linreg_momentum_refined_v1,True,86.9701,1.0,2.975,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=86.9701
TCH,LINREG_MOMENTUM,2025-05-12,2025-05-13,2025-07-08,14.854839999999998,18.811169999999997,3466500,51494302.85999999,13532705.800530009,0.26253752091122295,40,EDGE_TAKE_PROFIT,2.8,linreg_momentum_refined_v1,True,85.6198,1.0,2.8,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=85.6198
DXG,LINREG_MOMENTUM,2025-06-09,2025-06-10,2025-07-14,15.615599999999997,16.983,955600,14922267.359999998,1259307.2630400043,0.0843068404737508,24,EDGE_TRAILING_ATR_STOP,2.8333,linreg_momentum_refined_v1,True,82.6242,1.0,2.8333,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=82.6242
HDG,LINREG_MOMENTUM,2025-06-02,2025-06-03,2025-07-21,24.07405,27.2727,712200,17145538.41,2222085.757710006,0.12947192667472426,34,EDGE_TRAILING_ATR_STOP,2.25,linreg_momentum_refined_v1,True,87.0919,2.0,2.25,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=87.0919
EVF,LINREG_MOMENTUM,2025-06-03,2025-06-04,2025-07-24,10.8108,13.23675,791600,8557829.280000001,1890867.768120002,0.22073106713466378,36,EDGE_TAKE_PROFIT,2.55,linreg_momentum_refined_v1,True,73.848,1.0,2.55,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=73.848
