symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
TCH,2,0.5,0.09625903931346702,11440895.414170008,6.4369056935243565
DPM,2,1.0,0.2274910854677056,8936619.874721007,inf
BVH,2,0.5,0.1229091194126681,6403587.113872021,4.839472817743894
OCB,1,1.0,0.15436821077274407,4568146.898370009,inf
DXS,1,1.0,0.24065863209105576,4134614.0531370044,inf
PVT,2,0.5,0.12111780978436089,4051924.8571250103,4.221529634199257
GMD,1,1.0,0.10714714142714732,3392710.643520005,inf
TPB,1,1.0,0.13743412373018074,3330876.7491120026,inf
SSI,1,1.0,0.12322758417495476,3188947.1939040087,inf
HDG,1,1.0,0.12947192667472399,2224269.7790950015,inf
EVF,1,1.0,0.2207310671346637,1892539.834110001,inf
CTG,1,1.0,0.08480929736079966,1697761.4646800049,inf
PHR,1,1.0,0.06188877040648236,1684088.8478400037,inf
NVL,1,1.0,0.054062079938281125,1607203.391080007,inf
HSG,1,1.0,0.047523557178398824,1151766.712314006,inf
DXG,1,1.0,0.03624969668017534,1035026.1643350013,inf
SAB,1,1.0,0.03075856738108107,863735.2407510057,inf
VPB,1,1.0,0.017857234766468232,509877.3640350029,inf
STB,1,1.0,0.020353085807738775,407425.13552000746,inf
PLX,1,0.0,-0.022205371980744314,-454433.998606991,0.0
TCB,2,0.5,-0.004053063050673145,-561084.0192899965,0.6279848840201195
ACB,2,0.5,-0.009994590567863254,-778076.8126699924,0.38473920617063506
VSC,1,0.0,-0.04052512351356332,-1157121.1792799905,0.0
MSN,1,0.0,-0.04105816511161142,-1243095.9846599922,0.0
DGW,1,0.0,-0.04538969494199859,-1274528.8020799942,0.0
CTD,1,0.0,-0.027807615259993684,-1544828.7597399876,0.0
MSB,1,0.0,-0.062173556231222345,-1770444.9475649893,0.0
HPG,1,0.0,-0.04893826534376786,-1895908.8020399958,0.0
KBC,1,0.0,-0.0766518578595696,-2086156.2308399938,0.0
VCB,1,0.0,-0.07145165606966186,-2147388.1652079895,0.0
PNJ,1,0.0,-0.08307060475617813,-3218236.2954959944,0.0
NKG,3,0.0,-0.05462411306567135,-3975396.189614989,0.0
