symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
TCB,LINREG_MOMENTUM,2025-01-23,2025-01-24,2025-03-04,24.18416,25.40457,826900,19997881.904,947145.0692300014,0.0473149543987647,22,EDGE_TRAILING_ATR_STOP,2.1688,linreg_momentum_refined_v1,True,100.0,5.0,2.1688,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=100.0
PLX,LINREG_MOMENTUM,2025-03-06,2025-03-07,2025-03-13,42.232189999999996,41.41854,484100,20444603.178999998,-454433.998606991,-0.022205371980744314,4,EDGE_ATR_STOP,3.275,linreg_momentum_refined_v1,True,92.8873,1.0,3.275,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=92.8873
CTG,LINREG_MOMENTUM,2025-01-23,2025-01-24,2025-03-20,26.176149999999996,28.48149,764000,19998578.599999998,1697761.4646800049,0.08480929736079966,34,EDGE_TRAILING_ATR_STOP,3.2938,linreg_momentum_refined_v1,True,91.8764,1.0,3.2938,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=91.8764
STB,LINREG_MOMENTUM,2025-01-23,2025-01-24,2025-03-28,37.33729999999999,38.21175,535600,19997857.879999995,407425.13552000746,0.020353085807738775,40,EDGE_MAX_HOLD,3.1688,linreg_momentum_refined_v1,True,73.8678,2.0,3.1688,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=73.8678
ACB,LINREG_MOMENTUM,2025-01-23,2025-01-24,2025-03-28,21.081059999999997,21.65832,948700,19999601.621999998,486552.4640100077,0.024303803985660982,40,EDGE_MAX_HOLD,2.9312,linreg_momentum_refined_v1,True,96.0992,3.0,2.9312,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=96.0992
DXS,LINREG_MOMENTUM,2025-06-02,2025-06-03,2025-06-09,7.217209999999999,8.98101,2378100,17163247.100999996,4134614.0531370044,0.24065863209105576,4,EDGE_TAKE_PROFIT,3.2875,linreg_momentum_refined_v1,True,86.9701,1.0,3.2875,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=86.9701
TCH,LINREG_MOMENTUM,2025-05-12,2025-05-13,2025-07-08,14.854839999999998,18.811169999999997,3469700,51541838.34799999,13545198.129554003,0.26253752091122284,40,EDGE_TAKE_PROFIT,3.175,linreg_momentum_refined_v1,True,85.6198,1.0,3.175,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=85.6198
HDG,LINREG_MOMENTUM,2025-06-02,2025-06-03,2025-07-21,24.07405,27.2727,712900,17162390.245,2224269.7790950015,0.12947192667472399,34,EDGE_TRAILING_ATR_STOP,2.5625,linreg_momentum_refined_v1,True,87.0919,2.0,2.5625,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=87.0919
EVF,LINREG_MOMENTUM,2025-06-03,2025-06-04,2025-07-24,10.8108,13.23675,792300,8565396.84,1892539.834110001,0.2207310671346637,36,EDGE_TAKE_PROFIT,2.8417,linreg_momentum_refined_v1,True,73.848,1.0,2.8417,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=73.848
DPM,LINREG_MOMENTUM,2025-06-12,2025-06-13,2025-07-29,19.47946,23.936040000000002,766700,14934901.981999999,3365221.4602820035,0.22510088146096563,32,EDGE_TRAILING_ATR_STOP,3.2125,linreg_momentum_refined_v1,True,88.397,1.0,3.2125,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=88.397
BVH,LINREG_MOMENTUM,2025-07-08,2025-07-09,2025-07-29,53.28322999999999,51.21873,751200,40026362.375999995,-1667829.7823279873,-0.04162665602878562,14,EDGE_STOP_LOSS,3.4438,linreg_momentum_refined_v1,True,79.1141,1.0,3.4438,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=79.1141
TPB,LINREG_MOMENTUM,2025-07-30,2025-07-31,2025-08-07,15.315299999999999,17.47251,1580900,24211957.77,3330876.7491120026,0.13743412373018074,5,EDGE_TRAILING_ATR_STOP,3.0875,linreg_momentum_refined_v1,True,75.074,1.0,3.0875,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=75.074
DPM,LINREG_MOMENTUM,2025-07-30,2025-07-31,2025-08-11,24.21419,29.870099999999997,999900,24211768.581,5571398.414439004,0.22988128947444558,7,EDGE_TRAILING_ATR_STOP,2.5625,linreg_momentum_refined_v1,True,85.9321,3.0,2.5625,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=85.9321
NVL,LINREG_MOMENTUM,2025-07-23,2025-07-24,2025-08-18,16.86685,17.832150000000002,1760800,29699149.48,1607203.391080007,0.054062079938281125,17,EDGE_TRAILING_ATR_STOP,3.525,linreg_momentum_refined_v1,True,76.9242,1.0,3.525,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=76.9242
NKG,LINREG_MOMENTUM,2025-08-13,2025-08-14,2025-08-22,16.666649999999997,15.83415,1669100,27818305.514999997,-1470201.6150449961,-0.05279735249765207,6,EDGE_STOP_LOSS,3.1667,linreg_momentum_refined_v1,True,86.1767,1.0,3.1667,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=86.1767
OCB,LINREG_MOMENTUM,2025-08-18,2025-08-19,2025-08-22,12.8128,14.83515,2307300,29562973.439999998,4568146.898370009,0.15436821077274407,3,EDGE_TRAILING_ATR_STOP,3.3917,linreg_momentum_refined_v1,True,77.0124,1.0,3.3917,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=77.0124
SSI,LINREG_MOMENTUM,2025-08-07,2025-08-08,2025-09-08,31.771739999999994,35.79417,813700,25852664.837999996,3188947.1939040087,0.12322758417495476,19,EDGE_TRAILING_ATR_STOP,2.8667,linreg_momentum_refined_v1,True,72.1887,2.0,2.8667,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=72.1887
HSG,LINREG_MOMENTUM,2025-07-30,2025-07-31,2025-09-09,14.604589999999998,15.34464,1657800,24211489.301999997,1151766.712314006,0.047523557178398824,26,EDGE_TRAILING_ATR_STOP,2.6625,linreg_momentum_refined_v1,True,86.0225,2.0,2.6625,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: linreg_momentum_refined_v1 | edge_score=86.0225
