date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,100000000.0,100000000.0,0,0.0
2025-01-06,100000000.0,100000000.0,0,0.0
2025-01-07,100000000.0,100000000.0,0,0.0
2025-01-08,100000000.0,100000000.0,0,0.0
2025-01-09,100000000.0,100000000.0,0,0.0
2025-01-10,100000000.0,100000000.0,0,0.0
2025-01-13,100000000.0,100000000.0,0,0.0
2025-01-14,100000000.0,100000000.0,0,0.0
2025-01-15,100000000.0,100000000.0,0,0.0
2025-01-16,100000000.0,100000000.0,0,0.0
2025-01-17,100000000.0,100000000.0,0,0.0
2025-01-20,100000000.0,100000000.0,0,0.0
2025-01-21,100000000.0,100000000.0,0,0.0
2025-01-22,100000000.0,100000000.0,0,0.0
2025-01-23,100000000.0,100000000.0,0,0.0
2025-01-24,100000000.0,100000000.0,0,0.0
2025-02-03,100305152.39117001,49951222.39117001,1,0.5020074123772801
2025-02-04,100710252.39117001,49951222.39117001,1,0.5040105529955996
2025-02-05,101075080.26758301,24951711.267583013,2,0.7531368641852509
2025-02-06,100702420.26758301,24951711.267583013,2,0.7522233209362578
2025-02-07,100648934.26758301,24951711.267583013,2,0.7520916495623595
2025-02-10,100211394.26758301,24951711.267583013,2,0.7510092395186388
2025-02-11,100488476.26758301,24951711.267583013,2,0.7516957944397423
2025-02-12,101426694.26758301,24951711.267583013,2,0.7539926599426022
2025-02-13,101959812.26758301,24951711.267583013,2,0.7552789602819214
2025-02-14,101405192.90513301,12464323.905133015,3,0.8770839683053147
2025-02-17,101834363.59849301,63677006.59849302,2,0.37470020582094227
2025-02-18,101909981.59849301,63677006.59849302,2,0.37516418313792893
2025-02-19,102060131.59849301,63677006.59849302,2,0.3760834362922451
2025-02-20,103029047.59849301,63677006.59849302,2,0.3819509343943076
2025-02-21,103005651.59849301,63677006.59849302,2,0.381810554951874
2025-02-24,103130233.59849301,63677006.59849302,2,0.38255733186447965
2025-02-25,102981169.59849301,63677006.59849302,2,0.38166359105495307
2025-02-26,103351657.59849301,63677006.59849302,2,0.38388016140128656
2025-02-27,103604079.59849301,63677006.59849302,2,0.38538128184462694
2025-02-28,103055701.59849301,63677006.59849302,2,0.3821107846455711
2025-03-03,102676357.24488302,89963657.24488302,1,0.12381331341625436
2025-03-04,102302765.57251503,44937371.572515026,2,0.5607413805381226
2025-03-05,102152615.57251503,44937371.572515026,2,0.5600957320508807
2025-03-06,103072713.57251503,44937371.572515026,2,0.5640226203911851
2025-03-07,102283225.57251503,44937371.572515026,2,0.5606574653763134
2025-03-10,101888481.57251503,44937371.572515026,2,0.5589553315648084
2025-03-11,100807263.57251503,44937371.572515026,2,0.5542248645585977
2025-03-12,101088023.57251503,44937371.572515026,2,0.5554629521440845
2025-03-13,100607446.59241903,88245096.59241903,1,0.12287708732020963
2025-03-14,100707546.59241903,88245096.59241903,1,0.12374891874228358
2025-03-17,100707546.59241903,88245096.59241903,1,0.12374891874228358
