symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
GEX,1,1.0,0.15438319186690738,5366438.775131002,inf
EIB,2,1.0,0.06883920511629124,4248557.153310001,inf
PDR,1,1.0,0.1328588522075139,3108931.0742750056,inf
KBC,1,1.0,0.13873479168184485,1882672.7356800027,inf
SHB,1,1.0,0.06954364092731376,1750238.4401040077,inf
VIX,1,1.0,0.06615377426195229,1664882.266242005,inf
DIG,1,1.0,0.06199698040584462,1450753.562084008,inf
NT2,1,1.0,0.06631470167608347,1324427.8636750095,inf
NAB,1,1.0,0.051486587735253234,1287139.522803001,inf
FRT,1,1.0,0.13938060093948046,1206315.648052005,inf
HT1,1,1.0,0.02325541482005478,1163905.0845300108,inf
PHR,1,1.0,0.06407899052131208,1111254.9670750052,inf
DXS,1,1.0,0.020524085151765365,480262.1508000046,inf
VCG,1,1.0,0.007702449643162294,193852.63315000758,inf
HAG,1,0.0,-0.01298107306556663,-162099.68774999678,0.0
OCB,1,0.0,-0.022693838739003325,-348399.9737249967,0.0
VHM,1,0.0,-0.03254901555168606,-649817.6193299964,0.0
VRE,1,0.0,-0.03434999680393598,-1057539.6076199897,0.0
BSI,1,0.0,-0.04072665152794823,-1253802.5227199905,0.0
TCB,1,0.0,-0.0498116258872009,-1533507.0914799906,0.0
BVH,1,0.0,-0.03816794183222278,-1718560.6524639875,0.0
