symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
HT1,NR7,2025-01-24,2025-02-03,2025-02-17,12.342329999999999,12.66732,4051000,49998778.83,1163905.0845300108,0.02325541482005478,10,EDGE_TRAILING_ATR_STOP,3.15,nr7_refined_v1,True,61.6773,1.0,3.15,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=61.6773
NAB,NR7,2025-02-04,2025-02-05,2025-03-03,13.40339,14.13585,1863300,24974536.587,1287139.522803001,0.051486587735253234,18,EDGE_TRAILING_ATR_STOP,3.15,nr7_refined_v1,True,66.2815,1.0,3.15,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=66.2815
BVH,NR7,2025-03-03,2025-03-04,2025-03-13,55.83577999999999,53.866080000000004,805600,44981304.36799999,-1718560.6524639875,-0.03816794183222278,7,EDGE_ATR_STOP,3.15,nr7_refined_v1,True,80.4371,1.0,3.15,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=80.4371
HAG,NR7,2025-02-13,2025-02-14,2025-03-21,12.462449999999999,12.33765,1001000,12474912.45,-162099.68774999678,-0.01298107306556663,25,EDGE_MAX_HOLD,3.15,nr7_refined_v1,True,71.3287,1.0,3.15,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=71.3287
VIX,NR7,2025-05-05,2025-05-06,2025-05-26,10.08007,10.779209999999999,2494200,25141710.593999997,1664882.266242005,0.06615377426195229,14,EDGE_TRAILING_ATR_STOP,2.7125,nr7_refined_v1,True,69.4808,1.0,2.7125,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=69.4808
VCG,NR7,2025-05-05,2025-05-06,2025-06-10,19.6196,19.83015,1281500,25142517.4,193852.63315000758,0.007702449643162294,25,EDGE_MAX_HOLD,2.5625,nr7_refined_v1,True,64.5802,2.0,2.5625,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=64.5802
SHB,NR7,2025-05-05,2025-05-06,2025-06-10,10.690679999999999,11.46852,2351800,25142341.223999996,1750238.4401040077,0.06954364092731376,25,EDGE_MAX_HOLD,2.3375,nr7_refined_v1,True,75.3479,3.0,2.3375,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=75.3479
PHR,NR7,2025-06-16,2025-06-17,2025-06-23,50.760709999999996,54.17577,341300,17324630.323,1111254.9670750052,0.06407899052131208,4,EDGE_TRAILING_ATR_STOP,2.825,nr7_refined_v1,True,59.0001,1.0,2.825,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=59.0001
GEX,NR7,2025-06-12,2025-06-13,2025-07-15,23.37335,27.06291,1485700,34725786.095,5366438.775131002,0.15438319186690738,22,EDGE_TAKE_PROFIT,2.3167,nr7_refined_v1,True,75.4882,2.0,2.3167,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=75.4882
EIB,NR7,2025-06-12,2025-06-13,2025-07-18,22.972949999999997,25.12485,1511600,34725911.22,3142128.682259999,0.09039329947833208,25,EDGE_MAX_HOLD,2.5833,nr7_refined_v1,True,71.4575,1.0,2.5833,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=71.4575
