date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98822858.10350603,24941614.10350603,3,0.7476129047251149
2025-01-06,98711253.10350603,24941614.10350603,3,0.7473275506151977
2025-01-07,98671370.72661003,49507296.72661003,2,0.49826077856179274
2025-01-08,99432248.72661003,49507296.72661003,2,0.5021002002807877
2025-01-09,99822951.72661003,49507296.72661003,2,0.5040489599806859
2025-01-10,98732360.72661003,49507296.72661003,2,0.4985707182299047
2025-01-13,98889843.61049603,73541468.61049603,1,0.2563294072932436
2025-01-14,98729748.61049603,73541468.61049603,1,0.255123509929835
2025-01-15,99882432.61049603,73541468.61049603,1,0.26371968835320486
2025-01-16,99829067.61049603,73541468.61049603,1,0.26332609959422404
2025-01-17,100255987.61049603,73541468.61049603,1,0.26646307753496407
2025-01-20,100095892.61049603,73541468.61049603,1,0.26528984664067534
2025-01-21,100175897.48253402,100175897.48253402,0,0.0
2025-01-22,100175897.48253402,100175897.48253402,0,0.0
2025-01-23,100175897.48253402,100175897.48253402,0,0.0
2025-01-24,100175897.48253402,100175897.48253402,0,0.0
2025-02-03,99883964.89559603,33331470.895596035,2,0.6662980796723895
2025-02-04,100677066.89559603,33331470.895596035,2,0.668926877556322
2025-02-05,100538258.78564005,11089096.78564004,4,0.8897027169598852
2025-02-06,100735414.78564005,11089096.78564004,4,0.8899185871300863
2025-02-07,101287507.78564005,11089096.78564004,4,0.8905186135183771
2025-02-10,101615315.78564005,11089096.78564004,4,0.8908717972295361
2025-02-11,102431295.78564005,11089096.78564004,4,0.8917411255945994
2025-02-12,102107673.78564005,11089096.78564004,4,0.8913980078625632
2025-02-13,102690516.78564005,11089096.78564004,4,0.8920144027633259
2025-02-14,103533256.78564005,11089096.78564004,4,0.8928933839239751
2025-02-17,102832537.78564005,11089096.78564004,4,0.8921635406027237
2025-02-18,103533579.78564005,11089096.78564004,4,0.8928937180709936
2025-02-19,104385972.78564005,11089096.78564004,4,0.8937683245198867
2025-02-20,104357909.78564005,11089096.78564004,4,0.8937397576434983
