symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
MSN,1,1.0,0.10167372239756242,5143774.314760014,inf
PLX,1,1.0,0.1091237638336733,3647176.6264220104,inf
PAN,1,1.0,0.06432157713952871,1609634.257218007,inf
NLG,1,1.0,0.037085096278773134,1084921.4576480053,inf
SSI,1,1.0,0.10192802966695776,642837.726846002,inf
HPG,1,1.0,0.04447446730995433,561445.0593840033,inf
VCI,1,1.0,0.023044589204006625,410825.8343700096,inf
BID,1,1.0,0.011484674794874864,383841.2597760111,inf
DXG,1,1.0,0.012885431819791232,376985.28732001036,inf
VIB,1,1.0,0.002336217253815404,25980.788086004555,inf
KDC,1,0.0,-0.02179780578810986,-242424.20271599665,0.0
HDB,1,0.0,-0.03414289276826076,-596969.3770199977,0.0
TCB,1,0.0,-0.04363022020122167,-777764.2661249936,0.0
FPT,1,0.0,-0.039196130911384075,-980477.470808994,0.0
SSB,1,0.0,-0.02506128464607994,-1296114.3979149833,0.0
DXS,1,0.0,-0.09556932715567176,-2303498.7578529976,0.0
PNJ,2,0.0,-0.03023318068430348,-2769584.822106976,0.0
HDG,2,0.5,-0.022948188983818573,-2884007.9869239926,0.11691781957521562
