symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
PNJ,RETEST,2025-01-02,2025-01-03,2025-01-07,62.97290999999999,62.01792,396900,24993947.979,-453259.30387499556,-0.01811664558788662,2,EDGE_ATR_STOP,2.475,retest_refined_v1,True,56.6301,1.0,2.475,"{'setup_type': 'RETEST', 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: retest_refined_v1 | edge_score=56.6301
FPT,RETEST,2025-01-02,2025-01-03,2025-01-13,129.27915,124.58529,193300,24989659.694999997,-980477.470808994,-0.039196130911384075,6,EDGE_ATR_STOP,1.825,retest_refined_v1,True,81.8023,3.0,1.825,"{'setup_type': 'RETEST', 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: retest_refined_v1 | edge_score=81.8023
PAN,RETEST,2025-01-02,2025-01-03,2025-01-21,23.423399999999997,25.00497,1067300,24999794.819999997,1609634.257218007,0.06432157713952871,12,EDGE_TRAILING_ATR_STOP,2.2,retest_refined_v1,True,65.703,2.0,2.2,"{'setup_type': 'RETEST', 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: retest_refined_v1 | edge_score=65.703
PLX,RETEST,2025-01-24,2025-02-03,2025-03-06,37.967929999999996,42.23772,879400,33388997.641999997,3647176.6264220104,0.1091237638336733,23,EDGE_TRAILING_ATR_STOP,2.9,retest_refined_v1,True,70.8141,1.0,2.9,"{'setup_type': 'RETEST', 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: retest_refined_v1 | edge_score=70.8141
KDC,RETEST,2025-02-04,2025-02-05,2025-03-07,57.477419999999995,56.393550000000005,193300,11110385.285999998,-242424.20271599665,-0.02179780578810986,22,EDGE_ATR_STOP,2.5,retest_refined_v1,True,73.2267,1.0,2.5,"{'setup_type': 'RETEST', 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: retest_refined_v1 | edge_score=73.2267
BID,RETEST,2025-01-24,2025-02-03,2025-03-17,39.29926,39.87009,849600,33388651.295999996,383841.2597760111,0.011484674794874864,30,EDGE_MAX_HOLD,2.0667,retest_refined_v1,True,74.1605,2.0,2.0667,"{'setup_type': 'RETEST', 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: retest_refined_v1 | edge_score=74.1605
VIB,RETEST,2025-02-04,2025-02-05,2025-03-19,16.3163,16.40358,680900,11109768.669999998,25980.788086004555,0.002336217253815404,30,EDGE_MAX_HOLD,2.125,retest_refined_v1,True,82.3851,3.0,2.125,"{'setup_type': 'RETEST', 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: retest_refined_v1 | edge_score=82.3851
HDB,RETEST,2025-03-11,2025-03-12,2025-03-19,18.44843,17.87211,946800,17466973.524,-596969.3770199977,-0.03414289276826076,5,EDGE_ATR_STOP,2.9,retest_refined_v1,True,74.1121,1.0,2.9,"{'setup_type': 'RETEST', 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: retest_refined_v1 | edge_score=74.1121
DXS,RETEST,2025-03-06,2025-03-07,2025-04-03,7.257249999999999,6.58341,3317900,24078829.775,-2303498.7578529976,-0.09556932715567176,19,EDGE_STOP_LOSS,2.625,retest_refined_v1,True,69.5541,1.0,2.625,"{'setup_type': 'RETEST', 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: retest_refined_v1 | edge_score=69.5541
MSN,RETEST,2025-06-11,2025-06-12,2025-06-27,65.36529999999999,72.2277,773200,50540449.95999999,5143774.314760014,0.10167372239756242,11,EDGE_TRAILING_ATR_STOP,2.6,retest_refined_v1,True,68.2131,1.0,2.6,"{'setup_type': 'RETEST', 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: retest_refined_v1 | edge_score=68.2131
HDG,RETEST,2025-06-16,2025-06-17,2025-06-30,24.28426,24.72525,1039700,25248345.122,381835.2730280012,0.015108072127721939,9,EDGE_TRAILING_ATR_STOP,2.75,retest_refined_v1,True,81.7286,1.0,2.75,"{'setup_type': 'RETEST', 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: retest_refined_v1 | edge_score=81.7286
HPG,RETEST,2025-06-23,2025-06-24,2025-07-08,22.552529999999997,23.62635,559200,12611374.775999999,561445.0593840033,0.04447446730995433,10,EDGE_TRAILING_ATR_STOP,3.05,retest_refined_v1,True,64.0765,1.0,3.05,"{'setup_type': 'RETEST', 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: retest_refined_v1 | edge_score=64.0765
SSI,RETEST,2025-06-26,2025-06-27,2025-07-09,21.891869999999997,24.19578,287800,6300480.185999999,642837.726846002,0.10192802966695776,8,EDGE_TRAILING_ATR_STOP,2.8,retest_refined_v1,True,66.0694,1.0,2.8,"{'setup_type': 'RETEST', 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: retest_refined_v1 | edge_score=66.0694
DXG,RETEST,2025-07-02,2025-07-03,2025-07-14,16.716699999999996,16.983,1748400,29227478.279999994,376985.28732001036,0.012885431819791232,7,EDGE_TRAILING_ATR_STOP,2.1667,retest_refined_v1,True,77.0022,2.0,2.1667,"{'setup_type': 'RETEST', 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: retest_refined_v1 | edge_score=77.0022
NLG,RETEST,2025-07-02,2025-07-03,2025-07-21,35.745709999999995,37.18278,817600,29225692.495999996,1084921.4576480053,0.037085096278773134,12,EDGE_TRAILING_ATR_STOP,2.6667,retest_refined_v1,True,65.3295,1.0,2.6667,"{'setup_type': 'RETEST', 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.6, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: retest_refined_v1 | edge_score=65.3295
