date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,100000000.0,100000000.0,0,0.0
2025-01-06,100000000.0,100000000.0,0,0.0
2025-01-07,100000000.0,100000000.0,0,0.0
2025-01-08,100000000.0,100000000.0,0,0.0
2025-01-09,100000000.0,100000000.0,0,0.0
2025-01-10,100000000.0,100000000.0,0,0.0
2025-01-13,100000000.0,100000000.0,0,0.0
2025-01-14,100000000.0,100000000.0,0,0.0
2025-01-15,100000000.0,100000000.0,0,0.0
2025-01-16,100000000.0,100000000.0,0,0.0
2025-01-17,100000000.0,100000000.0,0,0.0
2025-01-20,100000000.0,100000000.0,0,0.0
2025-01-21,100000000.0,100000000.0,0,0.0
2025-01-22,100000000.0,100000000.0,0,0.0
2025-01-23,100000000.0,100000000.0,0,0.0
2025-01-24,100184658.04799801,49952052.04799801,1,0.5014001842071846
2025-02-03,99686601.04799801,49952052.04799801,1,0.4989090657836087
2025-02-04,99994922.04799801,49952052.04799801,1,0.5004541128196409
2025-02-05,100229603.11900802,24953139.119008016,2,0.7510402282110226
2025-02-06,100443056.11900802,24953139.119008016,2,0.7515692962444036
2025-02-07,100807140.11900802,24953139.119008016,2,0.7524665505880878
2025-02-10,100953426.11900802,24953139.119008016,2,0.7528252375546696
2025-02-11,101004844.11900802,24953139.119008016,2,0.7529510654993219
2025-02-12,100601655.11900802,24953139.119008016,2,0.7519609484606453
2025-02-13,100846245.11900802,24953139.119008016,2,0.7525625362693378
2025-02-14,100941113.11900802,24953139.119008016,2,0.7527950866800067
2025-02-17,100996876.11900802,24953139.119008016,2,0.7529315749369823
2025-02-18,100815108.11900802,24953139.119008016,2,0.7524861145856048
2025-02-19,100827421.11900802,24953139.119008016,2,0.7525163408716417
2025-02-20,101151130.11900802,24953139.119008016,2,0.753308350686248
2025-02-21,101610082.11900802,24953139.119008016,2,0.7544226065108152
2025-02-24,101554319.11900802,24953139.119008016,2,0.7542877611166268
2025-02-25,101187160.11900802,24953139.119008016,2,0.7533961908837031
2025-02-26,101151130.11900802,24953139.119008016,2,0.753308350686248
2025-02-27,101420346.11900802,24953139.119008016,2,0.7539631831888282
2025-02-28,101313165.11900802,24953139.119008016,2,0.7537028964626987
2025-03-03,101313165.11900802,24953139.119008016,2,0.7537028964626987
2025-03-04,101515214.11900802,24953139.119008016,2,0.7541931095199679
2025-03-05,101384864.11900802,24953139.119008016,2,0.7538770768611238
2025-03-06,101882921.11900802,24953139.119008016,2,0.7550802544239912
2025-03-07,102224889.59905802,49407130.59905802,1,0.5166819862282024
2025-03-10,101821700.59905802,49407130.59905802,1,0.5147681652498829
2025-03-11,101821700.59905802,49407130.59905802,1,0.5147681652498829
2025-03-12,101380810.96099001,101380810.96099001,0,0.0
2025-03-13,101380810.96099001,101380810.96099001,0,0.0
2025-03-14,101380810.96099001,101380810.96099001,0,0.0
2025-03-17,101380810.96099001,101380810.96099001,0,0.0
2025-03-18,101380810.96099001,101380810.96099001,0,0.0
