date,equity,cash,positions,gross_exposure
2026-01-12,100000000.0,100000000.0,0,0.0
2026-01-13,100195401.29959252,19924211.299592517,4,0.8011464494261819
2026-01-14,100981818.62318853,4973002.623188521,7,0.9507534852214815
2026-01-15,100308327.62318853,4973002.623188521,7,0.9504228338660996
2026-01-16,101749139.62318853,4973002.623188521,7,0.9511248680666466
2026-01-19,101457008.62318853,4973002.623188521,7,0.9509841390883279
2026-01-20,101322764.4936534,26571557.4936534,6,0.7377533308882648
2026-01-21,98601959.66647342,56218289.66647341,4,0.42984612215989526
2026-01-22,99577328.87489842,14021918.874898419,7,0.8591856295672028
2026-01-23,98152046.61069842,31214646.610698417,5,0.681976609876456
2026-01-26,95757327.62597841,41942032.62597842,4,0.5619966255762574
2026-01-27,94630787.94754092,42379707.947540924,5,0.5521572960902076
2026-01-28,93788125.18966094,14101580.18966093,7,0.8496442896033551
2026-01-29,94478215.41366093,24300030.41366093,6,0.7427975294911497
2026-01-30,94716686.13140951,23288731.13140951,6,0.7541221923759154
2026-02-02,95985322.48746751,11635387.487467514,7,0.8787795135137801
2026-02-03,96684298.23989633,24669183.23989632,6,0.7448480912724181
2026-02-04,97648997.18474585,38126513.18474584,5,0.6095555071332391
2026-02-05,96197083.40438585,12687679.404385844,7,0.8681074419787722
2026-02-06,94402313.20528585,33685973.20528584,5,0.6431658074730348
2026-02-09,94739338.23903732,61611788.23903732,3,0.3496704812990746
2026-02-10,93318859.72357483,12281954.723574828,7,0.8683872181898074
2026-02-11,94938784.72357483,12281954.723574828,7,0.8706329056208677
2026-02-12,95440114.72357483,12281954.723574828,7,0.87131244802935
2026-02-13,95805740.93777484,23966880.93777483,6,0.7498387810252294
2026-02-23,97768572.10094082,25158287.10094083,6,0.7426751095948682
2026-02-24,98947845.86107424,37899550.86107425,5,0.6169744724479768
2026-02-25,99786575.53771698,39209805.537716985,5,0.6070633216299061
2026-02-26,99602988.4218655,13047905.42186549,7,0.869000864044345
2026-02-27,99329508.4218655,13047905.42186549,7,0.8686401893136396
2026-03-02,98602667.48441549,38920637.48441549,5,0.6052780469598651
2026-03-03,97664056.099109,12950114.099108992,7,0.8674014308194687
2026-03-04,96658411.314409,47329285.314409,4,0.5103448870015355
2026-03-05,95372885.314584,24182987.314584006,6,0.7464374991401665
2026-03-06,92740197.13730901,36907702.13730901,5,0.6020312305066129
2026-03-09,88680519.931849,53038799.93184901,3,0.40191149113007757
2026-03-10,89567821.72451402,10570501.724514019,7,0.8819832667470023
2026-03-11,92723739.93931402,35722289.93931402,5,0.6147449405870211
2026-03-12,92234898.28414655,35535178.28414654,5,0.6147317453023702
2026-03-13,92072678.28414655,35535178.28414654,5,0.614052953097758
2026-03-16,91472366.23694654,45463106.23694654,4,0.5029853483927524
2026-03-17,91802856.23694654,45463106.23694654,4,0.5047745996093564
2026-03-18,91956956.23694654,45463106.23694654,4,0.5056044904335325
2026-03-19,92223046.23694654,45463106.23694654,4,0.5070309636038346
2026-03-20,91740596.23694654,45463106.23694654,4,0.5044385135722799
2026-03-23,90341319.64414653,56841799.64414654,3,0.37081061171072377
2026-03-24,90500542.49304654,66915462.49304654,2,0.2606070566020322
2026-03-25,90722002.49304654,66915462.49304654,2,0.2624119766516912
2026-03-26,90538352.49304654,66915462.49304654,2,0.2609158367644725
2026-03-27,90902412.49304654,66915462.49304654,2,0.263875834998712
2026-03-30,90682032.49304654,66915462.49304654,2,0.262086869323561
2026-03-31,90974792.49304654,66915462.49304654,2,0.26446149906677635
2026-04-01,91047172.49304654,66915462.49304654,2,0.26504623196116267
2026-04-02,90224105.31123655,13331560.311236547,6,0.8522394845008651
2026-04-03,89175987.39387405,6661842.393874048,7,0.9252955578226467
2026-04-06,88177054.78718404,44734769.787184045,4,0.4926710821182253
2026-04-07,88184974.78718404,44734769.787184045,4,0.492716645946296
2026-04-08,89923489.78718404,44734769.787184045,4,0.5025240913908606
2026-04-09,89732986.03402156,11153131.034021555,7,0.8757075683428953
2026-04-10,90255312.80112953,25658092.801129535,6,0.7157165378434274
2026-04-13,90242425.64087954,12818355.640879538,7,0.8579564373425611
2026-04-14,90611400.64087954,12818355.640879538,7,0.8585348471581123
2026-04-15,90243175.64087954,12818355.640879538,7,0.8579576178492447
2026-04-16,89806399.86775453,2904.867754539475,8,0.9999676541119696
2026-04-17,89996346.75680454,11986931.75680454,7,0.8668064628312457
2026-04-20,90325186.75680454,11986931.75680454,7,0.8672913703563251
2026-04-21,90033191.75680454,11986931.75680454,7,0.866860970683086
2026-04-22,90081851.75680454,11986931.75680454,7,0.8669328891110514
2026-04-23,90434392.64758454,34770632.64758454,5,0.6155153849146434
2026-04-24,90194300.02891575,25474860.028915744,6,0.7175557654890756
2026-04-28,89396619.41416575,12726259.414165746,7,0.8576427218661788
2026-04-29,89579381.37378575,23708366.373785745,6,0.7353367927954491
2026-05-04,89808709.50331575,24105869.503315747,6,0.7315865060679247
2026-05-05,89070303.62503076,12041223.62503075,7,0.8648121412528014
2026-05-06,90022278.62503076,12041223.62503075,7,0.8662417369461842
2026-05-07,89848323.62503076,12041223.62503075,7,0.8659827680783105
2026-05-08,89643867.30503075,89643867.30503075,0,0.0
