symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
EVF,2,1.0,0.10993803467022334,2446061.1240800004,inf
DGW,1,1.0,0.07889234162321282,1579361.075864885,inf
PVD,1,1.0,0.10533816879050519,1299279.4207602385,inf
DPM,3,0.6666666666666666,0.03676409453099067,1255798.3869004045,3.4712291966353863
VCG,1,1.0,0.1019646297326608,1255556.655600002,inf
MSB,1,1.0,0.0827728863982455,1108835.9965804815,inf
GMD,1,1.0,0.08640573682593525,1065190.0593130197,inf
VHC,1,1.0,0.07221684497002676,877863.1035688091,inf
PAN,1,1.0,0.05716129088302999,808214.0128451996,inf
ANV,1,1.0,0.07017185539444941,730760.7624735795,inf
TCB,2,0.5,0.02231529231816231,576521.1336586997,2.1856208234335597
MWG,2,0.5,0.019709166059491013,388203.40273252316,1.7083674167105658
HHV,1,1.0,0.033988894940692314,356733.8475218229,inf
BID,1,1.0,0.030531735910753907,341753.03170000203,inf
CTG,1,1.0,0.029200335396025266,326874.8837775029,inf
VPI,2,0.5,0.004096858113843159,120379.36310147867,1.2249086654724959
PC1,2,0.5,0.001996554408017097,-19968.868843995035,0.9771098207318265
SSB,1,0.0,-0.009869652238733083,-119457.17862499878,0.0
SAB,1,0.0,-0.0486487695777787,-242444.3850499997,0.0
HDC,1,0.0,-0.02452965631139069,-284581.224567499,0.0
ACB,1,0.0,-0.028286349016227945,-296874.4157999996,0.0
GEX,1,0.0,-0.059737633741258934,-297757.21207399946,0.0
DIG,1,0.0,-0.031660354748810335,-354407.64183999784,0.0
DXG,2,0.0,-0.015890802192772932,-420386.2244474944,0.0
LPB,1,0.0,-0.051422388325365116,-539663.7594999969,0.0
FTS,1,0.0,-0.047298137839823416,-601572.5223199986,0.0
NT2,1,0.0,-0.046557887752674665,-604599.8583624959,0.0
VJC,2,0.0,-0.02815201925730102,-609152.839429995,0.0
BVH,1,0.0,-0.052641639754252845,-649293.5536699966,0.0
TPB,2,0.5,-0.0285862606369017,-721252.9190799929,0.03438097714752383
VIC,1,0.0,-0.05925410572690615,-729544.0552399978,0.0
FPT,1,0.0,-0.05402985285034762,-759828.3094049972,0.0
STB,1,0.0,-0.06065255969645056,-793274.5631999951,0.0
NKG,1,0.0,-0.0633167784404075,-800638.4690099955,0.0
VSC,1,0.0,-0.06358363975709129,-845476.8957799971,0.0
VRE,1,0.0,-0.06446533048589147,-863556.2992899977,0.0
GVR,2,0.0,-0.039726263953485205,-864601.2661049925,0.0
HDG,2,0.0,-0.03586015723678129,-881102.6921859942,0.0
DGC,1,0.0,-0.0653720590852861,-919487.663289994,0.0
SHB,1,0.0,-0.07031130156344129,-919876.0426514968,0.0
DBC,1,0.0,-0.06624391350778142,-936618.9634799976,0.0
HPG,3,0.3333333333333333,-0.0219788922107388,-1153403.943844989,0.0784550044319875
EIB,1,0.0,-0.06205666648315256,-1242356.7504599951,0.0
VCB,2,0.0,-0.05668729236500595,-1243290.0850849971,0.0
VND,1,0.0,-0.11640368928260425,-1378683.581600001,0.0
SSI,2,0.0,-0.10391817955881488,-2058758.0770749962,0.0
HCM,2,0.0,-0.09573291854717225,-2741608.694134999,0.0
