symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,reasons
DGW,BREAKOUT,2026-01-12,2026-01-13,2026-01-20,44.022,47.637769199999994,454300,19999194.599999998,1579361.075864885,0.07889234162321282,5,TP,100.0,Giá 44 vượt đỉnh 20 phiên (43) | Volume 1.9× TB20 | Thân nến 2.8%
HCM,BREAKOUT,2026-01-12,2026-01-13,2026-01-21,25.282635,23.88805,791000,19998564.285,-1160906.1943849996,-0.05799148535912325,6,SL,100.0,Giá 24 vượt đỉnh 20 phiên (23) | Volume 2.6× TB20 | Thân nến 3.9% | Money flow: BREAKOUT_FLOW score=5
HPG,BREAKOUT,2026-01-12,2026-01-13,2026-01-21,27.763875,26.986500000000003,720300,19998319.162499998,-618818.2835624926,-0.030912602126994565,6,SL,100.0,Giá 28 vượt đỉnh 20 phiên (27) | Volume 2.3× TB20 | Thân nến 4.4% | Money flow: EARLY_MONEY_IN score=3
GEX,MACD_CROSSOVER,2026-01-13,2026-01-14,2026-01-21,29.67483,27.986,167800,4979436.474,-297757.21207399946,-0.059737633741258934,5,SL,100.0,MACD crossover bullish (hist=0.01) | Money flow: EARLY_MONEY_IN score=3
SAB,BREAKOUT,2026-01-13,2026-01-14,2026-01-23,51.325649999999996,48.975500000000004,97000,4978588.05,-242444.3850499997,-0.0486487695777787,7,SL,100.0,Giá 50 vượt đỉnh 20 phiên (50) | Volume 2.2× TB20 | Thân nến 6.7%
VSC,BREAKOUT,2026-01-20,2026-01-21,2026-01-23,23.411699999999996,21.989,567400,13283798.579999998,-845476.8957799971,-0.06358363975709129,2,SL,100.0,Giá 23 vượt đỉnh 20 phiên (22) | Volume 2.3× TB20 | Thân nến 5.7% | Money flow: BREAKOUT_FLOW score=5
SSI,BREAKOUT,2026-01-13,2026-01-14,2026-01-26,32.816399999999994,30.9845,151700,4978247.879999999,-292278.1751799984,-0.05865240060947055,8,SL,100.0,Giá 33 vượt đỉnh 20 phiên (32) | Volume 1.8× TB20 | Thân nến 2.4%
DPM,SPRING,2026-01-21,2026-01-22,2026-01-26,24.8124,23.988,566400,14053743.36,-508167.50975999795,-0.036122749427387295,2,SL,86.4,HH: đỉnh 26 > 25 | HL: đáy 24 > 22 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
FPT,SPRING,2026-01-21,2026-01-22,2026-01-26,105.55274999999999,100.1499,133100,14049071.024999999,-759828.3094049972,-0.05402985285034762,2,SL,86.4,HH: đỉnh 109 > 102 | HL: đáy 98 > 96 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
EIB,MACD_CROSSOVER,2026-01-12,2026-01-13,2026-01-27,22.311149999999998,20.9895,896400,19999714.86,-1242356.7504599951,-0.06205666648315256,10,SL,100.0,MACD crossover bullish (hist=0.05) | Money flow: EARLY_MONEY_IN score=3
DGC,BULLISH_ENGULFING,2026-01-21,2026-01-22,2026-01-27,71.4357,66.96650000000001,196700,14051402.19,-919487.663289994,-0.0653720590852861,3,SL,87.6,Engulfing: [64–69] nuốt [64–65] (body 7.3%) | Volume xanh 3.6× bar đỏ | Money flow: EARLY_MONEY_IN score=3
ACB,DOUBLE_BOTTOM,2026-01-26,2026-01-27,2026-01-29,24.6123,23.988,426000,10484839.8,-296874.4157999996,-0.028286349016227945,2,SL,86.8,Hai đáy 24 và 24 (chênh 0.4%) | Vượt neckline 24 | Chưa quá xa neckline — vào hàng còn hợp lý
ANV,LINREG_MOMENTUM,2026-01-23,2026-01-26,2026-01-30,27.11355,29.10338103,383700,10403469.135,730760.7624735795,0.07017185539444941,4,TP,97.1,"Linear regression slope positive, ROC 6.7% | Momentum confirmed while price is not overextended"
VHC,MACD_CROSSOVER,2026-01-29,2026-01-30,2026-02-03,64.73235,69.61575470999999,187600,12143788.86,877863.1035688091,0.07221684497002676,2,TP,100.0,MACD crossover bullish (hist=0.26) | Cross xảy ra trên zero line — signal mạnh hơn | Money flow: BREAKOUT_FLOW score=5
HHV,OVERSOLD_MEAN_REVERSION,2026-01-26,2026-01-27,2026-02-04,12.256124999999999,12.710791424999996,855500,10485114.9375,356733.8475218229,0.033988894940692314,6,TP,84.7,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -87.0, StochK 40.7, ADX 30.8"
PAN,GOLDEN_CROSS,2026-01-27,2026-01-28,2026-02-04,30.014999999999997,31.826078999999993,470600,14125058.999999998,808214.0128451996,0.05716129088302999,5,TP,96.2,Golden Cross: MA20 (28) cắt lên MA50 (28) | Volume xác nhận cross | Money flow: EARLY_MONEY_IN score=3
VCB,ADX_TREND,2026-01-23,2026-01-26,2026-02-06,68.93445,64.9675,150900,10402208.504999999,-628622.1550049987,-0.060371233718522224,9,SL,94.8,"ADX trend: ADX 52.4, +DI 43.2 > -DI 12.8 | Price above EMA20/EMA50, volume 1.2x MA20"
HDG,BB_SQUEEZE,2026-01-30,2026-02-02,2026-02-06,26.923454999999997,25.987000000000002,432400,11641701.941999998,-439038.40154199675,-0.037674886706892174,4,SL,100.0,BB squeeze: width 0.075 ≈ min 20 phiên (0.072) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung | Money flow: EARLY_MONEY_IN score=3
DBC,SPRING,2026-01-27,2026-01-28,2026-02-09,28.8144,26.986500000000003,490200,14124818.879999999,-936618.9634799976,-0.06624391350778142,8,SL,81.8,HH: đỉnh 30 > 29 | HL: đáy 28 > 26 | Volume phiên tăng > giảm
VPI,BB_SQUEEZE,2026-02-03,2026-02-04,2026-02-09,54.72735,57.807661710000005,225300,12330071.955,655616.0239414759,0.05311899762377318,3,TP,88.5,BB squeeze: width 0.075 ≈ min 20 phiên (0.075) | Giá trên BB mid — bias bullish
HPG,SPRING,2026-02-04,2026-02-05,2026-02-09,28.314149999999998,26.986500000000003,448800,12707390.52,-632779.7929199971,-0.04974645614926159,2,SL,100.0,HH: đỉnh 28 > 27 | HL: đáy 26 > 26 | Volume phiên tăng > giảm | Money flow: BREAKOUT_FLOW score=6
FTS,BB_SQUEEZE,2026-02-04,2026-02-05,2026-02-09,33.366675,31.884050000000002,380800,12706029.84,-601572.5223199986,-0.047298137839823416,2,SL,90.6,BB squeeze: width 0.086 ≈ min 20 phiên (0.086) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung
BVH,RETEST,2026-02-09,2026-02-10,2026-02-13,77.8389,73.96300000000001,158300,12321897.87,-649293.5536699966,-0.052641639754252845,3,SL,78.2,Retest vùng breakout 76 (cách +0.7%) | Volume cạn 0.34× TB20 | Giá vẫn giữ trên vùng breakout
