date,equity,cash,positions,gross_exposure
2026-01-12,100000000.0,100000000.0,0,0.0
2026-01-13,100195401.29959252,19924211.299592517,4,0.8011464494261819
2026-01-14,101167540.18504252,4972710.185042522,7,0.9508467817251751
2026-01-15,100346245.18504252,4972710.185042522,7,0.950444481745454
2026-01-16,101903305.18504252,4972710.185042522,7,0.9512016791210771
2026-01-19,101541840.18504252,4972710.185042522,7,0.9510279686089931
2026-01-20,101807660.0555074,26571265.055507403,6,0.7390052473358069
2026-01-21,99511251.26117142,51529824.261171415,5,0.48217087406599635
2026-01-22,100869299.41561142,17147190.415611416,7,0.830005853961968
2026-01-23,99803921.6686114,21888312.668611415,6,0.7806868477444274
2026-01-26,96957767.47729641,50010487.47729641,3,0.48420339310095145
2026-01-27,96040974.64690642,44811219.64690642,5,0.5334156092058169
2026-01-28,95788254.75858642,14909779.758586423,7,0.8443464723711347
2026-01-29,95734719.76163642,34987529.76163642,5,0.6345366670655164
2026-01-30,95991774.75718643,11643654.757186424,7,0.878701536807301
2026-02-02,97478144.75718643,11643654.757186424,7,0.8805511247040018
2026-02-03,97390829.86838642,24722089.868386425,6,0.7461558762586195
2026-02-04,98740018.59395082,22703558.593950823,6,0.7700673048552401
2026-02-05,96910779.71621582,11341064.716215825,7,0.8829741670696913
2026-02-06,95178341.28171583,21630786.281715825,6,0.7727341536905814
2026-02-09,95048699.8871606,59563724.8871606,3,0.3733346699336957
2026-02-10,93327718.2680206,26051298.268020604,6,0.7208621538008043
2026-02-11,94753316.4845956,13014916.484595604,7,0.8626442116491883
2026-02-12,95370726.4845956,13014916.484595604,7,0.8635334240984546
2026-02-13,96073862.80659561,24308622.80659561,6,0.746979853870029
2026-02-23,98508611.1057326,39110731.105732605,5,0.6029714492294106
2026-02-24,100038532.74641289,37458207.74641289,5,0.6255622037023925
2026-02-25,100746586.98601732,38792136.98601732,5,0.6149533384053864
2026-02-26,100132131.08033532,26625512.08033532,6,0.734096220732845
2026-02-27,99910322.91898532,25161428.918985322,6,0.7481598679308837
2026-03-02,100057835.89073032,38154210.89073032,5,0.6186784318182016
2026-03-03,100750008.36829282,12696193.368292823,7,0.8739832028412172
2026-03-04,99709236.39290664,38464286.392906636,5,0.6142354732179756
2026-03-05,98626638.35303164,36637358.353031635,5,0.628524717410634
2026-03-06,97116391.84940414,24343826.84940414,6,0.7493334916400778
2026-03-09,92018559.71785414,45062914.71785414,4,0.5102845028652335
2026-03-10,92748092.88508666,22470792.88508665,6,0.7577223187443046
2026-03-11,96394326.60468665,22681551.60468665,6,0.764700346964363
2026-03-12,96743635.70491165,39242560.70491166,5,0.5943654544407482
2026-03-13,96234135.70491165,39242560.70491166,5,0.5922178713669398
2026-03-16,95411661.52481166,49786046.524811655,4,0.47819746843141525
2026-03-17,95974031.52481166,49786046.524811655,4,0.48125502561658323
2026-03-18,96322946.52481166,49786046.524811655,4,0.48313409918386
2026-03-19,96427611.52481166,49786046.524811655,4,0.48369511867457926
2026-03-20,95721326.52481166,49786046.524811655,4,0.4798855351016604
2026-03-23,94432327.56101166,71268427.56101166,2,0.2452962941640305
2026-03-24,94055627.52731165,81957947.52731165,1,0.12862260683431306
2026-03-25,94019622.52731165,81957947.52731165,1,0.12828891114188656
2026-03-26,94019622.52731165,81957947.52731165,1,0.12828891114188656
2026-03-27,94127637.52731165,81957947.52731165,1,0.12928923236248116
2026-03-30,94127637.52731165,81957947.52731165,1,0.12928923236248116
2026-03-31,94163642.52731165,81957947.52731165,1,0.1296221627838983
2026-04-01,94199647.52731165,81957947.52731165,1,0.1299548386999083
2026-04-02,93521779.01956417,16329124.01956417,5,0.8253976326076067
2026-04-03,92246480.44768667,5434045.447686671,7,0.9410921108175142
2026-04-06,91083711.37101668,52065551.371016674,4,0.4283769228623658
2026-04-07,91170351.37101668,52065551.371016674,4,0.42892014138306295
2026-04-08,92681811.37101668,52065551.371016674,4,0.4382333426502436
2026-04-09,92495548.40986668,12984698.40986668,7,0.8596181261358782
2026-04-10,93054528.56871821,30749863.56871821,6,0.669550057996261
2026-04-13,92767182.33586821,15361107.335868213,7,0.8344122679046934
2026-04-14,93108302.33586821,15361107.335868213,7,0.8350189301008162
2026-04-15,92468439.66586822,27660294.665868215,6,0.700867725617326
2026-04-16,91815275.71518822,13818195.715188216,7,0.8495000357233323
2026-04-17,92022028.63637322,25921558.63637322,6,0.7183113758684592
2026-04-20,92219105.51082322,12951025.51082322,7,0.8595624470755332
2026-04-21,92156330.51082322,12951025.51082322,7,0.8594667838982347
2026-04-22,92021580.51082322,12951025.51082322,7,0.8592609968343244
2026-04-23,92181419.15842322,25567019.158423223,6,0.7226445481981171
2026-04-24,92062781.1745452,29433976.1745452,6,0.6802836521010565
2026-04-28,91068010.65744519,28007980.6574452,6,0.6924498464911244
2026-04-29,91342318.3324402,26108893.332440205,6,0.7141643237319976
2026-05-04,92883007.59136021,27208902.591360204,6,0.707062644751276
2026-05-05,92918540.46515286,42746190.46515287,5,0.5399605907371746
2026-05-06,94331845.62578538,14229730.625785373,7,0.8491524200402614
2026-05-07,93659591.55376038,28808681.553760372,6,0.6924107710076414
2026-05-08,94337491.23063537,94337491.23063537,0,0.0
